location,information,sales_price
Ayvalık - 150 Evler Mahallesi,Daire | 3+1 | 3. Kat | 135 m²,40.000 TL
Altıeylül - Sütlüce Mahallesi,Daire | 1+1 | 4. Kat | 50 m²,15.750 TL
Altıeylül - Sütlüce Mahallesi,Daire | 2+1 | 4. Kat | 75 m²,16.500 TL
Gönen - Kurtuluş Mahallesi,Daire | 3+1 | 3. Kat | 125 m²,16.500 TL
Gönen - Karşıyaka Mahallesi,Daire | 2+1 | 1. Kat | 124 m²,18.000 TL
Altıeylül - Gaziosmanpaşa Mahallesi,Daire | 1+1 | Yüksek giriş | 50 m²,15.000 TL
Altıeylül - Plevne Mahallesi,Daire | 1+1 | 4. Kat | 60 m²,17.500 TL
Edremit - Akçay Mahallesi,Daire | 4+1 | 2. Kat | 150 m²,40.000 TL
Edremit - Gazicelal Mahallesi,Daire | 2+1 | 3. Kat | 100 m²,25.000 TL
Altıeylül - Dinkçiler Mahallesi,Daire | 2+2 | 3. Kat | 70 m²,17.000 TL
Edremit - Atatürk Mahallesi,Daire | 3+1 | 2. Kat | 135 m²,17.999 TL
Bandırma - Kayacık Mahallesi,Daire | 2+1 | Yüksek giriş | 120 m²,16.500 TL
Edremit - Kadıköy Mahallesi,Daire | 3+1 | Çatı Dubleks | 160 m²,30.000 TL
Karesi - Ege Mahallesi,Daire | 2+1 | 6. Kat | 120 m²,12.500 TL
Altıeylül - Plevne Mahallesi,Daire | 3+1 | 2. Kat | 150 m²,22.500 TL
Edremit - Eroğlan Mahallesi,Daire | 2+1 | 1. Kat | 71 m²,19.000 TL
Karesi - 1. Oruçgazi Mahallesi,Daire | 2+1 | 2. Kat | 72 m²,18.500 TL
Karesi - 2. Sakarya Mahallesi,Daire | 3+1 | 1. Kat | 125 m²,28.300 TL
Bandırma - 600 Evler Mahallesi,Daire | 2+1 | 1. Kat | 90 m²,17.000 TL
Bandırma - Sunullah Mahallesi,Daire | 1+1 | 4. Kat | 78 m²,13.000 TL
Bandırma - Paşabayır Mahallesi,Daire | 4+1 | 4. Kat | 270 m²,50.000 TL
Bandırma - Paşakent Mahallesi,Daire | 1+1 | Yüksek giriş | 50 m²,26.000 TL
Gönen - Kurtuluş Mahallesi,Daire | 3+1 | 3. Kat | 145 m²,25.000 TL
Ayvalık - Altınova Mahallesi,Daire | 4+1 | 3. Kat | 170 m²,40.000 TL
Altıeylül - Plevne Mahallesi,Daire | 3+1 | 2. Kat | 135 m²,20.000 TL
Karesi - Yıldırım Mahallesi,Daire | 2+1 | 2. Kat | 95 m²,13.000 TL
Altıeylül - Plevne Mahallesi,Daire | 2+1 | 5. Kat | 90 m²,16.000 TL
Burhaniye - Bahçelievler Mahallesi,Daire | 2+1 | 2. Kat | 90 m²,25.000 TL
Altıeylül - Bahçelievler Mahallesi,Daire | 3+1 | Düz Giriş (Zemin) | 100 m²,22.500 TL
Altıeylül - Dinkçiler Mahallesi,Daire | 1+1 | 2. Kat | 40 m²,15.500 TL
