location,information,sales_price
Nilüfer - Odunluk Mahallesi,Daire | 2+1 | Bahçe katı | 160 m²,41.000 TL
Nilüfer - Dumlupınar Mahallesi,Daire | 1+1 | 1. Kat | 60 m²,17.500 TL
Yıldırım - Karaağaç Mahallesi,Daire | 2+1 | 5. Kat | 90 m²,13.000 TL
Nilüfer - Beşevler Mahallesi,Daire | 3+1 | 1. Kat | 160 m²,38.000 TL
Nilüfer - Beşevler Mahallesi,Daire | 3+1 | 1. Kat | 190 m²,35.000 TL
Nilüfer - Çalı Mahallesi,Daire | 3+1 | 3. Kat | 170 m²,24.000 TL
Nilüfer - Görükle Mahallesi,Daire | 2+1 | Bahçe katı | 55 m²,14.000 TL
Nilüfer - Balkan Mahallesi,Daire | 2+1 | 3. Kat | 125 m²,23.500 TL
Yıldırım - Ertuğrulgazi Mahallesi,Daire | 2+1 | 3. Kat | 75 m²,20.000 TL
Nilüfer - Yüzüncüyıl Mahallesi,Daire | 3+1 | 3. Kat | 145 m²,29.000 TL
Nilüfer - 30 Ağustos Zafer Mahallesi,Daire | 3+1 | 2. Kat | 145 m²,26.000 TL
Orhangazi - Camiikebir Mahallesi,Daire | 3+1 | 1. Kat | 120 m²,18.000 TL
Osmangazi - Demirtaş Cumhuriyet Mahallesi,Daire | 2+1 | 10. Kat | 110 m²,33.000 TL
Nilüfer - Kurtuluş Mahallesi,Daire | 2+1 | 3. Kat | 125 m²,23.500 TL
Osmangazi - Osmangazi Mahallesi,Daire | 1+1 | Düz Giriş (Zemin) | 57 m²,16.000 TL
Nilüfer - Görükle Mahallesi,Daire | 2+1 | 3. Kat | 60 m²,14.000 TL
Mudanya - Çağrışan Mahallesi,Daire | 4+1 | Bahçe katı | 225 m²,65.000 TL
Yıldırım - Değirmenönü Mahallesi,Daire | 3+1 | 4. Kat | 115 m²,25.000 TL
Nilüfer - Dumlupınar Mahallesi,Daire | 2+1 | 5. Kat | 90 m²,18.500 TL
