location,information,sales_price
Edirne Merkez - Fatih Mahallesi,Daire | 3+1 | 3. Kat | 130 m²,22.500 TL
Edirne Merkez - Şükrüpaşa Mahallesi,Daire | Stüdyo | 3. Kat | 45 m²,12.500 TL
Uzunköprü - Rızaefendi Mahallesi,Daire | 3+1 | Kot 3 (-3). Kat | 120 m²,15.000 TL
Keşan - Aşağı Zaferiye Mahallesi,Daire | 3+1 | Yüksek giriş | 115 m²,20.000 TL
Uzunköprü - Habib Hoca Mahallesi,Daire | 3+1 | 3. Kat | 140 m²,20.000 TL
Edirne Merkez - Fatih Mahallesi,Daire | 2+1 | 2. Kat | 110 m²,18.000 TL20.000 TL
Keşan - Yukarı Zaferiye Mahallesi,Daire | 2+1 | 1. Kat | 95 m²,20.000 TL
Keşan - Mustafa Kemal Paşa Mahallesi,Daire | 2+0 | Bahçe katı | 75 m²,15.000 TL
Keşan - Yeni Mahallesi,Daire | 2+1 | 1. Kat | 95 m²,22.000 TL
Keşan - Mustafa Kemal Paşa Mahallesi,Daire | 3+1 | Düz Giriş (Zemin) | 115 m²,20.000 TL
Havsa - Hacıisa Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,15.000 TL
Edirne Merkez - Koca Sinan Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,19.500 TL
Edirne Merkez - Şükrüpaşa Mahallesi,Daire | 3+1 | 1. Kat | 145 m²,30.500 TL
Keşan - Yeni Mahallesi,Daire | 1+1 | 14. Kat | 80 m²,9.000 TL
Edirne Merkez - Babademirtaş Mahallesi,Daire | 1+1 | Bahçe katı | 50 m²,15.000 TL16.000 TL
Keşan - Aşağı Zaferiye Mahallesi,Daire | 1+1 | Yüksek giriş | 50 m²,17.000 TL
Edirne Merkez - Şükrüpaşa Mahallesi,Daire | 1+1 | 1. Kat | 55 m²,17.000 TL
Edirne Merkez - İstasyon Mahallesi,Daire | 1+1 | 5. Kat | 65 m²,20.500 TL
Edirne Merkez - Şükrüpaşa Mahallesi,Daire | 1+1 | Bodrum Kat | 45 m²,14.000 TL
Edirne Merkez - Fatih Mahallesi,Daire | 3+1 | 5. Kat | 110 m²,19.000 TL
Keşan - Aşağı Zaferiye Mahallesi,Daire | 2+1 | 2. Kat | 90 m²,20.000 TL
Edirne Merkez - Şükrüpaşa Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,19.500 TL
Edirne Merkez - Abdurrahman Mahallesi,Daire | 3+1 | Çatı Dubleks | 125 m²,27.000 TL
Keşan - Cumhuriyet Mahallesi,Daire | 2+0 | Bahçe katı | 90 m²,13.000 TL
Keşan - Beğendik Bld. (Beykent Mahallesi),Daire | 2+1 | 2. Kat | 95 m²,12.000 TL
Keşan - İspat Cami Mahallesi,Daire | 1+1 | 4. Kat | 70 m²,15.000 TL
Keşan - Yukarı Zaferiye Mahallesi,Daire | 1.5+1 | 5. Kat | 70 m²,15.500 TL
Keşan - Aşağı Zaferiye Mahallesi,Daire | 1+1 | 1. Kat | 45 m²,17.000 TL
Keşan - Beğendik Bld. (Beykent Mahallesi),Daire | 2+1 | 1. Kat | 85 m²,12.000 TL
Keşan - Yenimescit Mahallesi,Daire | 1+1 | Düz Giriş (Zemin) | 55 m²,10.000 TL
Keşan - Beğendik Bld. (Yeni Mahallesi),Daire | 2+1 | 6. Kat | 100 m²,15.000 TL
Keşan - Aşağı Zaferiye Mahallesi,Daire | 1+1 | 1. Kat | 45 m²,13.500 TL
Keşan - İspat Cami Mahallesi,Daire | 3+1 | 5. Kat | 135 m²,25.000 TL
Keşan - Yukarı Zaferiye Mahallesi,Daire | 2+1 | 2. Kat | 120 m²,17.500 TL
Keşan - Yenimescit Mahallesi,Daire | 1+1 | 1. Kat | 55 m²,13.000 TL
Keşan - Beğendik Bld. (Beykent Mahallesi),Daire | 2+1 | 1. Kat | 85 m²,12.500 TL
Keşan - İspat Cami Mahallesi,Daire | 1+1 | 1. Kat | 50 m²,17.500 TL
Edirne Merkez - Şükrüpaşa Mahallesi,Daire | 1+1 | 1. Kat | 60 m²,21.000 TL
Keşan - Yukarı Zaferiye Mahallesi,Daire | 3+1 | 4. Kat | 115 m²,30.000 TL
Keşan - Yukarı Zaferiye Mahallesi,Daire | 2+1 | Çatı katı | 75 m²,15.000 TL
Keşan - Aşağı Zaferiye Mahallesi,Daire | 3+1 | Düz Giriş (Zemin) | 100 m²,16.000 TL
Keşan - Yeni Mahallesi,Daire | 1+1 | 14. Kat | 55 m²,15.000 TL
Keşan - Aşağı Zaferiye Mahallesi,Daire | 2+1 | Yüksek giriş | 120 m²,17.000 TL
Keşan - Mustafa Kemal Paşa Mahallesi,Daire | 3+1 | 4. Kat | 170 m²,24.000 TL
Keşan - Yeni Mahallesi,Daire | 3+1 | Düz Giriş (Zemin) | 110 m²,20.000 TL
Edirne Merkez - İstasyon Mahallesi,Daire | 1+1 | 2. Kat | 73 m²,24.000 TL
Edirne Merkez - Şükrüpaşa Mahallesi,Daire | 1+1 | 1. Kat | 60 m²,16.500 TL
