location,information,sales_price
Tepebaşı - Sütlüce Mahallesi,Daire | 1+1 | 3. Kat | 55 m²,11.000 TL
Tepebaşı - Mustafa Kemal Paşa Mahallesi,Daire | 3+1 | 3. Kat | 120 m²,20.000 TL
Tepebaşı - Şirintepe Mahallesi,Daire | 2+1 | 2. Kat | 95 m²,20.000 TL
Odunpazarı - 71 Evler Mahallesi,Daire | 1+1 | 2. Kat | 60 m²,10.000 TL
Odunpazarı - Huzur Mahallesi,Daire | 2+1 | 4. Kat | 90 m²,17.000 TL
Odunpazarı - Yenikent Mahallesi,Daire | 2+1 | 1. Kat | 100 m²,14.000 TL
Tepebaşı - Şirintepe Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,15.500 TL
Tepebaşı - Çamlıca Mahallesi,Daire | 2+1 | 2. Kat | 105 m²,16.500 TL
Odunpazarı - Akçağlan Mahallesi,Daire | 3+1 | 2. Kat | 130 m²,18.000 TL
Tepebaşı - Şirintepe Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,10.000 TL
Tepebaşı - Yaşamkent Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 103 m²,20.000 TL
Tepebaşı - Eskibağlar Mahallesi,Daire | 1+1 | 3. Kat | 60 m²,15.000 TL
Odunpazarı - Kırmızıtoprak Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,15.000 TL
Odunpazarı - Vişnelik Mahallesi,Daire | 3+1 | 2. Kat | 120 m²,17.000 TL
Odunpazarı - İstiklal Mahallesi,Daire | 3+1 | 1. Kat | 135 m²,45.000 TL
Odunpazarı - Akarbaşı Mahallesi,Daire | 3+1 | 4. Kat | 130 m²,25.000 TL
Odunpazarı - Huzur Mahallesi,Daire | 3+1 | 2. Kat | 120 m²,16.500 TL
Tepebaşı - Ertuğrulgazi Mahallesi,Daire | 1+1 | 3. Kat | 45 m²,11.500 TL
Odunpazarı - Vişnelik Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,18.000 TL
Tepebaşı - Çamlıca Mahallesi,Daire | 3+1 | 7. Kat | 150 m²,26.000 TL
Tepebaşı - Mustafa Kemal Paşa Mahallesi,Daire | 1+1 | 2. Kat | 60 m²,15.000 TL
Tepebaşı - Sütlüce Mahallesi,Daire | 1+1 | 1. Kat | 55 m²,11.000 TL
Odunpazarı - Çankaya Mahallesi,Daire | 2+1 | 2. Kat | 80 m²,15.000 TL
