location,information,sales_price
Şahinbey - Kavaklık Mahallesi,Daire | 2+1 | 2. Kat | 85 m²,18.500 TL
Şahinbey - Beştepe Mahallesi,Daire | 2+1 | 8. Kat | 110 m²,12.000 TL
Şahinbey - Bülbülzade Mahallesi,Daire | 2+1 | 1. Kat | 135 m²,19.000 TL
Şahinbey - 23 Nisan Mahallesi,Daire | 3+1 | 5. Kat | 170 m²,35.000 TL
Şahinbey - Geylani Mahallesi,Daire | 2.5+1 | 5. Kat | 120 m²,20.000 TL
Şahinbey - Geylani Mahallesi,Daire | 2+1 | 7. Kat | 130 m²,18.500 TL
Şehitkamil - Gazikent Mahallesi,Daire | 4+1 | 4. Kat | 220 m²,25.000 TL
Şehitkamil - Seyrantepe Mahallesi,Daire | 2+1 | 7. Kat | 110 m²,16.000 TL
Şehitkamil - Seyrantepe Mahallesi,Daire | 2+1 | 11. Kat | 110 m²,19.000 TL
Şahinbey - Beştepe Mahallesi,Daire | 2+0 | 7. Kat | 85 m²,13.000 TL
Şahinbey - Mavikent Mahallesi,Daire | 2+1 | 1. Kat | 120 m²,13.250 TL
Şahinbey - İbn-İ Sina Mahallesi,Daire | 3.5+1 | 2. Kat | 185 m²,35.000 TL
Şahinbey - Beştepe Mahallesi,Daire | 2+1 | 8. Kat | 100 m²,13.750 TL
Şahinbey - Şahintepe Mahallesi,Daire | 2+1 | 3. Kat | 100 m²,17.000 TL
Şahinbey - Binevler Mahallesi,Daire | Stüdyo | Düz Giriş (Zemin) | 35 m²,7.000 TL
Şahinbey - Bülbülzade Mahallesi,Daire | 2+1 | 2. Kat | 135 m²,18.000 TL
Şahinbey - Yeditepe Mahallesi,Daire | 1+1 | 3. Kat | 60 m²,12.500 TL
Şehitkamil - İbrahimli Mahallesi,Daire | 4+1 | 2. Kat | 250 m²,61.000 TL
Şehitkamil - Osmangazi Mahallesi,Daire | 4+1 | 9. Kat | 280 m²,61.000 TL
Şehitkamil - İbrahimli Mahallesi,Daire | 3.5+1 | 4. Kat | 200 m²,45.900 TL
Şahinbey - Barak Mahallesi,Daire | 2+1 | 7. Kat | 130 m²,11.000 TL
Şehitkamil - Beykent Mahallesi,Daire | 2+1 | Yüksek giriş | 105 m²,10.500 TL
Şahinbey - Beştepe Mahallesi,Daire | 2+1 | 4. Kat | 85 m²,9.950 TL
Şehitkamil - Beykent Mahallesi,Daire | 3+1 | 5. Kat | 180 m²,22.000 TL
Şahinbey - Karataş Mahallesi,Daire | 3+1 | 1. Kat | 150 m²,29.000 TL
Şahinbey - Beştepe Mahallesi,Daire | 1+1 | 12. Kat | 70 m²,14.500 TL
