location,information,sales_price
Bayrampaşa - Kartaltepe Mahallesi,Daire | 2+1 | 1. Kat | 85 m²,25.000 TL
Fatih - Aksaray Mahallesi,Daire | 2+1 | Bodrum Kat | 100 m²,15.000 TL
Fatih - Mevlanakapı Mahallesi,Daire | 1+1 | 3. Kat | 70 m²,19.000 TL
Başakşehir - Kayabaşı Mahallesi,Daire | 2+1 | 6. Kat | 75 m²,27.000 TL
Beykoz - Kavacık Mahallesi,Daire | 2+1 | Yüksek giriş | 85 m²,30.000 TL
Esenyurt - Akevler Mahallesi,Daire | 2+1 | 3. Kat | 100 m²,17.500 TL
Sultangazi - Uğur Mumcu Mahallesi,Daire | 2+1 | 5. Kat | 90 m²,39.999 TL
Bahçelievler - Hürriyet Mahallesi,Daire | 4+2 | 5. Kat | 190 m²,50.000 TL
Bağcılar - Yıldıztepe Mahallesi,Daire | 3+1 | 1. Kat | 125 m²,25.500 TL
Büyükçekmece - Pınartepe Mahallesi,Daire | 2+1 | 7. Kat | 86 m²,31.500 TL
Üsküdar - Murat Reis Mahallesi,Daire | 3+1 | 3. Kat | 110 m²,45.000 TL
Fatih - Cibali Mahallesi,Daire | Stüdyo | Bodrum Kat | 50 m²,16.000 TL
Küçükçekmece - İnönü Mahallesi,Daire | 3+1 | 6. Kat | 120 m²,28.000 TL
Başakşehir - Güvercintepe Mahallesi,Daire | 2+1 | 8. Kat | 75 m²,23.000 TL
Üsküdar - Sultantepe Mahallesi,Daire | 3+1 | 4. Kat | 180 m²,120.000 TL
Üsküdar - Mimar Sinan Mahallesi,Daire | 2+1 | Bahçe katı | 80 m²,35.000 TL
Sultangazi - Yunus Emre Mahallesi,Daire | 3+1 | Yüksek giriş | 110 m²,21.000 TL
Kağıthane - Emniyet Evleri Mahallesi,Daire | 2+1 | Bodrum Kat | 105 m²,35.000 TL
Kağıthane - Merkez Mahallesi,Daire | 2+1 | 7. Kat | 80 m²,50.000 TL
Beşiktaş - Bebek Mahallesi,Daire | 2+1 | Bahçe katı | 95 m²,90.000 TL
Küçükçekmece - Mehmet Akif Mahallesi,Daire | 2+1 | Bahçe katı | 65 m²,15.500 TL
Başakşehir - Başak Mahallesi,Daire | 2+1 | 3. Kat | 75 m²,23.000 TL
Ümraniye - Altınşehir Mahallesi,Daire | 1+1 | 5. Kat | 55 m²,17.000 TL
Güngören - Tozkoparan Mahallesi,Daire | 2+1 | Bahçe katı | 85 m²,25.000 TL
Esenyurt - Akşemseddin Mahallesi,Daire | 2+1 | 10. Kat | 95 m²,20.000 TL
Sarıyer - Huzur Mahallesi,Daire | 4+1 | 21. Kat | 255 m²,150.000 TL
Maltepe - Altıntepe Mahallesi,Daire | 2+1 | 1. Kat | 75 m²,37.000 TL
Bağcılar - Demirkapı Mahallesi,Daire | 2+1 | Bahçe katı | 82 m²,16.500 TL
Sultangazi - Cebeci Mahallesi,Daire | 2+1 | Bahçe katı | 85 m²,13.000 TL
Beykoz - Kavacık Mahallesi,Daire | 2+1 | 6. Kat | 135 m²,48.000 TL
Beykoz - Kavacık Mahallesi,Daire | 2+1 | 6. Kat | 135 m²,48.000 TL
Sultangazi - Cebeci Mahallesi,Daire | 2+1 | Yüksek giriş | 100 m²,15.500 TL
Avcılar - Cihangir Mahallesi,Daire | 2+1 | 1. Kat | 105 m²,30.000 TL
Esenyurt - Akşemseddin Mahallesi,Daire | 2+1 | 9. Kat | 95 m²,20.000 TL
Fatih - Cerrahpaşa Mahallesi,Daire | 2+1 | 2. Kat | 70 m²,22.000 TL
Sultangazi - Zübeyde Hanım Mahallesi,Daire | 2+1 | 4. Kat | 80 m²,21.000 TL
Kağıthane - Talatpaşa Mahallesi,Daire | 2+1 | 2. Kat | 85 m²,25.000 TL
Avcılar - Denizköşkler Mahallesi,Daire | 3+1 | Kot 3 (-3). Kat | 120 m²,30.000 TL
Avcılar - Denizköşkler Mahallesi,Daire | 3+1 | 4. Kat | 100 m²,35.000 TL
Beşiktaş - Gayrettepe Mahallesi,Daire | 3+1 | 2. Kat | 145 m²,115.000 TL
Kadıköy - Caddebostan Mahallesi,Daire | 3+1 | 2. Kat | 110 m²,95.000 TL
Kartal - Hürriyet Mahallesi,Daire | 1+1 | 10. Kat | 59 m²,27.500 TL
Arnavutköy - İslambey Mahallesi,Daire | 2+1 | 3. Kat | 90 m²,25.000 TL
Esenyurt - Yunus Emre Mahallesi,Daire | 2+1 | 1. Kat | 130 m²,16.000 TL
Arnavutköy - Nenehatun Mahallesi,Daire | 2+1 | Çatı katı | 130 m²,18.000 TL
Küçükçekmece - Cumhuriyet Mahallesi,Daire | 3+1 | 3. Kat | 125 m²,36.000 TL
Arnavutköy - Arnavutköy Merkez Mahallesi,Daire | 1+1 | Yüksek giriş | 70 m²,14.500 TL
Esenler - Fatih Mahallesi,Daire | 2+1 | 2. Kat | 90 m²,14.000 TL
Bahçelievler - Şirinevler Mahallesi,Daire | 2+1 | Yüksek giriş | 95 m²,20.000 TL
Üsküdar - Ünalan Mahallesi,Daire | 3+1 | Düz Giriş (Zemin) | 104 m²,47.500 TL
Ümraniye - Çakmak Mahallesi,Daire | 2+1 | Yüksek giriş | 80 m²,23.500 TL
Küçükçekmece - İstasyon Mahallesi,Daire | 1+1 | Yüksek giriş | 70 m²,22.500 TL
Pendik - Yenişehir Mahallesi,Daire | 3+1 | 2. Kat | 120 m²,40.000 TL
Maltepe - Cevizli Mahallesi,Daire | 3+1 | 1. Kat | 185 m²,90.000 TL
Bahçelievler - Hürriyet Mahallesi,Daire | 2+1 | 4. Kat | 85 m²,21.000 TL
Sancaktepe - Emek Mahallesi,Daire | 1+1 | 8. Kat | 68 m²,30.000 TL
Kadıköy - Kozyatağı Mahallesi,Daire | 3+1 | 1. Kat | 105 m²,80.000 TL
Bağcılar - Yenimahalle Mahallesi,Daire | 2+1 | 2. Kat | 125 m²,18.000 TL
Sultangazi - Sultançiftliği Mahallesi,Daire | 2+1 | 1. Kat | 90 m²,15.000 TL
Ataşehir - İçerenköy Mahallesi,Daire | 2+1 | 12. Kat | 120 m²,48.000 TL
Sultangazi - Cebeci Mahallesi,Daire | 3+1 | 2. Kat | 120 m²,30.000 TL
Kadıköy - Eğitim Mahallesi,Daire | 1+1 | Kot 1 (-1). Kat | 70 m²,30.000 TL
Avcılar - Merkez Mahallesi,Daire | 3+1 | 2. Kat | 140 m²,25.000 TL
Sarıyer - Maslak Mahallesi,Daire | 1+1 | 21. Kat | 78 m²,60.000 TL
Küçükçekmece - Kemalpaşa Mahallesi,Daire | 2+1 | 4. Kat | 115 m²,25.000 TL
Sultangazi - Cebeci Mahallesi,Daire | 2+1 | 2. Kat | 90 m²,23.000 TL
Kadıköy - Osmanağa Mahallesi,Daire | 1 Oda | 5. Kat | 80 m²,6.500 TL
Sultangazi - Sultançiftliği Mahallesi,Daire | 3+1 | 6. Kat | 120 m²,28.000 TL
Sultangazi - Sultançiftliği Mahallesi,Daire | 2+1 | 3. Kat | 100 m²,21.000 TL
Ümraniye - Armağanevler Mahallesi,Daire | 3+1 | 4. Kat | 140 m²,37.000 TL
Ataşehir - İnönü Mahallesi,Daire | 2+1 | 4. Kat | 80 m²,24.000 TL
Tuzla - Mimar Sinan Mahallesi,Daire | 3+1 | 2. Kat | 110 m²,26.000 TL
Fatih - Mevlanakapı Mahallesi,Daire | 1+1 | Bodrum Kat | 55 m²,16.000 TL
Başakşehir - Güvercintepe Mahallesi,Daire | 2+1 | 7. Kat | 75 m²,22.000 TL
Maltepe - Bağlarbaşı Mahallesi,Daire | 3+1 | Bahçe katı | 120 m²,30.000 TL
Kartal - Yakacık Yeni Mahallesi,Daire | 3+1 | 16. Kat | 137 m²,50.000 TL
Gaziosmanpaşa - Şemsipaşa Mahallesi,Daire | 2+1 | Yüksek giriş | 79 m²,26.000 TL
Kadıköy - Merdivenköy Mahallesi,Daire | 2+1 | Yüksek giriş | 90 m²,34.000 TL
Küçükçekmece - Mehmet Akif Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 95 m²,15.000 TL
Pendik - Kurtköy Mahallesi,Daire | 1+1 | 5. Kat | 65 m²,29.000 TL
Şişli - Fulya Mahallesi,Daire | 1+1 | Bahçe dublex | 80 m²,16.000 TL
Bakırköy - Osmaniye Mahallesi,Daire | 2+1 | Bahçe katı | 90 m²,28.000 TL
