location,information,sales_price
Kocasinan - Sahabiye Mahallesi,Daire | 3+1 | 12. Kat | 165 m²,17.500 TL
Melikgazi - Demokrasi Mahallesi,Daire | 3+1 | 6. Kat | 140 m²,12.500 TL
Melikgazi - Yıldırım Beyazıt Mahallesi,Daire | 3+1 | 3. Kat | 145 m²,20.000 TL
Melikgazi - Alpaslan Mahallesi,Daire | 4+1 | 4. Kat | 190 m²,20.500 TL
Melikgazi - Demokrasi Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 100 m²,10.000 TL
Melikgazi - Şirintepe Mahallesi,Daire | 3+1 | 6. Kat | 110 m²,15.000 TL
Melikgazi - Esenyurt Mahallesi,Daire | 3.5+1 | 9. Kat | 175 m²,21.000 TL
Melikgazi - Aydınlıkevler Mahallesi,Daire | 3+1 | 4. Kat | 115 m²,9.500 TL
Kocasinan - Yenidoğan Mahallesi,Daire | 3+1 | 11. Kat | 175 m²,19.500 TL
Melikgazi - Şirintepe Mahallesi,Daire | 3+1 | 1. Kat | 165 m²,18.500 TL
Kocasinan - Ertuğrul Gazi Mahallesi,Daire | 4+1 | 10. Kat | 185 m²,21.500 TL
Kocasinan - Şeker Mahallesi,Daire | 2+1 | 6. Kat | 110 m²,13.500 TL
Melikgazi - Osman Kavuncu Mahallesi,Daire | 3+1 | 6. Kat | 180 m²,16.500 TL
Kocasinan - Fevzi Çakmak Mahallesi,Daire | 3+1 | 4. Kat | 150 m²,13.999 TL
Kocasinan - Şeker Mahallesi,Daire | 2+1 | 1. Kat | 105 m²,12.500 TL
Melikgazi - Bahçelievler Mahallesi,Daire | 2+1 | 3. Kat | 120 m²,13.000 TL
Kocasinan - Beyazşehir Mahallesi,Daire | 3+1 | 4. Kat | 135 m²,13.000 TL
Melikgazi - Gesi Fatih Mahallesi,Daire | 3+1 | 4. Kat | 145 m²,21.000 TL
Develi - Reşadiye Mahallesi,Daire | 3+1 | 4. Kat | 120 m²,14.500 TL
Melikgazi - Tavlusun Mahallesi,Daire | 2+1 | Kot 1 (-1). Kat | 110 m²,8.900 TL
Kocasinan - Mimarsinan Mahallesi,Daire | 3+1 | 7. Kat | 180 m²,22.000 TL
Melikgazi - Alpaslan Mahallesi,Daire | 5+1 | 1. Kat | 290 m²,25.000 TL
Talas - Mevlana Mahallesi,Daire | 2.5+1 | 10. Kat | 135 m²,19.000 TL
Talas - Mevlana Mahallesi,Daire | 3.5+1 | 4. Kat | 185 m²,30.000 TL
