location,information,sales_price
Kırklareli Merkez - Cumhuriyet Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,10.000 TL
Kırklareli Merkez - İstasyon Mahallesi,Daire | 2+1 | 2. Kat | 85 m²,18.000 TL
Kırklareli Merkez - Karakaş Mahallesi,Daire | 3+1 | 2. Kat | 140 m²,22.000 TL
Kırklareli Merkez - Karacaibrahim Mahallesi,Daire | 2+1 | Yüksek giriş | 95 m²,25.000 TL
Lüleburgaz - Dere Mahallesi,Daire | 1+1 | Yüksek giriş | 95 m²,20.000 TL
Lüleburgaz - 8 Kasım Mahallesi,Daire | 2+1 | Yüksek giriş | 125 m²,26.000 TL
Lüleburgaz - Atatürk Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,16.000 TL
Lüleburgaz - Siteler Mahallesi,Daire | 3+1 | 2. Kat | 100 m²,25.000 TL
Kırklareli Merkez - Karakaş Mahallesi,Daire | 3+1 | 2. Kat | 135 m²,20.000 TL
Kırklareli Merkez - Akalar Mahallesi,Daire | Stüdyo | Yüksek giriş | 35 m²,9.500 TL
Kırklareli Merkez - Cumhuriyet Mahallesi,Daire | 1+1 | 5. Kat | 60 m²,13.000 TL
Kırklareli Merkez - İstasyon Mahallesi,Daire | 2+1 | Yüksek giriş | 80 m²,17.000 TL
Kırklareli Merkez - İstasyon Mahallesi,Daire | 2+1 | 4. Kat | 115 m²,25.000 TL
Lüleburgaz - Gündoğu Mahallesi,Daire | 1+1 | 5. Kat | 65 m²,18.000 TL
Lüleburgaz - Yılmaz Mahallesi,Daire | 1+1 | 2. Kat | 60 m²,20.000 TL
Kırklareli Merkez - Karacaibrahim Mahallesi,Daire | 2+1 | 5. Kat | 95 m²,15.000 TL
Kırklareli Merkez - Karakaş Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,18.000 TL
Lüleburgaz - Zafer Mahallesi,Daire | 1+1 | 3. Kat | 60 m²,18.500 TL
Kırklareli Merkez - İstasyon Mahallesi,Daire | 3+1 | 2. Kat | 160 m²,30.000 TL
Kırklareli Merkez - Karakaş Mahallesi,Daire | 2+0 | 2. Kat | 60 m²,15.000 TL
Kırklareli Merkez - Karakaş Mahallesi,Daire | 3+1 | 4. Kat | 148 m²,30.000 TL35.000 TL
Kırklareli Merkez - Atatürk Mahallesi,Daire | 2+1 | Yüksek giriş | 90 m²,23.000 TL
Lüleburgaz - Yıldırım Mahallesi,Daire | 1+1 | 1. Kat | 55 m²,20.000 TL
Kırklareli Merkez - Karahıdır Mahallesi,Daire | 2+1 | 2. Kat | 110 m²,20.000 TL
Kırklareli Merkez - Karakaş Mahallesi,Daire | 3+1 | 4. Kat | 148 m²,35.000 TL
Kırklareli Merkez - Cumhuriyet Mahallesi,Daire | 2+0 | 1. Kat | 50 m²,12.000 TL
Kırklareli Merkez - Demirtaş Mahallesi,Daire | 1+1 | 1. Kat | 55 m²,14.000 TL
Kırklareli Merkez - Bademlik Mahallesi,Daire | 2+1 | 1. Kat | 90 m²,20.000 TL
Kırklareli Merkez - Karacaibrahim Mahallesi,Daire | 1+1 | 1. Kat | 65 m²,18.000 TL
Kırklareli Merkez - Karakaş Mahallesi,Daire | 2+1 | 5. Kat | 100 m²,16.000 TL
Kırklareli Merkez - Demirtaş Mahallesi,Daire | 2+1 | 2. Kat | 95 m²,20.000 TL
Kırklareli Merkez - Pınar Mahallesi,Daire | 3+1 | 2. Kat | 155 m²,25.000 TL
Kırklareli Merkez - Cumhuriyet Mahallesi,Daire | 2+1 | 3. Kat | 100 m²,25.000 TL
Kırklareli Merkez - Karacaibrahim Mahallesi,Daire | 1+1 | 1. Kat | 60 m²,15.000 TL
Kırklareli Merkez - Atatürk Mahallesi,Daire | 3+1 | Yüksek giriş | 110 m²,17.000 TL
Kırklareli Merkez - Karakaş Mahallesi,Daire | 1+1 | 2. Kat | 50 m²,16.000 TL
Kırklareli Merkez - Karacaibrahim Mahallesi,Daire | 5+1 | Düz Giriş (Zemin) | 225 m²,35.000 TL
Babaeski - Fevzi Çakmak Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 80 m²,10.000 TL
Kırklareli Merkez - Akalar Mahallesi,Daire | 1+1 | 3. Kat | 60 m²,16.500 TL
Kırklareli Merkez - Karakaş Mahallesi,Daire | 3+1 | 2. Kat | 140 m²,17.000 TL18.000 TL
Kırklareli Merkez - İstasyon Mahallesi,Daire | 3+1 | 3. Kat | 120 m²,20.000 TL
Lüleburgaz - Kurtuluş Mahallesi,Daire | 3+1 | 2. Kat | 140 m²,25.000 TL
Kırklareli Merkez - Karakaş Mahallesi,Daire | 3+1 | 3. Kat | 160 m²,24.000 TL
Lüleburgaz - Hürriyet Mahallesi,Daire | 3+1 | 3. Kat | 138 m²,19.000 TL
Kırklareli Merkez - Pınar Mahallesi,Daire | 2+1 | 3. Kat | 80 m²,17.000 TL
Kırklareli Merkez - Karakaş Mahallesi,Daire | 2+1 | 3. Kat | 80 m²,21.000 TL
Kırklareli Merkez - Karakaş Mahallesi,Daire | 2+0 | 4. Kat | 50 m²,13.500 TL
Kırklareli Merkez - Cumhuriyet Mahallesi,Daire | 2+0 | 2. Kat | 60 m²,14.000 TL
Kırklareli Merkez - Cumhuriyet Mahallesi,Daire | 2+1 | Yüksek giriş | 95 m²,23.500 TL
Kırklareli Merkez - Cumhuriyet Mahallesi,Daire | 1+1 | 3. Kat | 55 m²,15.000 TL
Kırklareli Merkez - Karakaş Mahallesi,Daire | 1+1 | 3. Kat | 55 m²,18.500 TL
Kırklareli Merkez - Karakaş Mahallesi,Daire | 3+1 | 1. Kat | 140 m²,27.000 TL
