location,information,sales_price
Gölcük - Değirmendere Merkez Mahallesi,Daire | 3+1 | 5. Kat | 120 m²,23.000 TL
Darıca - Nenehatun Mahallesi,Daire | 4+1 | 3. Kat | 180 m²,30.000 TL
Başiskele - Barbaros Mahallesi,Daire | 2+1 | 2. Kat | 90 m²,20.000 TL
Başiskele - Döngel Mahallesi,Daire | 3+1 | 2. Kat | 115 m²,35.000 TL
İzmit - Yahyakaptan Mahallesi,Daire | 2+1 | Yüksek giriş | 90 m²,35.000 TL
Gebze - Barış Mahallesi,Daire | 2+1 | 3. Kat | 80 m²,25.000 TL
Gebze - Barış Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 80 m²,23.000 TL
Çayırova - Özgürlük Mahallesi,Daire | 3+1 | Yüksek giriş | 140 m²,22.000 TL
Gebze - Tatlıkuyu Mahallesi,Daire | 2+1 | Yüksek giriş | 110 m²,22.000 TL
Darıca - Piri Reis Mahallesi,Daire | 3+2 | 3. Kat | 220 m²,29.000 TL
Başiskele - Aydınkent Mahallesi,Daire | 2+1 | 2. Kat | 105 m²,23.000 TL
Gebze - Beylikbağı Mahallesi,Daire | 2+1 | Yüksek giriş | 100 m²,18.000 TL
İzmit - Erenler Mahallesi,Daire | 1+1 | 3. Kat | 65 m²,15.500 TL
Başiskele - Yeşilyurt Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 90 m²,20.000 TL
İzmit - Çayırköy Mahallesi,Daire | 3+1 | 4. Kat | 154 m²,35.000 TL
İzmit - Çayırköy Mahallesi,Daire | 3+1 | Bahçe katı | 180 m²,44.000 TL
Gebze - Arapçeşme Mahallesi,Daire | 2.5+1 | 5. Kat | 150 m²,25.000 TL
Kartepe - Emekevler Mahallesi,Daire | 1+1 | 2. Kat | 105 m²,25.000 TL
İzmit - Yahyakaptan Mahallesi,Daire | 3+1 | 2. Kat | 125 m²,35.000 TL
Karamürsel - 4 Temmuz Mahallesi,Daire | 3+0 | Çatı katı | 110 m²,23.000 TL
Gebze - Köşklü Çeşme Mahallesi,Daire | 2+1 | 2. Kat | 95 m²,24.000 TL
Çayırova - Özgürlük Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 100 m²,16.500 TL
İzmit - Karabaş Mahallesi,Daire | 2+1 | 4. Kat | 95 m²,18.500 TL
İzmit - Alikahya Atatürk Mahallesi,Daire | 1+1 | 3. Kat | 59 m²,16.500 TL
İzmit - Alikahya Atatürk Mahallesi,Daire | 3+1 | 2. Kat | 132 m²,29.000 TL
Darıca - Kazım Karabekir Mahallesi,Daire | 2+1 | 2. Kat | 105 m²,23.000 TL
Darıca - Emek Mahallesi,Daire | 2+1 | 1. Kat | 100 m²,24.000 TL
Gölcük - Çiftlik Mahallesi,Daire | 2+1 | 1. Kat | 115 m²,21.000 TL
Derince - Sırrıpaşa Mahallesi,Daire | 2+1 | 1. Kat | 125 m²,19.000 TL
Körfez - Yeniyalı Mahallesi,Daire | 3+1 | 2. Kat | 160 m²,25.500 TL
Gölcük - Yüzbaşılar Mahallesi,Daire | 2+1 | 4. Kat | 100 m²,21.000 TL
Gölcük - Şehitler Mahallesi,Daire | 3+1 | 2. Kat | 90 m²,14.500 TL
Gölcük - Körfez Mahallesi,Daire | 2+1 | 1. Kat | 105 m²,16.000 TL
Gölcük - Cumhuriyet Mahallesi,Daire | 3+1 | 2. Kat | 180 m²,35.000 TL
Gölcük - Şehitler Mahallesi,Daire | 3+1 | Yüksek giriş | 85 m²,17.000 TL
Körfez - İlimtepe Mahallesi,Daire | 2+1 | 1. Kat | 85 m²,14.000 TL
