location,information,sales_price
Yunusemre - Hafsa Sultan Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,12.000 TL
Salihli - Yörük Mahallesi,Daire | 3+1 | 3. Kat | 110 m²,23.000 TL
Salihli - Beşeylül Mahallesi,Daire | 1+1 | 2. Kat | 45 m²,13.000 TL
Turgutlu - Selvilitepe Mahallesi,Daire | 3+1 | Düz Giriş (Zemin) | 120 m²,17.000 TL
Akhisar - Ulu Camii Mahallesi,Daire | 3+1 | 1. Kat | 130 m²,15.000 TL
Soma - Atatürk Mahallesi,Daire | 2+1 | 4. Kat | 130 m²,15.250 TL
Turgutlu - Şehitler Mahallesi,Daire | 2+1 | 3. Kat | 105 m²,18.000 TL
Akhisar - İnönü Mahallesi,Daire | 3+1 | 2. Kat | 120 m²,13.000 TL
Ahmetli - Zafer Mahallesi,Daire | 3+1 | 2. Kat | 145 m²,17.000 TL
Ahmetli - Ulu Cami Mahallesi,Daire | 2+1 | 4. Kat | 130 m²,15.000 TL
Soma - Kurtuluş Mahallesi,Daire | 3+1 | 3. Kat | 130 m²,21.000 TL
Salihli - Namık Kemal Mahallesi,Daire | 2+1 | 4. Kat | 110 m²,15.000 TL
Yunusemre - Muradiye Mahallesi,Daire | 2+1 | 2. Kat | 95 m²,19.000 TL
Yunusemre - Muradiye Mahallesi,Daire | 1+1 | 2. Kat | 65 m²,27.500 TL
Soma - Turgutalp Mahallesi,Daire | 3+1 | 3. Kat | 210 m²,25.000 TL
Soma - Namazgah Mahallesi,Daire | 1+1 | 3. Kat | 65 m²,12.000 TL
Soma - İnönü Mahallesi,Daire | 2+1 | 1. Kat | 100 m²,14.500 TL
Alaşehir - Kurtuluş Mahallesi,Daire | 1+1 | 1. Kat | 60 m²,15.000 TL
Alaşehir - İstasyon Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,14.000 TL
Şehzadeler - Yarhasanlar Mahallesi,Daire | 2+1 | 3. Kat | 90 m²,16.000 TL
Soma - Atatürk Mahallesi,Daire | 3+1 | 2. Kat | 145 m²,20.000 TL
Soma - Turgutalp Mahallesi,Daire | 2+1 | 5. Kat | 100 m²,15.000 TL
Yunusemre - Muradiye Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,21.000 TL
Yunusemre - Muradiye Mahallesi,Daire | 2+1 | 3. Kat | 85 m²,25.000 TL
Turgutlu - Ergenekon Mahallesi,Daire | 3+1 | 6. Kat | 140 m²,26.000 TL
Turgutlu - Ergenekon Mahallesi,Daire | 3+1 | 3. Kat | 140 m²,25.000 TL
Turgutlu - Ergenekon Mahallesi,Daire | 3+1 | 1. Kat | 145 m²,26.500 TL
Turgutlu - Selvilitepe Mahallesi,Daire | 1+1 | 17. Kat | 67 m²,21.000 TL
Turgutlu - Ergenekon Mahallesi,Daire | 3+1 | 2. Kat | 150 m²,24.000 TL
Yunusemre - Yeni Mahalle Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,30.000 TL
Yunusemre - Muradiye Mahallesi,Daire | 2+1 | 2. Kat | 85 m²,16.500 TL
Yunusemre - Muradiye Mahallesi,Daire | 1+1 | Yüksek giriş | 60 m²,12.000 TL
Yunusemre - Muradiye Mahallesi,Daire | 2+1 | 4. Kat | 100 m²,20.000 TL
Yunusemre - Muradiye Mahallesi,Daire | 2+1 | Yüksek giriş | 75 m²,16.500 TL
Alaşehir - Fatih Mahallesi,Daire | 3+1 | 2. Kat | 150 m²,15.000 TL
Alaşehir - Hacıbey Mahallesi,Daire | 3+1 | 2. Kat | 140 m²,19.000 TL
Alaşehir - Beşeylül Mahallesi,Daire | 2+1 | 1. Kat | 150 m²,21.000 TL
Alaşehir - Hacıbey Mahallesi,Daire | 2+1 | 2. Kat | 90 m²,20.000 TL
Akhisar - Atatürk Mahallesi,Daire | 1+1 | 11. Kat | 60 m²,24.000 TL
Akhisar - Hürriyet Mahallesi,Daire | 3+1 | 5. Kat | 185 m²,20.000 TL
Akhisar - Ragıp Bey Mahallesi,Daire | 2+1 | 5. Kat | 125 m²,10.000 TL
Akhisar - Ulu Camii Mahallesi,Daire | 3+1 | 2. Kat | 160 m²,21.250 TL
Akhisar - Atatürk Mahallesi,Daire | 3+1 | 2. Kat | 145 m²,21.900 TL
Akhisar - Ulu Camii Mahallesi,Daire | 1+1 | 3. Kat | 70 m²,20.000 TL
Akhisar - Ragıp Bey Mahallesi,Daire | 3+1 | 1. Kat | 125 m²,17.000 TL
Akhisar - Ragıp Bey Mahallesi,Daire | 1+1 | 2. Kat | 75 m²,22.000 TL
Yunusemre - Muradiye Mahallesi,Daire | 1+1 | 1. Kat | 65 m²,16.000 TL
Turgutlu - Altay Mahallesi,Daire | 2+1 | 3. Kat | 100 m²,15.000 TL
Turgutlu - Yeni Mahallesi,Daire | 2+1 | 1. Kat | 100 m²,19.500 TL
Akhisar - Cumhuriyet Mahallesi,Daire | 2+1 | 3. Kat | 120 m²,16.500 TL
Soma - Hürriyet Mahallesi,Daire | 2+1 | 4. Kat | 100 m²,14.000 TL
Soma - İnönü Mahallesi,Daire | 1+1 | 3. Kat | 80 m²,14.000 TL
Soma - Onüç Eylül Mahallesi,Daire | 2+1 | 1. Kat | 110 m²,20.000 TL
Yunusemre - Hafsa Sultan Mahallesi,Daire | 2+1 | 4. Kat | 110 m²,26.000 TL
Akhisar - Atatürk Mahallesi,Daire | 2+1 | 1. Kat | 112 m²,21.000 TL
Akhisar - Hürriyet Mahallesi,Daire | 3+1 | 4. Kat | 140 m²,17.000 TL
Turgutlu - Selvilitepe Mahallesi,Daire | 1+1 | 3. Kat | 55 m²,20.000 TL
Yunusemre - 50. Yıl Mahallesi,Daire | 2+1 | 2. Kat | 60 m²,19.000 TL
Şehzadeler - Utku Mahallesi,Daire | 2+1 | 5. Kat | 80 m²,13.250 TL
Ahmetli - Altıeylül Mahallesi,Daire | 3+1 | 2. Kat | 155 m²,16.000 TL
Alaşehir - İstasyon Mahallesi,Daire | 3+1 | 1. Kat | 170 m²,27.000 TL
Alaşehir - Soğuksu Mahallesi,Daire | 2+1 | 5. Kat | 100 m²,14.000 TL
Alaşehir - Beşeylül Mahallesi,Daire | 3+1 | 2. Kat | 185 m²,14.000 TL
Yunusemre - Muradiye Mahallesi,Daire | 6+1 | 4. Kat | 220 m²,26.000 TL
Soma - Turgutalp Mahallesi,Daire | 1+1 | 3. Kat | 100 m²,15.000 TL
Soma - Nihat Danışman Mahallesi,Daire | 2+1 | 2. Kat | 110 m²,20.000 TL
Yunusemre - Barbaros Mahallesi,Daire | 2+1 | 2. Kat | 105 m²,15.000 TL
Şehzadeler - Göktaşlı Mahallesi,Daire | 2+1 | 3. Kat | 90 m²,20.000 TL
Alaşehir - Beşeylül Mahallesi,Daire | 2+1 | 2. Kat | 135 m²,12.500 TL
Yunusemre - Tevfikiye Mahallesi,Daire | 3+1 | 1. Kat | 100 m²,25.000 TL
Şehzadeler - İbrahimçelebi Mahallesi,Daire | 3+1 | 3. Kat | 84 m²,23.000 TL
Soma - Turgutalp Mahallesi,Daire | 3+1 | 1. Kat | 130 m²,25.000 TL
Akhisar - Reşat Bey Mahallesi,Daire | 2+1 | 2. Kat | 95 m²,18.000 TL
Akhisar - Kethüda Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,15.000 TL
Yunusemre - Muradiye Mahallesi,Daire | 1+1 | 4. Kat | 65 m²,15.500 TL
Akhisar - Ulu Camii Mahallesi,Daire | 3+1 | 1. Kat | 145 m²,15.000 TL
