location,information,sales_price
Altınordu - Cumhuriyet Mahallesi,Daire | 3+1 | 1. Kat | 120 m²,20.000 TL
Altınordu - Aziziye Mahallesi,Daire | 2+1 | Yüksek giriş | 100 m²,16.500 TL
Altınordu - Cumhuriyet Mahallesi,Daire | 1+1 | 2. Kat | 50 m²,15.000 TL
Altınordu - Şirinevler Mahallesi,Daire | 3+1 | 7. Kat | 125 m²,22.500 TL
Altınordu - Karşıyaka Mahallesi,Daire | 2+1 | 1. Kat | 95 m²,17.500 TL
Altınordu - Şahincili Mahallesi,Daire | 4+2 | 5. Kat | 210 m²,42.500 TL
Fatsa - Evkaf Mahallesi,Daire | 3+1 | 6. Kat | 135 m²,16.500 TL
Fatsa - Sakarya Mahallesi,Daire | 2+1 | 4. Kat | 100 m²,14.000 TL
Fatsa - Fatih Mahallesi,Daire | 3+1 | 2. Kat | 150 m²,15.500 TL
Fatsa - Kurtuluş Mahallesi,Daire | 3+1 | 11. Kat | 135 m²,16.000 TL
Altınordu - Cumhuriyet Mahallesi,Daire | 1+1 | Yüksek giriş | 50 m²,13.500 TL
Altınordu - Bucak Mahallesi,Daire | 3+1 | 8. Kat | 125 m²,25.000 TL
Altınordu - Karşıyaka Mahallesi,Daire | 3+1 | 3. Kat | 140 m²,25.000 TL
Altınordu - Cumhuriyet Mahallesi,Daire | 3+1 | 2. Kat | 145 m²,27.000 TL
Altınordu - Cumhuriyet Mahallesi,Daire | 1+1 | Düz Giriş (Zemin) | 45 m²,14.000 TL
Gülyalı - Turnasuyu Mahallesi,Daire | 1+1 | 4. Kat | 50 m²,12.750 TL
Altınordu - Cumhuriyet Mahallesi,Daire | 2+1 | 2. Kat | 110 m²,17.500 TL
Altınordu - Şahincili Mahallesi,Daire | 3+1 | 2. Kat | 180 m²,23.000 TL
Gülyalı - Turnasuyu Mahallesi,Daire | 1+1 | 2. Kat | 45 m²,10.000 TL
Altınordu - Cumhuriyet Mahallesi,Daire | 1+1 | 1. Kat | 45 m²,19.000 TL
Altınordu - Karşıyaka Mahallesi,Daire | 4+1 | 7. Kat | 180 m²,33.000 TL
Altınordu - Karşıyaka Mahallesi,Daire | 2+1 | 2. Kat | 88 m²,17.500 TL
Altınordu - Cumhuriyet Mahallesi,Daire | 2+1 | 3. Kat | 88 m²,16.500 TL
Altınordu - Cumhuriyet Mahallesi,Daire | 1+1 | 2. Kat | 60 m²,13.000 TL
Altınordu - Cumhuriyet Mahallesi,Daire | 1+1 | 1. Kat | 55 m²,10.000 TL
Altınordu - Karşıyaka Mahallesi,Daire | 2+1 | 3. Kat | 95 m²,14.750 TL
Perşembe - Kacalı Mahallesi,Daire | 2+1 | 1. Kat | 95 m²,15.000 TL
Fatsa - Dolunay Mahallesi,Daire | 3+1 | Yüksek giriş | 155 m²,24.000 TL
Ünye - Gölevi Mahallesi,Daire | 3+1 | 3. Kat | 115 m²,25.000 TL
Ünye - Çınarlık Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 90 m²,12.000 TL
Ünye - Gölevi Mahallesi,Daire | 1+1 | 11. Kat | 45 m²,13.000 TL
Ünye - Kaledere Mahallesi,Daire | 2+1 | 3. Kat | 100 m²,12.000 TL
Ünye - Nuriye Mahallesi,Daire | 3+1 | Düz Giriş (Zemin) | 100 m²,8.500 TL
Altınordu - Nizamettin Mahallesi,Daire | 3+1 | 8. Kat | 145 m²,24.000 TL
Altınordu - Cumhuriyet Mahallesi,Daire | 1+1 | 1. Kat | 75 m²,15.750 TL
Ünye - Çamurlu Mahallesi,Daire | 2+1 | 2. Kat | 125 m²,15.000 TL
Altınordu - Şirinevler Mahallesi,Daire | 2+1 | 5. Kat | 135 m²,22.000 TL
Altınordu - Güzelyalı Mahallesi,Daire | 2+1 | 2. Kat | 80 m²,24.000 TL
Altınordu - Cumhuriyet Mahallesi,Daire | 2+1 | 2. Kat | 85 m²,17.500 TL
Fatsa - Evkaf Mahallesi,Daire | 2+1 | 1. Kat | 75 m²,17.000 TL
Fatsa - Evkaf Mahallesi,Daire | 3+1 | 7. Kat | 165 m²,20.000 TL
Fatsa - Evkaf Mahallesi,Daire | 2+1 | 3. Kat | 135 m²,18.000 TL
Ünye - Çamurlu Mahallesi,Daire | 3+1 | 2. Kat | 125 m²,15.000 TL
Altınordu - Karşıyaka Mahallesi,Daire | 2+2 | 1. Kat | 120 m²,24.000 TL
Fatsa - Fatih Mahallesi,Daire | 3+1 | 1. Kat | 165 m²,16.000 TL
Fatsa - Ayazlı Mahallesi,Daire | 3+1 | 2. Kat | 140 m²,14.000 TL
Fatsa - Şerefiye Mahallesi,Daire | 3+1 | 2. Kat | 130 m²,12.000 TL
Fatsa - Evkaf Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,13.000 TL
Altınordu - Cumhuriyet Mahallesi,Daire | 1+1 | 9. Kat | 50 m²,18.000 TL
Altınordu - Şahincili Mahallesi,Daire | 3+1 | 7. Kat | 145 m²,25.500 TL
