İlan Numarası,İlan Oluşturma Tarihi,İlan Güncelleme Tarihi,Türü,Kategorisi,Tipi,Net Metrekare,Brüt Metrekare,Oda Sayısı,Binanın Yaşı,Bulunduğu Kat,Binanın Kat Sayısı,Isıtma Tipi,Kullanım Durumu,Yapı Durumu,Yapı Tipi,Eşya Durumu,Aidat,Tapu Durumu,Site İçerisinde,Depozito,Takas,Banyo Sayısı,Banyo Metrekare,Balkon Durumu,Salon Metrekare,WC Sayısı,Fiyat Durumu,Görüntülü Gezilebilir mi?,Ada,Parsel,fiyat,konum,URL,Balkon Sayısı,Balkon Tipi,Balkon Metrekare,WC Metrekare
17496050,17 Haziran 2025,21 Temmuz 2025,Konut,Kiralık,Daire,110 m²,165 m²,3+1,21 Ve Üzeri,Bahçe Katı,5,Kombi Doğalgaz,Boş,İkinci El,Betonarme,Eşyalı,100 TL,Kat Mülkiyeti,Hayır,18300 TL,Yok,1,15 m²,Yok,35 m²,2,Genel Fiyat,Evet,2085,28,18.300TL,Gaziantep - Şahinbey - Kolejtepe Mahallesi,https://www.emlakjet.com/ilan/kolejtepe-de-genis-bahceli-bakimli-kiralik-3-1-daire-17496050,,,,
17460806,09 Haziran 2025,07 Temmuz 2025,Konut,Kiralık,Daire,160 m²,180 m²,3+1,11-15,7.Kat,7,Kombi Doğalgaz,Boş,,,,,Tapu Kaydı Yok,Evet,30500 TL,,2,,Var,,,Genel Fiyat,,,,30.500TL,Gaziantep - Şehitkamil - Atatürk Mahallesi,https://www.emlakjet.com/ilan/ataturk-mahallesi-muhtesem-manzarali-kiralik-bakimli-daire-17460806,2,,,
17470069,11 Haziran 2025,11 Haziran 2025,Konut,Kiralık,Daire,201 m²,230 m²,3+1,21 Ve Üzeri,4.Kat,5,Kombi Doğalgaz,Boş,,,Boş,,Kat Mülkiyeti,Hayır,,Yok,2,,,,,Genel Fiyat,,,,36.000TL,Gaziantep - Şehitkamil - Sarıgüllük Mahallesi,https://www.emlakjet.com/ilan/kutlar-dan-sarigulluk-botanikbahce-karsisi-kiralik-genis-31-dai-17470069,,,,
17401849,26 Mayıs 2025,26 Mayıs 2025,Konut,Kiralık,Daire,60 m²,65 m²,1+1,5-10,2.Kat,2,Kombi Doğalgaz,Boş,,,,,Kat Mülkiyeti,Hayır,,,1,,,,,Genel Fiyat,,4290,1,12.750TL,Gaziantep - Şahinbey - Şahintepe Mahallesi,https://www.emlakjet.com/ilan/royalest-ten-merkez-de-tramvay-yakini-nezih-guvenlikli-11-17401849,,,,
17497232,17 Haziran 2025,01 Ağustos 2025,Konut,Kiralık,Daire,15 m²,20 m²,1 Oda,16-20,6.Kat,6,Merkezi Doğalgaz,Boş,,,,500 TL,Hisseli Tapu,Evet,5000 TL,,1,,Yok,,,Birim Fiyat,,4034,198,5.000TL,Gaziantep - Şahinbey - Güneykent Mahallesi,https://www.emlakjet.com/ilan/guneykentte-kiralik-10-esyali-teras-daire-17497232,,,,
17486611,15 Haziran 2025,15 Haziran 2025,Konut,Kiralık,Daire,240 m²,270 m²,4+1,16-20,1.Kat,8,Kombi Doğalgaz,Boş,,,Boş,,Kat Mülkiyeti,Evet,,Yok,2,,,,,Genel Fiyat,,,,16.500TL,Gaziantep - Şehitkamil - Sefaşehir Mahallesi,https://www.emlakjet.com/ilan/sefasehir-mah-de-doktorlar-sitesi-arkasinda-41-kiralik-daire-17486611,,,,
17538049,24 Haziran 2025,24 Haziran 2025,Konut,Kiralık,Daire,140 m²,160 m²,3+1,16-20,9.Kat,16,Kombi Doğalgaz,Kiracı Oturuyor,,,,,Kat İrtifakı,Hayır,,,2,,,,,Genel Fiyat,,3357,1,26.000TL,Gaziantep - Şehitkamil - Osmangazi Mahallesi,https://www.emlakjet.com/ilan/royalest-ten-osmangazi-de-site-ici-ara-kat-daire-17538049,,,,
17399716,26 Mayıs 2025,26 Mayıs 2025,Konut,Kiralık,Daire,60 m²,65 m²,1+1,5-10,10.Kat,15,Kombi Doğalgaz,Boş,,,,,Kat Mülkiyeti,Hayır,,,1,,,,,Genel Fiyat,,4294,2,14.500TL,Gaziantep - Şahinbey - Şahintepe Mahallesi,https://www.emlakjet.com/ilan/royalest-ten-hasarsiz-site-ici-aile-binasi-bakimli-ve-genis-17399716,,,,
17497156,17 Haziran 2025,17 Haziran 2025,Konut,Kiralık,Daire,15 m²,20 m²,1 Oda,5-10,Bodrum Kat,4,Merkezi Doğalgaz,Boş,,,,200 TL,Hisseli Tapu,Hayır,6000 TL,,1,,Yok,,,Birim Fiyat,,4034,198,6.000TL,Gaziantep - Şahinbey - Güneykent Mahallesi,https://www.emlakjet.com/ilan/guneykentte-kiralik-10-esyali-studyo-daire-17497156,,,,
17503739,18 Haziran 2025,18 Haziran 2025,Konut,Kiralık,Daire,95 m²,105 m²,2+1,5-10,1.Kat,7,Kombi Doğalgaz,Boş,,,,,Kat Mülkiyeti,Hayır,,,1,,,,,Genel Fiyat,,5091,2,12.500TL,Gaziantep - Şehitkamil - Seyrantepe Mahallesi,https://www.emlakjet.com/ilan/royalest-ten-merkezi-lokasyonda-kiralik-daire-17503739,,,,
