İlan Numarası,İlan Oluşturma Tarihi,İlan Güncelleme Tarihi,Türü,Kategorisi,Tipi,Net Metrekare,Brüt Metrekare,Oda Sayısı,Binanın Yaşı,Bulunduğu Kat,Binanın Kat Sayısı,Isıtma Tipi,Kullanım Durumu,Eşya Durumu,Tapu Durumu,Site İçerisinde,Takas,Banyo Sayısı,Fiyat Durumu,fiyat,konum,URL,Aidat,Depozito,Balkon Durumu,Balkon Sayısı,Ada,Parsel,Yapı Durumu,Yapı Tipi,Balkon Tipi,Banyo Metrekare,Salon Metrekare,WC Sayısı,WC Metrekare,Balkon Metrekare,Görüntülü Gezilebilir mi?
17898492,17 Ağustos 2025,21 Ağustos 2025,Konut,Kiralık,Daire,90 m²,95 m²,2+1,21 Ve Üzeri,5.Kat,6,Kombi Doğalgaz,Boş,Boş,Hisseli Tapu,Hayır,Yok,1,Genel Fiyat,18.000TL,İstanbul - Küçükçekmece - İnönü Mahallesi,https://www.emlakjet.com/ilan/kiralik-daire-arakat-balkonlu-17898492,,,,,,,,,,,,,,,
17898508,17 Ağustos 2025,20 Ağustos 2025,Konut,Kiralık,Daire,50 m²,65 m²,1+1,11-15,1.Kat,5,Merkezi (Pay Ölçer),Boş,Boş,Kat Mülkiyeti,Evet,Yok,1,Genel Fiyat,20.000TL,İstanbul - Tuzla - Aydınlı Mahallesi,https://www.emlakjet.com/ilan/adres-natura-sitesinde-kiralik-11-daire-17898508,,,,,,,,,,,,,,,
17898411,17 Ağustos 2025,22 Ağustos 2025,Konut,Kiralık,Daire,85 m²,105 m²,2+1,0 (Yeni),2.Kat,4,Kombi Doğalgaz,Boş,,Kat Mülkiyeti,Hayır,,2,Genel Fiyat,17.000TL,İstanbul - Esenyurt - Orhan Gazi Mahallesi,https://www.emlakjet.com/ilan/orhangazi-mahallesi-sifir-kiralik-daireler-21-85-m2-17898411,300 TL,17000 TL,Var,1,3119,3,,,,,,,,,
17898518,17 Ağustos 2025,21 Ağustos 2025,Konut,Kiralık,Daire,65 m²,75 m²,2+1,0 (Yeni),Yüksek Giriş,3,Kombi Doğalgaz,Boş,Boş,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,17.000TL,İstanbul - Başakşehir - Güvercintepe Mahallesi,https://www.emlakjet.com/ilan/cam-sakura-devlet-hastanesine-10-dakika-mesafede-sifir-kiralik-17898518,,,,,,,,,,,,,,,
17898268,17 Ağustos 2025,21 Ağustos 2025,Konut,Kiralık,Daire,90 m²,100 m²,3+1,11-15,Yüksek Giriş,4,Kombi Doğalgaz,Boş,Boş,Kat Mülkiyeti,Hayır,Yok,2,Genel Fiyat,30.000TL,İstanbul - Çekmeköy - Mimar Sinan Mahallesi,https://www.emlakjet.com/ilan/cekmekoy-mimar-sinan-mahallesinde-31-kiralik-daire-17898268,,,,,,,,,,,,,,,
17898265,17 Ağustos 2025,22 Ağustos 2025,Konut,Kiralık,Daire,85 m²,90 m²,2+1,0 (Yeni),Düz Giriş (Zemin),3,Kombi Doğalgaz,Boş,Boş,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,35.000TL,İstanbul - Çekmeköy - Merkez Mahallesi,https://www.emlakjet.com/ilan/cekmekoy-merkez-mah-kiralik-genis-ve-ferah-sifir-bina-21-daire-17898265,,,,,,,,,,,,,,,
17898213,17 Ağustos 2025,21 Ağustos 2025,Konut,Kiralık,Daire,65 m²,75 m²,1+1,5-10,12.Kat,30,Merkezi (Pay Ölçer),Boş,Eşyalı,Kat Mülkiyeti,Evet,Yok,1,Genel Fiyat,19.500TL,İstanbul - Esenyurt - Akevler Mahallesi,https://www.emlakjet.com/ilan/sonsuz-yapidan-metrobuse-8dk-full-esyali-daire-17898213,,,,,,,,,,,,,,,
17898026,16 Ağustos 2025,21 Ağustos 2025,Konut,Kiralık,Daire,55 m²,67 m²,1+1,4,4.Kat,16,Yerden Isıtma,Boş,Eşyalı,Kat Mülkiyeti,Evet,Yok,1,Genel Fiyat,47.000TL,İstanbul - Maltepe - Feyzullah Mahallesi,https://www.emlakjet.com/ilan/nova-dan-mesa-cadde-acik-hava-cadde-yasami-esyali-11-kiralik-17898026,,,,,,,,,,,,,,,
17897903,16 Ağustos 2025,21 Ağustos 2025,Konut,Kiralık,Daire,110 m²,140 m²,3+1,21 Ve Üzeri,Bahçe Katı,4,Kombi Doğalgaz,Boş,Boş,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,125.000TL,İstanbul - Beşiktaş - Bebek Mahallesi,https://www.emlakjet.com/ilan/bebek-sahiile-yakin-tadilatli-31-bahce-kati-17897903,,,,,,,,,,,,,,,
17897856,16 Ağustos 2025,20 Ağustos 2025,Konut,Kiralık,Daire,120 m²,130 m²,2+1,16-20,2.Kat,3,Kombi Doğalgaz,Boş,Boş,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,20.000TL,İstanbul - Arnavutköy - Nenehatun Mahallesi,https://www.emlakjet.com/ilan/drs-gayrimenkul-den-21-ara-kat-daire-130-m2-17897856,,,,,,,,,,,,,,,
