İlan Numarası,İlan Oluşturma Tarihi,İlan Güncelleme Tarihi,Türü,Kategorisi,Tipi,Net Metrekare,Brüt Metrekare,Oda Sayısı,Binanın Yaşı,Bulunduğu Kat,Binanın Kat Sayısı,Isıtma Tipi,Kullanım Durumu,Eşya Durumu,Tapu Durumu,Site İçerisinde,Takas,Banyo Sayısı,Fiyat Durumu,fiyat,konum,URL,Depozito,Balkon Durumu,Ada,Parsel,Balkon Sayısı,WC Sayısı,Yapı Durumu,Yapı Tipi,Aidat,Balkon Tipi,Görüntülü Gezilebilir mi?,Balkon Metrekare,Banyo Metrekare,Salon Metrekare,WC Metrekare
17519804,20 Haziran 2025,20 Haziran 2025,Konut,Kiralık,Daire,40 m²,50 m²,1+1,0 (Yeni),1.Kat,6,Kombi Doğalgaz,Boş,Boş,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,15.500TL,Samsun - Atakum - Yenimahalle Mahallesi,https://www.emlakjet.com/ilan/master-brokers-atakent-tramvay-alti-kiralik-11-17519804,,,,,,,,,,,,,,,
17519014,20 Haziran 2025,20 Haziran 2025,Konut,Kiralık,Daire,130 m²,135 m²,3+1,21 Ve Üzeri,2.Kat,5,Kombi Doğalgaz,Boş,Boş,Kat İrtifakı,Hayır,Yok,1,Genel Fiyat,26.000TL,Samsun - İlkadım - İstasyon Mahallesi,https://www.emlakjet.com/ilan/istasyon-mahallesi-nde-31-kiralik-daire-17519014,,,,,,,,,,,,,,,
17514362,20 Haziran 2025,20 Haziran 2025,Konut,Kiralık,Daire,125 m²,145 m²,3+1,21 Ve Üzeri,2.Kat,5,Kombi Doğalgaz,Boş,Boş,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,16.000TL,Samsun - Ladik - Bahşi Mahallesi,https://www.emlakjet.com/ilan/ladik-merkezde-kiralik-31-17514362,,,,,,,,,,,,,,,
17508759,19 Haziran 2025,23 Haziran 2025,Konut,Kiralık,Daire,50 m²,55 m²,1+1,0 (Yeni),2.Kat,3,Yerden Isıtma,Boş,Eşyalı,Kat Mülkiyeti,Hayır,,1,Genel Fiyat,14.000TL,Samsun - Atakum - Alanlı Mahallesi,https://www.emlakjet.com/ilan/kuvvet-ten-bulvara-1-sokak-ara-kat-sifir-esyali-11-17508759,14000 TL,Var,6373,11,,,,,,,,,,,
17511331,19 Haziran 2025,19 Haziran 2025,Konut,Kiralık,Daire,90 m²,100 m²,2+1,21 Ve Üzeri,2.Kat,4,Kombi Doğalgaz,Boş,,Kooperatiften Tapu,Evet,,1,Genel Fiyat,13.000TL,Samsun - İlkadım - Adalet Mahallesi,https://www.emlakjet.com/ilan/adalet-mh-de-100-m2-21-dogalgazli-balkonlu-temiz-daire-17511331,,,,,,,,,,,,,,,
17507462,18 Haziran 2025,18 Haziran 2025,Konut,Kiralık,Daire,50 m²,60 m²,1+1,3,4.Kat,4,Kombi Doğalgaz,Boş,Eşyalı,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,17.000TL,Samsun - Atakum - Yenimahalle Mahallesi,https://www.emlakjet.com/ilan/remax-kuzey-yunus-tan-yenimahalle-de-kiralik-esyali-11-daire-17507462,,,,,,,,,,,,,,,
17519043,20 Haziran 2025,20 Haziran 2025,Konut,Kiralık,Daire,130 m²,140 m²,3+1,21 Ve Üzeri,4.Kat,4,Kombi Doğalgaz,Boş,Boş,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,12.000TL,Samsun - Canik - Karşıyaka Mahallesi,https://www.emlakjet.com/ilan/canik-te-sehir-ve-deniz-manzarali-merkezi-konumda-31-kiralik-17519043,,,,,,,,,,,,,,,
17519076,20 Haziran 2025,20 Haziran 2025,Konut,Kiralık,Daire,50 m²,55 m²,1+1,5-10,3.Kat,5,Kombi Doğalgaz,Boş,Boş,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,12.500TL,Samsun - Atakum - Yenimahalle Mahallesi,https://www.emlakjet.com/ilan/atakent-75-yil-cami-yaninda-tramvaya-5-dk-mesafe-11-kiralik-17519076,,,,,,,,,,,,,,,
17505903,18 Haziran 2025,23 Ağustos 2025,Konut,Kiralık,Daire,200 m²,220 m²,4+1,0 (Yeni),2.Kat,10,Kombi Doğalgaz,Boş,,Kat Mülkiyeti,Evet,,2,Genel Fiyat,40.000TL,Samsun - Atakum - Çobanözü Mahallesi,https://www.emlakjet.com/ilan/kubilay-emlak-tan-kiralik-41-daire-17505903,,Var,11905,7,,,,,,,,,,,
17519088,20 Haziran 2025,20 Haziran 2025,Konut,Kiralık,Daire,55 m²,60 m²,1+1,4,Yüksek Giriş,5,Kombi Doğalgaz,Kiracı Oturuyor,Boş,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,16.000TL,Samsun - Atakum - Cumhuriyet Mahallesi,https://www.emlakjet.com/ilan/omurevleri-tramvay-duragina-2-dk-mesafede-kiralik-11-daire-17519088,,,,,,,,,,,,,,,
17519733,20 Haziran 2025,08 Ağustos 2025,Konut,Kiralık,Daire,160 m²,170 m²,5+1,16-20,Müstakil,2,Isıtma Yok,Boş,Eşyalı,Müstakil Tapulu,Hayır,,3,Genel Fiyat,35.000TL,Samsun - Yakakent - Kozköy Mahallesi,https://www.emlakjet.com/ilan/samsun-yakakentte-abinelikleir-acik-kiralik-villa-17519733,35000 TL,Var,541,25,2,2,,,,,,,,,
17522279,21 Haziran 2025,21 Haziran 2025,Konut,Kiralık,Daire,45 m²,55 m²,1+1,3,2.Kat,4,Kombi Doğalgaz,Boş,Eşyalı,Tapu Kaydı Yok,Hayır,Yok,1,Genel Fiyat,12.000TL,Samsun - Atakum - Alanlı Mahallesi,https://www.emlakjet.com/ilan/avantaj-gayrimenkulden-esyali-kiralik-11-atakumda-17522279,12000 TL,Var,,,1,1,İkinci El,Betonarme,100 TL,Açık Balkon,Hayır,,,,
