location,information,sales_price
Marmaraereğlisi - Mustafa Kemal Paşa Mahallesi,Daire | 1+1 | 2. Kat | 80 m²,14.500 TL
Çorlu - Hatip Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,14.500 TL
Çerkezköy - Fevzi Paşa Mahallesi,Daire | 2+1 | 3. Kat | 120 m²,25.000 TL
Çerkezköy - İstasyon Mahallesi,Daire | 2+1 | 3. Kat | 115 m²,17.000 TL
Kapaklı - Yıldızkent Mahallesi,Daire | 1+1 | 1. Kat | 65 m²,15.000 TL
Kapaklı - Atatürk Mahallesi,Daire | 2+1 | 4. Kat | 100 m²,10.000 TL
Çerkezköy - Bağlık Mahallesi,Daire | 3+1 | 3. Kat | 140 m²,20.000 TL
Çorlu - Zafer Mahallesi,Daire | 1+1 | 1. Kat | 75 m²,12.750 TL
Çorlu - Nusratiye Mahallesi,Daire | 1+1 | Yüksek giriş | 65 m²,13.500 TL
Süleymanpaşa - Topağaç Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,25.000 TL
Süleymanpaşa - 100. Yıl Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,30.000 TL
Süleymanpaşa - Değirmenaltı Mahallesi,Daire | 1+1 | 1. Kat | 50 m²,20.000 TL
Kapaklı - 19 Mayıs Mahallesi,Daire | 2+0 | 3. Kat | 100 m²,12.000 TL
Çerkezköy - Veliköy Mahallesi,Daire | 2+1 | 3. Kat | 95 m²,15.000 TL17.500 TL
Çorlu - Kazımiye Mahallesi,Daire | 3+1 | 4. Kat | 150 m²,20.000 TL
Kapaklı - Bahçelievler Mahallesi,Daire | 2+1 | Yüksek giriş | 85 m²,10.000 TL
Çerkezköy - İstasyon Mahallesi,Daire | 1+1 | 5. Kat | 65 m²,13.000 TL
Çorlu - Esentepe Mahallesi,Daire | 3+1 | 11. Kat | 145 m²,25.000 TL
Çorlu - Reşadiye Mahallesi,Daire | 2+1 | 5. Kat | 95 m²,20.000 TL
Kapaklı - Ömer Halisdemir Mahallesi,Daire | 2+1 | 1. Kat | 80 m²,13.000 TL
Süleymanpaşa - Çiftlikönü Mahallesi,Daire | 2+1 | 1. Kat | 100 m²,20.000 TL
Süleymanpaşa - 100. Yıl Mahallesi,Daire | 3+1 | 1. Kat | 140 m²,22.500 TL
Süleymanpaşa - Ortacami Mahallesi,Daire | 2+1 | 2. Kat | 115 m²,25.000 TL
Süleymanpaşa - Atatürk Mahallesi,Daire | 1+1 | 2. Kat | 52 m²,18.000 TL
Süleymanpaşa - Çiftlikönü Mahallesi,Daire | 3+1 | 3. Kat | 115 m²,17.000 TL
Süleymanpaşa - Ortacami Mahallesi,Daire | 2+1 | Kot 1 (-1). Kat | 100 m²,10.000 TL
Süleymanpaşa - 100. Yıl Mahallesi,Daire | 3+1 | 2. Kat | 150 m²,27.000 TL
Kapaklı - Yunus Emre Mahallesi,Daire | 2+1 | Yüksek giriş | 76 m²,10.000 TL
Çorlu - Muhittin Mahallesi,Daire | 2+1 | Yüksek giriş | 130 m²,15.000 TL
Çorlu - Rumeli Mahallesi,Daire | 1+1 | 3. Kat | 50 m²,13.000 TL
Çerkezköy - Yıldırım Beyazıt Mahallesi,Daire | 4+1 | Çatı katı | 160 m²,20.000 TL
Çorlu - Rumeli Mahallesi,Daire | 1+1 | Düz Giriş (Zemin) | 60 m²,11.500 TL
Çorlu - Rumeli Mahallesi,Daire | 2+1 | 2. Kat | 90 m²,20.000 TL
Çorlu - Çobançeşme Mahallesi,Daire | 1+1 | 1. Kat | 65 m²,15.000 TL
Çorlu - Rumeli Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 85 m²,17.500 TL
Çorlu - Muhittin Mahallesi,Daire | 4+1 | 3. Kat | 177 m²,25.000 TL
Çerkezköy - Kızılpınar Atatürk Mahallesi,Daire | 1+1 | Yüksek giriş | 75 m²,11.000 TL
Süleymanpaşa - Kumbağ Mahallesi,Daire | 2+1 | 1. Kat | 80 m²,20.000 TL
Süleymanpaşa - Çiftlikönü Mahallesi,Daire | 3+1 | 2. Kat | 150 m²,21.000 TL
Çorlu - Esentepe Mahallesi,Daire | 2+1 | 6. Kat | 70 m²,24.000 TL
Çorlu - Nusratiye Mahallesi,Daire | 1+1 | 3. Kat | 60 m²,17.500 TL
Çorlu - Hürriyet Mahallesi,Daire | 3+1 | Bahçe katı | 135 m²,30.000 TL
Çerkezköy - İstasyon Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,15.000 TL
Çerkezköy - Cumhuriyet Mahallesi,Daire | 2+1 | Yüksek giriş | 90 m²,20.000 TL
Süleymanpaşa - Değirmenaltı Mahallesi,Daire | 2+1 | 3. Kat | 75 m²,26.000 TL
Süleymanpaşa - Atatürk Mahallesi,Daire | 3+1 | 3. Kat | 160 m²,55.000 TL
Süleymanpaşa - Atatürk Mahallesi,Daire | 3+1 | 4. Kat | 140 m²,45.000 TL
Çorlu - Şeyh Sinan Mahallesi,Daire | 2+1 | 4. Kat | 88 m²,18.000 TL
Çorlu - Reşadiye Mahallesi,Daire | 2+1 | 6. Kat | 80 m²,16.000 TL
Çorlu - Hürriyet Mahallesi,Daire | 3+1 | Bahçe katı | 145 m²,35.000 TL
Süleymanpaşa - Vatan Mahallesi,Daire | 3+1 | 5. Kat | 130 m²,17.000 TL
Süleymanpaşa - Topağaç Mahallesi,Daire | 2+1 | Bahçe katı | 95 m²,18.000 TL
Çorlu - Hürriyet Mahallesi,Daire | 1+1 | 1. Kat | 60 m²,20.000 TL
Çorlu - Reşadiye Mahallesi,Daire | 4+1 | 2. Kat | 150 m²,15.000 TL
Çorlu - Reşadiye Mahallesi,Daire | 3+1 | 1. Kat | 125 m²,20.000 TL
Çorlu - Muhittin Mahallesi,Daire | 3+1 | 6. Kat | 125 m²,18.500 TL
Çorlu - Havuzlar Mahallesi,Daire | 2+1 | 4. Kat | 100 m²,18.000 TL
Çorlu - Havuzlar Mahallesi,Daire | 3+1 | 2. Kat | 165 m²,20.000 TL
Süleymanpaşa - Ortacami Mahallesi,Daire | 1+1 | 2. Kat | 56 m²,17.000 TL
Süleymanpaşa - 100. Yıl Mahallesi,Daire | 3+1 | 3. Kat | 155 m²,35.000 TL
Çerkezköy - Fevzi Paşa Mahallesi,Daire | 1+1 | Bahçe katı | 70 m²,14.000 TL15.000 TL
Çerkezköy - Cumhuriyet Mahallesi,Daire | 3+1 | 1. Kat | 173 m²,30.000 TL
Süleymanpaşa - Hürriyet Mahallesi,Daire | 3+1 | 7. Kat | 160 m²,30.000 TL
Süleymanpaşa - Hürriyet Mahallesi,Daire | 2+1 | 5. Kat | 127 m²,41.000 TL
Süleymanpaşa - Kumbağ Mahallesi,Daire | 1+1 | Bahçe katı | 55 m²,22.000 TL
Süleymanpaşa - Hürriyet Mahallesi,Daire | 2+1 | 5. Kat | 133 m²,40.000 TL
Süleymanpaşa - Hürriyet Mahallesi,Daire | 3+1 | 5. Kat | 140 m²,33.000 TL
Çerkezköy - Kızılpınar Atatürk Mahallesi,Daire | 3+1 | 4. Kat | 145 m²,15.000 TL
Çerkezköy - Fevzi Paşa Mahallesi,Daire | 2+1 | 3. Kat | 95 m²,17.000 TL
Çerkezköy - Fevzi Paşa Mahallesi,Daire | 1+1 | Bahçe katı | 75 m²,15.000 TL
Çerkezköy - Gazi Mustafa Kemalpaşa Mahallesi,Daire | 3+1 | 4. Kat | 160 m²,16.000 TL
Çorlu - Şeyh Sinan Mahallesi,Daire | 1+1 | 2. Kat | 60 m²,17.500 TL
Çorlu - Nusratiye Mahallesi,Daire | 1+1 | 1. Kat | 59 m²,23.500 TL
Kapaklı - Karaağaç Mahallesi,Daire | 2+1 | 5. Kat | 110 m²,12.500 TL
Çorlu - Rumeli Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,16.000 TL
Çorlu - Hürriyet Mahallesi,Daire | 3+1 | 8. Kat | 165 m²,25.500 TL
Çorlu - Muhittin Mahallesi,Daire | 2+1 | 1. Kat | 95 m²,20.000 TL
Çorlu - Hatip Mahallesi,Daire | 1+1 | 5. Kat | 50 m²,14.000 TL
Çorlu - Havuzlar Mahallesi,Daire | 1+1 | 2. Kat | 70 m²,16.500 TL
Çorlu - Reşadiye Mahallesi,Daire | 2+1 | 3. Kat | 70 m²,14.000 TL
Çorlu - Alipaşa Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 91 m²,25.000 TL
Kapaklı - Yunus Emre Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 80 m²,10.000 TL
Çerkezköy - Fevzi Paşa Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,17.000 TL
Çerkezköy - Gazi Mustafa Kemalpaşa Mahallesi,Daire | 1+1 | Yüksek giriş | 60 m²,16.000 TL
Çerkezköy - İstasyon Mahallesi,Daire | 3+1 | Yüksek giriş | 135 m²,19.000 TL
Çorlu - Rumeli Mahallesi,Daire | 1+1 | 3. Kat | 60 m²,18.000 TL
Kapaklı - 19 Mayıs Mahallesi,Daire | 2+1 | 7. Kat | 110 m²,20.000 TL
Süleymanpaşa - 100. Yıl Mahallesi,Daire | 3+1 | 5. Kat | 110 m²,18.000 TL
Çorlu - Şeyh Sinan Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 100 m²,19.000 TL
Çorlu - Şeyh Sinan Mahallesi,Daire | 2+1 | 8. Kat | 120 m²,26.000 TL
