location,information,sales_price
Araklı - Merkez Mahallesi,Daire | 3+1 | 5. Kat | 150 m²,16.500 TL
Yomra - Sancak Mahallesi,Daire | 3+1 | 2. Kat | 110 m²,7.500 TL
Araklı - Merkez Mahallesi,Daire | 2+1 | 5. Kat | 110 m²,10.000 TL
Araklı - Merkez Mahallesi,Daire | 2+1 | 5. Kat | 85 m²,12.000 TL
Araklı - Merkez Mahallesi,Daire | 3+1 | 3. Kat | 130 m²,12.000 TL
Araklı - Hürriyet Mahallesi,Daire | 3+1 | 1. Kat | 130 m²,9.000 TL
Araklı - Merkez Mahallesi,Daire | 3+1 | 1. Kat | 160 m²,15.000 TL
Ortahisar - Yalıncak Mahallesi,Daire | 3+1 | 1. Kat | 135 m²,20.000 TL
Ortahisar - Yalıncak Mahallesi,Daire | 3+1 | 6. Kat | 170 m²,30.000 TL
Araklı - Merkez Mahallesi,Daire | 3+1 | 2. Kat | 140 m²,12.000 TL
Araklı - Özgen Mahallesi,Daire | 2+1 | Kot 2 (-2). Kat | 90 m²,10.000 TL
Ortahisar - Soğuksu Mahallesi,Daire | 1+1 | 1. Kat | 65 m²,15.000 TL
Ortahisar - Pelitli Mahallesi,Daire | 2+1 | 1. Kat | 90 m²,21.000 TL
Ortahisar - Pelitli Mahallesi,Daire | 3+1 | 1. Kat | 130 m²,26.000 TL
Ortahisar - Pelitli Mahallesi,Daire | 2+1 | 1. Kat | 100 m²,21.000 TL
Ortahisar - Pelitli Mahallesi,Daire | 2+1 | 1. Kat | 90 m²,17.000 TL
Ortahisar - Gazipaşa Mahallesi,Daire | 2+1 | Yüksek giriş | 100 m²,19.000 TL
Ortahisar - Yalıncak Mahallesi,Daire | 3+1 | 5. Kat | 155 m²,28.000 TL
Ortahisar - Ortahisar Mahallesi,Daire | 2+1 | 1. Kat | 105 m²,16.000 TL
Akçaabat - Söğütlü Mahallesi,Daire | 3+1 | 6. Kat | 165 m²,25.000 TL
Akçaabat - Söğütlü Mahallesi,Daire | 3+1 | 1. Kat | 160 m²,24.000 TL
Ortahisar - Konaklar Mahallesi,Daire | 1+1 | Çatı katı | 55 m²,11.000 TL12.000 TL
Ortahisar - Yeşilköy Mahallesi,Daire | Stüdyo | 1. Kat | 55 m²,15.000 TL
Akçaabat - Yıldızlı Mahallesi,Daire | 3+1 | 3. Kat | 165 m²,27.000 TL
Ortahisar - Çukurçayır Mahallesi,Daire | 2+1 | Yüksek giriş | 95 m²,20.000 TL
Yomra - Kaşüstü Mahallesi,Daire | 3+1 | 2. Kat | 155 m²,30.000 TL
Ortahisar - Yalıncak Mahallesi,Daire | 3+1 | 1. Kat | 155 m²,21.000 TL
Araklı - Özgen Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 85 m²,11.000 TL12.000 TL
Ortahisar - Üniversite Mahallesi,Daire | 1+1 | 2. Kat | 60 m²,16.000 TL
Ortahisar - Üniversite Mahallesi,Daire | 2+1 | 2. Kat | 75 m²,17.000 TL
Ortahisar - Çukurçayır Mahallesi,Daire | 2+1 | 1. Kat | 90 m²,20.000 TL
Ortahisar - 1 Nolu Beşirli Mahallesi,Daire | 3+1 | 8. Kat | 145 m²,21.000 TL
Ortahisar - Pelitli Mahallesi,Daire | 3+1 | 2. Kat | 135 m²,16.000 TL17.000 TL
