İlan Numarası,İlan Oluşturma Tarihi,İlan Güncelleme Tarihi,Türü,Kategorisi,Tipi,Net Metrekare,Brüt Metrekare,Oda Sayısı,Binanın Yaşı,Bulunduğu Kat,Binanın Kat Sayısı,Isıtma Tipi,Kullanım Durumu,Tapu Durumu,Site İçerisinde,Banyo Sayısı,Balkon Durumu,Balkon Sayısı,Balkon Tipi,WC Sayısı,Fiyat Durumu,fiyat,konum,URL,Ada,Parsel,Yapı Durumu,Eşya Durumu,Takas,Yapı Tipi,Aidat,Depozito,Görüntülü Gezilebilir mi?,Banyo Metrekare,Balkon Metrekare,Salon Metrekare,WC Metrekare
17931647,21 Ağustos 2025,21 Ağustos 2025,Konut,Kiralık,Daire,100 m²,120 m²,2+1,16-20,3.Kat,3,Klimalı,Boş,Tapu Kaydı Yok,Evet,1,Var,1,Açık Balkon,1,Genel Fiyat,11.000TL,Adana - Seyhan - Mithatpaşa Mahallesi,https://www.emlakjet.com/ilan/mithatpasa-mh3-kat-21-kiralik-daire-17931647,,,,,,,,,,,,,
17927211,21 Ağustos 2025,21 Ağustos 2025,Konut,Kiralık,Daire,140 m²,175 m²,3+1,16-20,6.Kat,11,Kombi Doğalgaz,Boş,Kat Mülkiyeti,Hayır,1,,,,,Genel Fiyat,25.000TL,Adana - Çukurova - Belediye Evleri Mahallesi,https://www.emlakjet.com/ilan/adana-koop-ta-cepheleri-acik-6-kat-kapali-mut-genis-kiralik-d-17927211,7052,6,,,,,,,,,,,
17928161,21 Ağustos 2025,23 Ağustos 2025,Konut,Kiralık,Daire,75 m²,100 m²,1+1,5-10,1.Kat,4,Klimalı,Boş,Kat Mülkiyeti,Hayır,1,,,,,Genel Fiyat,10.000TL,Adana - Sarıçam - Yeşiltepe Mahallesi,https://www.emlakjet.com/ilan/yesiltepe-de-21-acik-mutfak-az-katli-hasarsiz-kiralik-daire-17928161,15475,16,,,,,,,,,,,
17940270,23 Ağustos 2025,23 Ağustos 2025,Konut,Kiralık,Daire,45 m²,50 m²,1+1,1,9.Kat,14,Klimalı,Boş,Yabancıdan,Evet,1,,,,,Genel Fiyat,12.000TL,Adana - Sarıçam - Çarkıpare Mahallesi,https://www.emlakjet.com/ilan/birlikten-adana-carkipare-de-bulvar-cepheli-kiralik-11-esyasiz-daire-17940270,,,,,,,,,,,,,
17937078,22 Ağustos 2025,22 Ağustos 2025,Konut,Kiralık,Daire,185 m²,200 m²,4+1,16-20,1.Kat,9,Kombi Doğalgaz,Mülk Sahibi Oturuyor,Kat Mülkiyeti,Hayır,2,,,,,Genel Fiyat,40.000TL,Adana - Çukurova - Mahfesığmaz Mahallesi,https://www.emlakjet.com/ilan/kenan-evren-blv-yurume-mesafesinde-41cb-turk-hamamli-daire-17937078,6016,4,,,,,,,,,,,
17937146,22 Ağustos 2025,23 Ağustos 2025,Konut,Kiralık,Daire,60 m²,70 m²,1+1,11-15,1.Kat,5,Klimalı,Boş,Yabancıdan,Hayır,1,,,,,Genel Fiyat,21.000TL,Adana - Çukurova - Beyazevler Mahallesi,https://www.emlakjet.com/ilan/beyazevlerde-esyali-kiralik-11-luks-daire-17937146,,,,,,,,,,,,,
17927478,21 Ağustos 2025,21 Ağustos 2025,Konut,Kiralık,Daire,130 m²,170 m²,3+1,5-10,6.Kat,13,Kombi Doğalgaz,Boş,Kat Mülkiyeti,Evet,2,Var,2,,,Birim Fiyat,28.000TL,Adana - Seyhan - Aydınlar Mahallesi,https://www.emlakjet.com/ilan/aydinlar-mahallesi-31-kapali-mutfak-dogalgazli-hasarsiz-havuzlu-17927478,11286,4,,,,,,,,,,,
17931029,21 Ağustos 2025,23 Ağustos 2025,Konut,Kiralık,Daire,40 m²,45 m²,Stüdyo,16-20,2.Kat,3,Klimalı,Boş,Yabancıdan,Hayır,1,,,,,Birim Fiyat,10.000TL,Adana - Seyhan - Yenibaraj Mahallesi,https://www.emlakjet.com/ilan/baraj-yolu-civari-kiralik-esyali-daire-genis-oturumlu-10-17931029,,,,,,,,,,,,,
17936904,22 Ağustos 2025,22 Ağustos 2025,Konut,Kiralık,Daire,85 m²,120 m²,2+1,3,8.Kat,10,Kombi Doğalgaz,Boş,Kat Mülkiyeti,Evet,1,Var,2,Açık Balkon,1,Genel Fiyat,270.000TL,Adana - Seyhan - Aydınlar Mahallesi,https://www.emlakjet.com/ilan/ova-kiyiboyunda-21-kiralik-daire-17936904,11327,2,Sıfır,Boş,Yok,,,,,,,,
17935460,22 Ağustos 2025,22 Ağustos 2025,Konut,Kiralık,Daire,50 m²,55 m²,1+1,5-10,13.Kat,15,Kombi Doğalgaz,Boş,Kat Mülkiyeti,Hayır,1,Var,1,,1,Birim Fiyat,13.100TL,Adana - Sarıçam - Boynuyoğun Mahallesi,https://www.emlakjet.com/ilan/kacmaz-ful-dogalgazli-17935460,110,3,İkinci El,Eşyalı,Yok,Betonarme,500 TL,13100 TL,Hayır,,,,
17928260,21 Ağustos 2025,23 Ağustos 2025,Konut,Kiralık,Daire,35 m²,40 m²,1+1,0 (Yeni),8.Kat,8,Klimalı,Boş,Kat Mülkiyeti,Hayır,1,,,,,Genel Fiyat,12.000TL,Adana - Sarıçam - Gültepe Mahallesi,https://www.emlakjet.com/ilan/adana-saricam-gultepe-mahallesi-17928260,,,,Eşyalı,Yok,,,,,,,,
17936693,22 Ağustos 2025,22 Ağustos 2025,Konut,Kiralık,Daire,115 m²,135 m²,2+1,11-15,2.Kat,13,Merkezi Doğalgaz,Boş,Tapu Kaydı Yok,Evet,2,,,,,Genel Fiyat,25.000TL,Adana - Seyhan - Tellidere Mahallesi,https://www.emlakjet.com/ilan/21-cift-banyolu-giyinme-odali-site-icerisinde-7-24-gorevli-17936693,,,,,,,,,,,,,
17935991,22 Ağustos 2025,22 Ağustos 2025,Konut,Kiralık,Daire,40 m²,45 m²,Stüdyo,16-20,2.Kat,3,Klimalı,Boş,Yabancıdan,Hayır,1,,,,,Birim Fiyat,9.000TL,Adana - Seyhan - Sümer Mahallesi,https://www.emlakjet.com/ilan/beyaz-evler-mahallesi-esyali-daire-10-17935991,,,,Eşyalı,,,,,,,,,
