İlan Numarası,İlan Oluşturma Tarihi,İlan Güncelleme Tarihi,Türü,Kategorisi,Tipi,Net Metrekare,Brüt Metrekare,Oda Sayısı,Binanın Yaşı,Bulunduğu Kat,Binanın Kat Sayısı,Isıtma Tipi,Kullanım Durumu,Yapı Durumu,Yapı Tipi,Aidat,Tapu Durumu,Site İçerisinde,Takas,Banyo Sayısı,Fiyat Durumu,fiyat,konum,URL,Depozito,Ada,Parsel,Eşya Durumu,Balkon Durumu,Balkon Sayısı,WC Sayısı,Görüntülü Gezilebilir mi?,Balkon Tipi,Salon Metrekare,WC Metrekare,Banyo Metrekare,Balkon Metrekare
17744999,31 Temmuz 2025,31 Temmuz 2025,Konut,Kiralık,Daire,55 m²,60 m²,1+1,5-10,2.Kat,4,Kombi Doğalgaz,Kiracı Oturuyor,İkinci El,Betonarme,1000 TL,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,40.000TL,Ankara - Çankaya - Emek Mahallesi,https://www.emlakjet.com/ilan/kuttas-tan-emek-te-katta-11-ici-yapili-60-m2-kombili-metro-karsisi-eylul-15-de-tesli-olacak-17744999,,,,,,,,,,,,,
17744591,31 Temmuz 2025,14 Ağustos 2025,Konut,Kiralık,Daire,60 m²,70 m²,1+1,1,12.Kat,12,Merkezi (Pay Ölçer),Boş,,,,Kat Mülkiyeti,Hayır,,1,Genel Fiyat,23.000TL,Ankara - Yenimahalle - Aşağı Yahyalar Mahallesi,https://www.emlakjet.com/ilan/asagiyahyalarda-11-kiralik-daire-elektrik-su-isinma-kiraya-dahil-17744591,22000 TL,64821,5,,,,,,,,,,
17739257,30 Temmuz 2025,20 Ağustos 2025,Konut,Kiralık,Daire,15 m²,20 m²,Stüdyo,21 Ve Üzeri,4.Kat,8,Merkezi Doğalgaz,Boş,İkinci El,Betonarme,,Bilinmiyor,Hayır,Yok,1,Genel Fiyat,20.000TL,Ankara - Çankaya - Çamlıtepe Mahallesi,https://www.emlakjet.com/ilan/kiraya-tum-faturalar-dahil-metro-onunde-bayanlara-ozel-17739257,,,,Eşyalı,,,,,,,,,
17745721,31 Temmuz 2025,12 Ağustos 2025,Konut,Kiralık,Daire,70 m²,75 m²,1+1,2,Kot 1 (-1).Kat,3,Kombi Doğalgaz,Boş,İkinci El,Betonarme,750 TL,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,26.000TL,Ankara - Çankaya - Aşağı Öveçler Mahallesi,https://www.emlakjet.com/ilan/ovecler-mahallesi-1330-cadde-uzeri-kiralik-11-suit-daire-17745721,,7517,14,,,,,,,,,,
17744125,31 Temmuz 2025,31 Temmuz 2025,Konut,Kiralık,Daire,100 m²,115 m²,3+1,21 Ve Üzeri,2.Kat,3,Merkezi Doğalgaz,Boş,İkinci El,Betonarme,2500 TL,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,45.000TL,Ankara - Çankaya - Bahçelievler Mahallesi,https://www.emlakjet.com/ilan/bahcelievler-kiralik-arakat-otoparkli-on-cephe-31-daire-17744125,,,,,,,,,,,,,
17742807,31 Temmuz 2025,31 Temmuz 2025,Konut,Kiralık,Daire,115 m²,125 m²,3+1,21 Ve Üzeri,2.Kat,2,Kombi Doğalgaz,Boş,İkinci El,Betonarme,200 TL,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,35.000TL,Ankara - Çankaya - Metin Akkuş Mahallesi,https://www.emlakjet.com/ilan/cankayadan-sinan-caddesinde-katta-31-on-cephe-mantolamali-yapili-ve-masrafsiz-kombili-otoparkli-17742807,,,,,,,,,,,,,
17738912,30 Temmuz 2025,30 Temmuz 2025,Konut,Kiralık,Daire,149 m²,212 m²,4+1,11-15,7.Kat,30,Merkezi (Pay Ölçer),Boş,,,,Kat Mülkiyeti,Evet,Yok,2,Genel Fiyat,95.000TL,Ankara - Çankaya - Oran Mahallesi,https://www.emlakjet.com/ilan/park-oran-site-furnished-for-rent-41-17738912,,,,Eşyalı,,,,,,,,,
17744124,31 Temmuz 2025,31 Temmuz 2025,Konut,Kiralık,Daire,109 m²,120 m²,3+1,21 Ve Üzeri,1.Kat,3,Kombi Doğalgaz,Kiracı Oturuyor,İkinci El,Betonarme,600 TL,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,55.000TL,Ankara - Çankaya - Bahçelievler Mahallesi,https://www.emlakjet.com/ilan/esyali-bahcelievler-besevler-de-31-katta-on-cephe-daire-17744124,,,,Eşyalı,,,,,,,,,
17743982,31 Temmuz 2025,31 Temmuz 2025,Konut,Kiralık,Daire,97 m²,110 m²,2+1,0 (Yeni),1.Kat,14,Merkezi (Pay Ölçer),Boş,,,,Kat Mülkiyeti,Evet,Yok,2,Genel Fiyat,36.500TL,Ankara - Altındağ - Yıldıztepe Mahallesi,https://www.emlakjet.com/ilan/eksen-emlak-dan-yuksek-kat-site-icerisinde-full-yapili-daire-17743982,,,,Boş,,,,,,,,,
17743122,31 Temmuz 2025,31 Temmuz 2025,Konut,Kiralık,Daire,105 m²,120 m²,3+1,21 Ve Üzeri,2.Kat,5,Kombi Doğalgaz,Boş,,,,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,30.000TL,Ankara - Yenimahalle - Avcılar Mahallesi,https://www.emlakjet.com/ilan/sentepe-avcilar-da-cadde-uzerinde-31-kiralik-daire-17743122,,,,Boş,,,,,,,,,
17739164,30 Temmuz 2025,30 Temmuz 2025,Konut,Kiralık,Daire,120 m²,125 m²,3+1,21 Ve Üzeri,3.Kat,3,Kombi Doğalgaz,Kiracı Oturuyor,İkinci El,Betonarme,,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,35.000TL,Ankara - Çankaya - Yukarı Bahçelievler Mahallesi,https://www.emlakjet.com/ilan/bahcelievlerde-31-katta-on-otoparkli-bakimli-17739164,,,,,,,,,,,,,
17738328,30 Temmuz 2025,16 Ağustos 2025,Konut,Kiralık,Daire,120 m²,125 m²,3+1,16-20,2.Kat,3,Kombi Doğalgaz,Boş,,,,Kat Mülkiyeti,Hayır,,1,Genel Fiyat,27.000TL,Ankara - Etimesgut - Kazım Karabekir Mahallesi,https://www.emlakjet.com/ilan/etimesgut-merkezde-ful-31-katta-yeni-boyali-asker-polis-icin-17738328,,45851,2,,,,,,,,,,
17744049,31 Temmuz 2025,31 Temmuz 2025,Konut,Kiralık,Daire,100 m²,105 m²,2+1,21 Ve Üzeri,4.Kat,9,Merkezi Fueloil,Boş,,,,Kat Mülkiyeti,Evet,,1,Genel Fiyat,26.000TL,Ankara - Yenimahalle - 25 Mart Mahallesi,https://www.emlakjet.com/ilan/a-o-c-atakent-sitesi-nde-21-on-cephe-ara-kat-daire-17744049,,7839,1,,,,,,,,,,
17740411,30 Temmuz 2025,30 Temmuz 2025,Konut,Kiralık,Daire,135 m²,150 m²,3+1,11-15,7.Kat,8,Kombi Doğalgaz,Boş,,,,Kat Mülkiyeti,Evet,Yok,2,Genel Fiyat,40.000TL,Ankara - Etimesgut - Bağlıca Mahallesi,https://www.emlakjet.com/ilan/adda-gayrimenkul-baglica-kent-yasam-da-kiralik-31-daire-17740411,,,,Boş,,,,,,,,,
17744997,31 Temmuz 2025,31 Temmuz 2025,Konut,Kiralık,Daire,110 m²,120 m²,3+1,21 Ve Üzeri,3.Kat,3,Merkezi Doğalgaz,Boş,İkinci El,Betonarme,1600 TL,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,43.000TL,Ankara - Çankaya - Bahçelievler Mahallesi,https://www.emlakjet.com/ilan/kuttas-tan-bahcelide-katta-31-on-120-m2-ici-full-yapildi-kiralik-daire-17744997,,,,,,,,,,,,,
17738063,30 Temmuz 2025,30 Temmuz 2025,Konut,Kiralık,Daire,120 m²,125 m²,3+1,11-15,2.Kat,3,Kombi Doğalgaz,Boş,,,,Kat Mülkiyeti,Hayır,,1,Genel Fiyat,26.500TL,Ankara - Keçiören - Uyanış Mahallesi,https://www.emlakjet.com/ilan/kecioren-uyanis-asikpasa-caddede-2-orta-katta-31-asansorlu-kiralik-daire-17738063,,31359,3,,,,,,,,,,
17744972,31 Temmuz 2025,31 Temmuz 2025,Konut,Kiralık,Daire,160 m²,175 m²,3+1,5-10,7.Kat,14,Kombi Doğalgaz,Boş,İkinci El,Betonarme,650 TL,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,35.000TL,Ankara - Mamak - Şehit Cengiz Topel Mahallesi,https://www.emlakjet.com/ilan/uzman-emlak-tan-31full-esyali-cok-genis-manzarali-luks-yeni-binada-daire-17744972,,,,Eşyalı,,,,,,,,,
