İlan Numarası,İlan Oluşturma Tarihi,İlan Güncelleme Tarihi,Türü,Kategorisi,Tipi,Net Metrekare,Brüt Metrekare,Oda Sayısı,Binanın Yaşı,Bulunduğu Kat,Binanın Kat Sayısı,Isıtma Tipi,Kullanım Durumu,Eşya Durumu,Tapu Durumu,Site İçerisinde,Takas,Banyo Sayısı,Fiyat Durumu,fiyat,konum,URL,Ada,Parsel,Yapı Durumu,Yapı Tipi,Aidat,Depozito,Banyo Metrekare,Balkon Durumu,Balkon Sayısı,Balkon Tipi,Balkon Metrekare,WC Sayısı,WC Metrekare,Görüntülü Gezilebilir mi?,Salon Metrekare
17891123,16 Ağustos 2025,17 Ağustos 2025,Konut,Kiralık,Daire,110 m²,115 m²,3+1,16-20,4.Kat,4,Merkezi (Pay Ölçer),Boş,Boş,Kat İrtifakı,Hayır,Yok,1,Genel Fiyat,18.000TL,Çankırı - Çankırı Merkez - Karataş Mahallesi,https://www.emlakjet.com/ilan/mes-emlakdan-karatas-mahallesi-kiralik-31-daire-17891123,,,,,,,,,,,,,,,
17715660,25 Temmuz 2025,25 Temmuz 2025,Konut,Kiralık,Daire,100 m²,105 m²,3+1,16-20,Düz Giriş (Zemin),7,Kombi Doğalgaz,Boş,,Kat Mülkiyeti,Hayır,,1,Genel Fiyat,18.000TL,Çankırı - Çankırı Merkez - Fatih Mahallesi,https://www.emlakjet.com/ilan/vizyon-emlak-da-esyali-kiralik-daire-17715660,622,18,,,,,,,,,,,,,
17891121,16 Ağustos 2025,16 Ağustos 2025,Konut,Kiralık,Daire,90 m²,100 m²,2+1,16-20,Düz Giriş (Zemin),2,Kombi Doğalgaz,Boş,Boş,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,13.000TL,Çankırı - Çankırı Merkez - Yeni Mahallesi,https://www.emlakjet.com/ilan/cankiri-merkez-yeni-mahalle-kiralik-21-daire-17891121,,,,,,,,,,,,,,,
17458649,07 Haziran 2025,28 Temmuz 2025,Konut,Kiralık,Daire,84 m²,88 m²,2+1,5-10,1.Kat,5,Merkezi (Pay Ölçer),Boş,Boş,Kat İrtifakı,Hayır,,1,Genel Fiyat,11.000TL,Çankırı - Korgun - Uludağ Mahallesi,https://www.emlakjet.com/ilan/cankiri-korgun-uludag-mah-17458649,392,172,İkinci El,Betonarme,350 TL,12000 TL,5 m²,Var,1,Açık Balkon,5 m²,2,5 m²,Hayır,
17901637,17 Ağustos 2025,21 Ağustos 2025,Konut,Kiralık,Daire,120 m²,125 m²,3+1,11-15,Kot 1 (-1).Kat,7,Merkezi (Pay Ölçer),Boş,Boş,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,18.000TL,Çankırı - Çankırı Merkez - Aksu Mahallesi,https://www.emlakjet.com/ilan/kiralik-daire-17901637,,,,,,,,,,,,,,,
17590991,04 Temmuz 2025,15 Ağustos 2025,Konut,Kiralık,Daire,70 m²,80 m²,2+1,21 Ve Üzeri,Yüksek Giriş,2,Kombi Doğalgaz,Boş,Boş,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,11.000TL,Çankırı - Çankırı Merkez - Aksu Mahallesi,https://www.emlakjet.com/ilan/huzur-emlaktan-aksu-mahallesinde-kiralik-21-daire-17590991,,,,,,,,,,,,,,,
17838328,12 Ağustos 2025,16 Ağustos 2025,Konut,Kiralık,Daire,105 m²,110 m²,3+1,11-15,Kot 1 (-1).Kat,7,Kombi Doğalgaz,Boş,Eşyalı,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,18.000TL,Çankırı - Çankırı Merkez - Fatih Mahallesi,https://www.emlakjet.com/ilan/vizyon-emlak-da-esyali-kiralik-daire-17838328,,,,,,,,,,,,,,,
17838331,12 Ağustos 2025,16 Ağustos 2025,Konut,Kiralık,Daire,90 m²,95 m²,2+1,11-15,3.Kat,7,Merkezi (Pay Ölçer),Boş,Boş,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,13.000TL,Çankırı - Çankırı Merkez - İncili Çeşme Mahallesi,https://www.emlakjet.com/ilan/vizyon-emlak-da-kiralik-daire-17838331,,,,,,,,,,,,,,,
17869109,14 Ağustos 2025,17 Ağustos 2025,Konut,Kiralık,Daire,118 m²,130 m²,3+1,4,3.Kat,6,Merkezi (Pay Ölçer),Boş,Boş,Kat Mülkiyeti,Hayır,Yok,2,Genel Fiyat,27.000TL,Çankırı - Çankırı Merkez - Aksu Mahallesi,https://www.emlakjet.com/ilan/huzur-emlak-tan-dis-hastanesi-yani-kiralik-31-yeni-daire-17869109,,,,,,,,,,,,,,,
17869111,14 Ağustos 2025,19 Ağustos 2025,Konut,Kiralık,Daire,128 m²,140 m²,3+1,11-15,1.Kat,4,Kombi Doğalgaz,Boş,Boş,Tapu Kaydı Yok,Hayır,Yok,2,Genel Fiyat,19.000TL,Çankırı - Çankırı Merkez - Buğday Pazarı Mahallesi,https://www.emlakjet.com/ilan/huzur-emlak-tan-b-paz-mah-kamu-personeline-uygun-kiralik-daire-17869111,,,,,,,,,,,,,,,
17891122,16 Ağustos 2025,16 Ağustos 2025,Konut,Kiralık,Daire,95 m²,100 m²,2+1,21 Ve Üzeri,Bahçe Katı,5,Kombi Doğalgaz,Boş,Boş,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,9.500TL,Çankırı - Çankırı Merkez - Karataş Mahallesi,https://www.emlakjet.com/ilan/cankiri-merkez-karatas-mahallesi-kiralik-21-daire-17891122,,,,,,,,,,,,,,,
17891119,16 Ağustos 2025,16 Ağustos 2025,Konut,Kiralık,Daire,90 m²,95 m²,2+1,11-15,Düz Giriş (Zemin),4,Merkezi (Pay Ölçer),Boş,Boş,Kat Mülkiyeti,Evet,Yok,1,Genel Fiyat,10.000TL,Çankırı - Çankırı Merkez - Aksu Mahallesi,https://www.emlakjet.com/ilan/cankiri-merkez-aksu-mahallesi-21-kiralik-daire-17891119,,,,,,,,,,,,,,,
17838312,12 Ağustos 2025,16 Ağustos 2025,Konut,Kiralık,Daire,60 m²,65 m²,1+1,21 Ve Üzeri,2.Kat,4,Kombi Doğalgaz,Boş,Eşyalı,Kat Mülkiyeti,Evet,Yok,1,Genel Fiyat,10.000TL,Çankırı - Çankırı Merkez - Fatih Mahallesi,https://www.emlakjet.com/ilan/vizyon-emlak-da-esyali-kiralik-daire-17838312,,,,,,,,,,,,,,,
17896072,16 Ağustos 2025,23 Ağustos 2025,Konut,Kiralık,Daire,105 m²,115 m²,3+1,21 Ve Üzeri,4.Kat,7,Kombi Doğalgaz,Boş,Boş,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,17.000TL,Çankırı - Çankırı Merkez - Buğday Pazarı Mahallesi,https://www.emlakjet.com/ilan/huzur-emlak-tan-bulvarda-kiralik-kamu-personeline-uygun-daire-17896072,,,,,,,,,,,,,,,
