location,information,sales_price
Merzifon - Yeni Mahallesi,Daire | 2+1 | 2. Kat | 105 m²,16.000 TL
Merzifon - Mahsen Mahallesi,Daire | 2+1 | 3. Kat | 110 m²,16.000 TL
Merzifon - Bahçelievler Mahallesi,Daire | 2+1 | 3. Kat | 105 m²,18.000 TL
Merzifon - Abidehatun Mahallesi,Daire | 4+1 | 1. Kat | 155 m²,13.000 TL
Merzifon - Harmanlar Mahallesi,Daire | 3+1 | 4. Kat | 150 m²,21.000 TL
Merzifon - Bahçelievler Mahallesi,Daire | 3+1 | 3. Kat | 130 m²,14.000 TL15.000 TL
Suluova - Borsa Mahallesi,Daire | 1+1 | 2. Kat | 65 m²,10.000 TL
Merzifon - Yeni Mahallesi,Daire | 1+1 | 2. Kat | 60 m²,14.500 TL
Merzifon - Hocasüleyman Mahallesi,Daire | 1+1 | Kot 4 (-4). Kat | 70 m²,12.000 TL
Amasya Merkez - Ziyaret Bld. (Aşağı Mahallesi),Daire | 2+1 | 3. Kat | 90 m²,10.000 TL
Suluova - Borsa Mahallesi,Daire | 3+1 | Yüksek giriş | 135 m²,17.500 TL
Amasya Merkez - Hacılar Meydanı Mahallesi,Daire | 3+1 | 4. Kat | 150 m²,30.000 TL
Suluova - Cumhuriyet Mahallesi,Daire | 2+1 | 2. Kat | 90 m²,13.000 TL
Suluova - Yeni Mahallesi,Daire | 2+1 | 1. Kat | 120 m²,12.500 TL
Merzifon - Sofular Mahallesi,Daire | 2+1 | 2. Kat | 85 m²,16.000 TL
Merzifon - Sofular Mahallesi,Daire | 1+1 | 1. Kat | 80 m²,13.500 TL
Merzifon - Sofular Mahallesi,Daire | 1+1 | 1. Kat | 60 m²,9.500 TL
Merzifon - Sofular Mahallesi,Daire | 1+1 | Bahçe katı | 75 m²,14.500 TL
Merzifon - Bahçelievler Mahallesi,Daire | 3+1 | 3. Kat | 140 m²,15.000 TL
Merzifon - Mehmet Akif Ersoy Mahallesi,Daire | 3+1 | 3. Kat | 135 m²,16.000 TL
Merzifon - Mehmet Akif Ersoy Mahallesi,Daire | 3+1 | Kot 3 (-3). Kat | 135 m²,10.000 TL
