location,information,sales_price
Manavgat - Doğançam Mahallesi,Daire | 3+1 | Villa tipi | 140 m²,21.000 TL
Alanya - Tosmur Mahallesi,Daire | 2+1 | 5. Kat | 120 m²,45.000 TL
Alanya - Tosmur Mahallesi,Daire | 3+1 | 7. Kat | 150 m²,54.000 TL
Manavgat - Side Mahallesi,Daire | 3+1 | 2. Kat | 160 m²,29.000 TL
Muratpaşa - Çağlayan Mahallesi,Daire | 3+1 | 9. Kat | 170 m²,41.000 TL
Konyaaltı - Liman Mahallesi,Daire | Stüdyo | 3. Kat | 35 m²,26.000 TL
Konyaaltı - Hurma Mahallesi,Daire | 2+1 | 1. Kat | 95 m²,28.000 TL30.000 TL
Kepez - Yeşilyurt Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 55 m²,17.000 TL
Alanya - Avsallar Mahallesi,Daire | 1+1 | 4. Kat | 50 m²,16.450 TL
Alanya - Kadıpaşa Mahallesi,Daire | 2+1 | 2. Kat | 110 m²,20.000 TL
Alanya - Mahmutlar Mahallesi,Daire | 1+1 | 4. Kat | 55 m²,18.500 TL
Konyaaltı - Hurma Mahallesi,Daire | 1+1 | 3. Kat | 65 m²,25.000 TL
Konyaaltı - Liman Mahallesi,Daire | 3+1 | 1. Kat | 200 m²,35.000 TL
Muratpaşa - Kızılarık Mahallesi,Daire | 3+1 | 2. Kat | 160 m²,27.000 TL
Kepez - Santral Mahallesi,Daire | 1+1 | 1. Kat | 60 m²,16.500 TL
Konyaaltı - Hurma Mahallesi,Daire | 2+1 | 1. Kat | 115 m²,30.000 TL
Manavgat - Evrenseki Mahallesi,Daire | 1+1 | 2. Kat | 60 m²,19.000 TL
Manavgat - Ilıca Mahallesi,Daire | 2+1 | 3. Kat | 100 m²,28.000 TL
Muratpaşa - Güvenlik Mahallesi,Daire | 2+1 | 1. Kat | 120 m²,22.000 TL
Alanya - Keşefli Mahallesi,Daire | 3+1 | Villa tipi | 220 m²,25.000 TL
Serik - Belek Mahallesi,Daire | 2+1 | Bahçe katı | 105 m²,35.000 TL
Kepez - Göçerler Mahallesi,Daire | 3+1 | Bahçe katı | 180 m²,22.500 TL
Kepez - Gazi Mahallesi,Daire | 3+1 | Düz Giriş (Zemin) | 125 m²,27.000 TL
Kumluca - Eskicami Mahallesi,Daire | 3+1 | 5. Kat | 150 m²,18.000 TL
Finike - Hasyurt Mahallesi,Daire | 3+1 | Düz Giriş (Zemin) | 190 m²,20.000 TL
Kumluca - Bağlık Mahallesi,Daire | 2+1 | 2. Kat | 72 m²,15.500 TL
Alanya - Kızlar Pınarı Mahallesi,Daire | 3+2 | 7. Kat | 200 m²,36.000 TL
Konyaaltı - Uluç Mahallesi,Daire | 3+1 | Bahçe katı | 180 m²,65.000 TL
Manavgat - Sarılar Mahallesi,Daire | 3+1 | 2. Kat | 160 m²,27.000 TL
Muratpaşa - Meydankavağı Mahallesi,Daire | 3+1 | 5. Kat | 150 m²,30.000 TL
Kepez - Emek Mahallesi,Daire | 1+1 | 3. Kat | 100 m²,17.500 TL
Alanya - Kadıpaşa Mahallesi,Daire | 2+1 | 2. Kat | 90 m²,18.000 TL
Alanya - Oba Mahallesi,Daire | 5+1 | Çatı katı | 300 m²,55.000 TL
Alanya - Konaklı Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 95 m²,12.000 TL
Alanya - Oba Mahallesi,Daire | 2+1 | 1. Kat | 110 m²,30.000 TL
Muratpaşa - Şirinyalı Mahallesi,Daire | 3+1 | 1. Kat | 200 m²,80.000 TL
Gazipaşa - Gazi Mahallesi,Daire | 2+1 | 4. Kat | 115 m²,17.000 TL
Kepez - Ahatlı Mahallesi,Daire | 2+1 | 1. Kat | 95 m²,23.000 TL
Kepez - Şafak Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,23.000 TL
Kepez - Yeni Doğan Mahallesi,Daire | 2+1 | 3. Kat | 100 m²,30.000 TL
Muratpaşa - Bayındır Mahallesi,Daire | 1+1 | 1. Kat | 70 m²,20.000 TL
Serik - Kürüş Mahallesi,Daire | 3+1 | 4. Kat | 135 m²,18.000 TL
