location,information,sales_price
Batman Merkez - Belde Mahallesi,Daire | 1+1 | 7. Kat | 45 m²,9.000 TL
Batman Merkez - Tilmerc Mahallesi,Daire | 2+0 | 3. Kat | 75 m²,13.000 TL
Batman Merkez - Gap Mahallesi,Daire | 1+1 | 1. Kat | 50 m²,10.500 TL
Batman Merkez - Pınarbaşı Mahallesi,Daire | 1+1 | 3. Kat | 50 m²,13.000 TL
Batman Merkez - Yenişehir Mahallesi,Daire | 3+1 | Kot 1 (-1). Kat | 165 m²,13.500 TL
Batman Merkez - Çamlıtepe Mahallesi,Daire | 3+1 | 6. Kat | 175 m²,17.500 TL20.000 TL
Batman Merkez - Belde Mahallesi,Daire | 3+1 | 2. Kat | 145 m²,18.000 TL
Batman Merkez - Gültepe Mahallesi,Daire | 2+1 | 3. Kat | 90 m²,17.500 TL
Batman Merkez - Kardelen Mahallesi,Daire | 3+1 | 5. Kat | 145 m²,10.000 TL
Batman Merkez - Gültepe Mahallesi,Daire | 2+1 | 2. Kat | 80 m²,20.000 TL
Batman Merkez - Belde Mahallesi,Daire | 4+1 | 11. Kat | 180 m²,25.000 TL
Batman Merkez - Belde Mahallesi,Daire | 3+1 | 12. Kat | 155 m²,20.000 TL
Batman Merkez - Gültepe Mahallesi,Daire | 3+1 | 2. Kat | 155 m²,19.000 TL
Batman Merkez - Korik Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 115 m²,13.500 TL
Batman Merkez - Gültepe Mahallesi,Daire | 2+1 | 1. Kat | 105 m²,18.000 TL
Batman Merkez - Gültepe Mahallesi,Daire | 2+0 | Düz Giriş (Zemin) | 80 m²,8.000 TL
Batman Merkez - Çamlıtepe Mahallesi,Daire | 2+0 | 4. Kat | 70 m²,15.000 TL
Batman Merkez - Fatih Mahallesi,Daire | 2.5+1 | 3. Kat | 120 m²,18.000 TL
Batman Merkez - Tilmerc Mahallesi,Daire | 3+1 | 2. Kat | 160 m²,21.000 TL
Batman Merkez - Kültür Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,13.500 TL
Batman Merkez - Bahçelievler Mahallesi,Daire | 1+1 | 4. Kat | 55 m²,13.000 TL
Batman Merkez - Kültür Mahallesi,Daire | 2+1 | Çatı katı | 110 m²,11.000 TL
Batman Merkez - Gap Mahallesi,Daire | 1+1 | 1. Kat | 65 m²,15.000 TL
Batman Merkez - Ziyagökalp Mahallesi,Daire | 1+1 | 3. Kat | 45 m²,11.000 TL
Batman Merkez - Gültepe Mahallesi,Daire | 2.5+1 | Yüksek giriş | 110 m²,12.000 TL
Batman Merkez - Raman Mahallesi,Daire | 2+0 | 2. Kat | 100 m²,12.000 TL
Batman Merkez - Çamlıtepe Mahallesi,Daire | 4+1 | 3. Kat | 210 m²,25.000 TL
Batman Merkez - Bahçelievler Mahallesi,Daire | 1+1 | 1. Kat | 50 m²,15.500 TL
Batman Merkez - Gültepe Mahallesi,Daire | 1+1 | 4. Kat | 42 m²,10.750 TL
Batman Merkez - Bahçelievler Mahallesi,Daire | 1+1 | 1. Kat | 50 m²,11.000 TL
Batman Merkez - Gültepe Mahallesi,Daire | 1+1 | Düz Giriş (Zemin) | 55 m²,15.500 TL
Batman Merkez - Pınarbaşı Mahallesi,Daire | 2+0 | 2. Kat | 95 m²,17.500 TL
Batman Merkez - Ziyagökalp Mahallesi,Daire | 3+1 | 4. Kat | 185 m²,11.000 TL
Batman Merkez - Tilmerc Mahallesi,Daire | 1+1 | 4. Kat | 50 m²,11.000 TL
Batman Merkez - Gap Mahallesi,Daire | 1+1 | 1. Kat | 35 m²,12.500 TL14.500 TL
Batman Merkez - Gap Mahallesi,Daire | 2+1 | 1. Kat | 75 m²,9.000 TL
Batman Merkez - Kültür Mahallesi,Daire | 1+1 | 1. Kat | 55 m²,8.500 TL
Batman Merkez - Tilmerc Mahallesi,Daire | 3+1 | 5. Kat | 265 m²,23.000 TL26.000 TL
Batman Merkez - Fatih Mahallesi,Daire | 2+0 | 6. Kat | 60 m²,15.000 TL
Batman Merkez - Bahçelievler Mahallesi,Daire | 3+1 | 6. Kat | 120 m²,9.000 TL
Batman Merkez - Tilmerc Mahallesi,Daire | 2+1 | 2. Kat | 80 m²,16.000 TL
Batman Merkez - Bahçelievler Mahallesi,Daire | 1+1 | 1. Kat | 45 m²,15.000 TL
Batman Merkez - Bahçelievler Mahallesi,Daire | 1+1 | Düz Giriş (Zemin) | 40 m²,12.500 TL
Batman Merkez - Gültepe Mahallesi,Daire | 1+1 | 1. Kat | 80 m²,21.000 TL
Batman Merkez - Korik Mahallesi,Daire | 2+0 | Yüksek giriş | 70 m²,8.000 TL
Batman Merkez - Pınarbaşı Mahallesi,Daire | 2+0 | 2. Kat | 80 m²,20.000 TL
Batman Merkez - Gap Mahallesi,Daire | 1+1 | Düz Giriş (Zemin) | 40 m²,6.500 TL
Batman Merkez - Çamlıtepe Mahallesi,Daire | 3+0 | Düz Giriş (Zemin) | 110 m²,16.000 TL
Batman Merkez - Gültepe Mahallesi,Daire | 2+1 | Çatı katı | 110 m²,16.500 TL
Batman Merkez - Kültür Mahallesi,Daire | 2+0 | Çatı katı | 90 m²,10.000 TL
Batman Merkez - Çamlıtepe Mahallesi,Daire | 3+1 | Düz Giriş (Zemin) | 140 m²,14.000 TL
Batman Merkez - Gap Mahallesi,Daire | 2+1 | 6. Kat | 80 m²,11.000 TL
