location,information,sales_price
Burdur Merkez - Konak Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,12.000 TL
Burdur Merkez - Konak Mahallesi,Daire | Stüdyo | 1. Kat | 50 m²,10.000 TL
Burdur Merkez - Armağan İlci Mahallesi,Daire | 3+1 | 1. Kat | 130 m²,25.000 TL
Burdur Merkez - Emek Mahallesi,Daire | 1+1 | Düz Giriş (Zemin) | 55 m²,11.000 TL
Burdur Merkez - Burç Mahallesi,Daire | 2+0 | 2. Kat | 65 m²,12.000 TL
Burdur Merkez - Pazar Mahallesi,Daire | 2+1 | 3. Kat | 135 m²,12.000 TL
Burdur Merkez - Bahçelievler Mahallesi,Daire | 2+0 | 2. Kat | 62 m²,12.500 TL
Burdur Merkez - Emek Mahallesi,Daire | 2+1 | 2. Kat | 85 m²,15.000 TL
Burdur Merkez - Atatürk Mahallesi,Daire | 2+1 | 2. Kat | 90 m²,10.000 TL
Burdur Merkez - Karasenir Mahallesi,Daire | 2+0 | 1. Kat | 78 m²,10.000 TL
Burdur Merkez - Emek Mahallesi,Daire | 1+1 | 3. Kat | 50 m²,10.000 TL
Burdur Merkez - Çeşmedamı Mahallesi,Daire | 2+0 | 4. Kat | 45 m²,16.000 TL
Burdur Merkez - Fevzi Çakmak Mahallesi,Daire | 1+1 | Yüksek giriş | 55 m²,9.000 TL
Burdur Merkez - Burç Mahallesi,Daire | 1+1 | 2. Kat | 50 m²,13.000 TL
Burdur Merkez - Burç Mahallesi,Daire | 2+0 | 2. Kat | 50 m²,15.000 TL
Burdur Merkez - Bağlar Mahallesi,Daire | 2+1 | 4. Kat | 120 m²,16.000 TL
Burdur Merkez - Bahçelievler Mahallesi,Daire | 2+1 | 1. Kat | 100 m²,15.000 TL
Burdur Merkez - Özgür Mahallesi,Daire | 1+1 | 4. Kat | 40 m²,13.000 TL
Burdur Merkez - Özgür Mahallesi,Daire | 1+1 | 3. Kat | 55 m²,12.000 TL
Burdur Merkez - Burç Mahallesi,Daire | 3+1 | 1. Kat | 140 m²,15.000 TL
Burdur Merkez - Zafer Mahallesi,Daire | 1+1 | Yüksek giriş | 55 m²,10.000 TL
Burdur Merkez - İnönü Mahallesi,Daire | 1+1 | 3. Kat | 55 m²,10.000 TL
Burdur Merkez - Özgür Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,15.000 TL
Burdur Merkez - Emek Mahallesi,Daire | 1+1 | 4. Kat | 50 m²,12.500 TL
Burdur Merkez - Çeşmedamı Mahallesi,Daire | Stüdyo | 3. Kat | 30 m²,11.000 TL
Burdur Merkez - Çeşmedamı Mahallesi,Daire | Stüdyo | 2. Kat | 22 m²,10.000 TL
Burdur Merkez - Çeşmedamı Mahallesi,Daire | Stüdyo | 2. Kat | 20 m²,9.000 TL
Burdur Merkez - Zafer Mahallesi,Daire | 1+1 | Düz Giriş (Zemin) | 50 m²,8.500 TL
Burdur Merkez - Zafer Mahallesi,Daire | 1+1 | 2. Kat | 50 m²,10.000 TL
Burdur Merkez - Konak Mahallesi,Daire | 3+1 | 2. Kat | 110 m²,10.000 TL
Burdur Merkez - Menderes Mahallesi,Daire | 3+1 | 3. Kat | 160 m²,15.000 TL
Burdur Merkez - Bahçelievler Mahallesi,Daire | 1+1 | Düz Giriş (Zemin) | 55 m²,10.000 TL
Burdur Merkez - Fevzi Çakmak Mahallesi,Daire | 1 Oda | 1. Kat | 60 m²,9.000 TL
Burdur Merkez - Bahçelievler Mahallesi,Daire | 2+0 | Yüksek giriş | 60 m²,13.000 TL
Burdur Merkez - İnönü Mahallesi,Daire | 1+1 | 3. Kat | 50 m²,11.000 TL
Burdur Merkez - Emek Mahallesi,Daire | 1+1 | 1. Kat | 45 m²,10.000 TL
Burdur Merkez - Bahçelievler Mahallesi,Daire | 1+1 | Yüksek giriş | 62 m²,11.000 TL
Burdur Merkez - Bahçelievler Mahallesi,Daire | 1+1 | 4. Kat | 55 m²,12.000 TL
Burdur Merkez - Özgür Mahallesi,Daire | 1+1 | 5. Kat | 40 m²,11.000 TL
Burdur Merkez - Çeşmedamı Mahallesi,Daire | 2+0 | 2. Kat | 60 m²,12.000 TL
Burdur Merkez - Yeni Mahallesi,Daire | 2+0 | 3. Kat | 55 m²,12.000 TL
Burdur Merkez - Emek Mahallesi,Daire | 1+1 | 1. Kat | 45 m²,10.000 TL
Burdur Merkez - Özgür Mahallesi,Daire | 1+1 | 4. Kat | 55 m²,9.000 TL
Burdur Merkez - Özgür Mahallesi,Daire | 1+1 | 4. Kat | 55 m²,12.000 TL
Burdur Merkez - Bahçelievler Mahallesi,Daire | 2+1 | 1. Kat | 110 m²,10.000 TL
Burdur Merkez - Konak Mahallesi,Daire | 2+1 | Çatı katı | 100 m²,12.000 TL
Burdur Merkez - Özgür Mahallesi,Daire | Stüdyo | 2. Kat | 45 m²,7.000 TL
Burdur Merkez - Bahçelievler Mahallesi,Daire | 3+1 | 2. Kat | 168 m²,14.000 TL
Burdur Merkez - Konak Mahallesi,Daire | 3+1 | 1. Kat | 135 m²,15.000 TL
Burdur Merkez - Bahçelievler Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,11.000 TL
Bucak - Yeni Mahallesi,Daire | 2+0 | 2. Kat | 50 m²,8.500 TL
Burdur Merkez - Konak Mahallesi,Daire | 1+1 | 2. Kat | 65 m²,14.000 TL
Burdur Merkez - Özgür Mahallesi,Daire | 3+1 | 2. Kat | 140 m²,18.000 TL
Burdur Merkez - Bahçelievler Mahallesi,Daire | 1+1 | Yüksek giriş | 60 m²,10.000 TL
Burdur Merkez - Kuyu Mahallesi,Daire | 1+1 | 3. Kat | 65 m²,11.500 TL
Burdur Merkez - Fevzi Çakmak Mahallesi,Daire | 2+0 | 2. Kat | 55 m²,10.000 TL
Bucak - Oğuzhan Mahallesi,Daire | 3+1 | 4. Kat | 160 m²,15.000 TL
Burdur Merkez - Karasenir Mahallesi,Daire | 3+1 | Yüksek giriş | 130 m²,10.000 TL
Burdur Merkez - Özgür Mahallesi,Daire | 1+1 | 1. Kat | 55 m²,9.000 TL
Burdur Merkez - Hızır İlyas Mahallesi,Daire | 2+0 | 1. Kat | 70 m²,12.000 TL
Burdur Merkez - Yeni Mahallesi,Daire | 3+1 | 2. Kat | 135 m²,20.000 TL
Burdur Merkez - Çeşmedamı Mahallesi,Daire | 1+1 | Çatı katı | 90 m²,10.000 TL
Burdur Merkez - Fevzi Çakmak Mahallesi,Daire | 2+1 | 1. Kat | 75 m²,12.000 TL
Bucak - Onaç Mahallesi,Daire | 2+1 | 2. Kat | 62 m²,9.500 TL
Burdur Merkez - Aydınlıkevler Mahallesi,Daire | 2+1 | 2. Kat | 70 m²,11.000 TL
Burdur Merkez - Özgür Mahallesi,Daire | Stüdyo | 2. Kat | 35 m²,6.000 TL
Burdur Merkez - Özgür Mahallesi,Daire | Stüdyo | 2. Kat | 30 m²,5.000 TL
Burdur Merkez - Yeni Mahallesi,Daire | 1 Oda | 3. Kat | 80 m²,14.000 TL
Burdur Merkez - Çeşmedamı Mahallesi,Daire | Stüdyo | 3. Kat | 26 m²,10.000 TL
