location,information,sales_price
Çanakkale Merkez - Barbaros Mahallesi,Daire | 3+1 | 2. Kat | 130 m²,28.000 TL
Çanakkale Merkez - Kepez Bld. (Cumhuriyet Mahallesi),Daire | 1+1 | 3. Kat | 60 m²,16.500 TL
Çanakkale Merkez - Kepez Bld. (Hamidiye Mahallesi),Daire | 3+1 | 3. Kat | 150 m²,45.000 TL
Çanakkale Merkez - İsmetpaşa Mahallesi,Daire | 2+1 | 3. Kat | 90 m²,25.000 TL
Çanakkale Merkez - Barbaros Mahallesi,Daire | 2+1 | Yüksek giriş | 85 m²,25.000 TL
Çanakkale Merkez - Cevat Paşa Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,26.000 TL
Çanakkale Merkez - Cevat Paşa Mahallesi,Daire | 1+1 | 3. Kat | 80 m²,22.500 TL
Çanakkale Merkez - İsmetpaşa Mahallesi,Daire | 1+1 | 3. Kat | 50 m²,25.000 TL
Çanakkale Merkez - Kepez Bld. (Boğazkent Mahallesi),Daire | 2+1 | 4. Kat | 125 m²,32.000 TL
Çanakkale Merkez - Kepez Bld. (Cumhuriyet Mahallesi),Daire | 1+1 | Yüksek giriş | 40 m²,18.000 TL
Lapseki - Cumhuriyet Mahallesi,Daire | 2+1 | 3. Kat | 90 m²,18.000 TL
Çanakkale Merkez - İsmetpaşa Mahallesi,Daire | 2+1 | 1. Kat | 100 m²,26.000 TL
Çanakkale Merkez - İsmetpaşa Mahallesi,Daire | 2+1 | 4. Kat | 80 m²,25.000 TL
Çanakkale Merkez - Cevat Paşa Mahallesi,Daire | 3+1 | 3. Kat | 155 m²,30.000 TL
Çanakkale Merkez - Barbaros Mahallesi,Daire | 3+1 | 4. Kat | 135 m²,35.000 TL
Çanakkale Merkez - Barbaros Mahallesi,Daire | 2+1 | 1. Kat | 115 m²,35.000 TL
Çanakkale Merkez - İsmetpaşa Mahallesi,Daire | 1+1 | 5. Kat | 55 m²,18.500 TL
Çanakkale Merkez - Esenler Mahallesi,Daire | 4+1 | 4. Kat | 180 m²,42.500 TL
Biga - Sakarya Mahallesi,Daire | 1+1 | 2. Kat | 65 m²,14.000 TL
Çanakkale Merkez - Cevat Paşa Mahallesi,Daire | 3+1 | 4. Kat | 120 m²,35.000 TL
Biga - Yeniceköy Mahallesi,Daire | 1+1 | Düz Giriş (Zemin) | 80 m²,12.000 TL
Çanakkale Merkez - Kepez Bld. (Cumhuriyet Mahallesi),Daire | 2+1 | 4. Kat | 125 m²,40.000 TL
Çanakkale Merkez - Kepez Bld. (Cumhuriyet Mahallesi),Daire | 3+1 | 4. Kat | 150 m²,55.000 TL
Çanakkale Merkez - Kepez Bld. (Boğazkent Mahallesi),Daire | 1+1 | 1. Kat | 50 m²,20.000 TL
