location,information,sales_price
Pamukkale - Kayıhan Mahallesi,Daire | 1 Oda | Çatı katı | 70 m²,8.000 TL
Pamukkale - Atalar Mahallesi,Daire | 1+1 | Çatı katı | 35 m²,9.500 TL10.500 TL
Merkezefendi - Saraylar Mahallesi,Daire | 3+1 | 4. Kat | 170 m²,21.000 TL
Pamukkale - Yunusemre Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,13.000 TL
Pamukkale - Zeytinköy Mahallesi,Daire | 2+1 | 3. Kat | 70 m²,14.000 TL
Pamukkale - Kınıklı Mahallesi,Daire | 3+1 | Yüksek giriş | 190 m²,50.000 TL
Pamukkale - Yunusemre Mahallesi,Daire | 1.5+1 | 3. Kat | 55 m²,19.000 TL
Pamukkale - İstiklal Mahallesi,Daire | 1+1 | 1. Kat | 48 m²,9.250 TL
Pamukkale - Siteler Mahallesi,Daire | 3+1 | 1. Kat | 160 m²,18.500 TL
Pamukkale - Siteler Mahallesi,Daire | 1+1 | 3. Kat | 45 m²,14.000 TL
Pamukkale - Mehmetçik Mahallesi,Daire | 2+1 | Çatı katı | 90 m²,19.000 TL
Pamukkale - Yunusemre Mahallesi,Daire | 1+1 | Çatı katı | 50 m²,13.000 TL
Merkezefendi - Saraylar Mahallesi,Daire | 1+1 | 6. Kat | 55 m²,12.000 TL
Pamukkale - Yunusemre Mahallesi,Daire | 2+1 | 2. Kat | 60 m²,15.000 TL
Merkezefendi - Yenişafak Mahallesi,Daire | 3+1 | 1. Kat | 195 m²,31.500 TL
Merkezefendi - Yenişafak Mahallesi,Daire | 3+1 | Bahçe katı | 185 m²,50.000 TL
Pamukkale - Kuşpınar Mahallesi,Daire | 2+1 | 4. Kat | 100 m²,24.000 TL
Merkezefendi - Gümüşçay Mahallesi,Daire | 3+1 | 2. Kat | 150 m²,17.000 TL
Pamukkale - Siteler Mahallesi,Daire | 1+1 | 3. Kat | 55 m²,9.000 TL
Merkezefendi - Akkonak Mahallesi,Daire | 2+1 | 2. Kat | 70 m²,16.500 TL
Merkezefendi - Çakmak Mahallesi,Daire | 3+1 | 3. Kat | 140 m²,25.000 TL
Merkezefendi - Gümüşçay Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,16.000 TL
Pamukkale - Yunusemre Mahallesi,Daire | 1+1 | 1. Kat | 45 m²,13.000 TL
Merkezefendi - Bahçelievler Mahallesi,Daire | 1+1 | 2. Kat | 80 m²,20.000 TL
Merkezefendi - Gümüşçay Mahallesi,Daire | 2+1 | 1. Kat | 110 m²,17.500 TL
Merkezefendi - Muratdede Mahallesi,Daire | 2+1 | 3. Kat | 80 m²,13.000 TL
Pamukkale - Kuşpınar Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,13.000 TL
Pamukkale - Kınıklı Mahallesi,Daire | 1+1 | 1. Kat | 50 m²,18.000 TL
Pamukkale - Hacıkaplanlar Mahallesi,Daire | 1+1 | 2. Kat | 70 m²,14.000 TL
Pamukkale - Yunusemre Mahallesi,Daire | 4+1 | 4. Kat | 260 m²,35.000 TL
Merkezefendi - Gümüşçay Mahallesi,Daire | 3+1 | 4. Kat | 170 m²,21.000 TL
Pamukkale - Kınıklı Mahallesi,Daire | 2+1 | 2. Kat | 140 m²,14.000 TL
Pamukkale - Kervansaray Mahallesi,Daire | 3+1 | 4. Kat | 145 m²,32.000 TL
Merkezefendi - Şemikler Mahallesi,Daire | 3+1 | 5. Kat | 180 m²,40.000 TL
Pamukkale - İstiklal Mahallesi,Daire | 3+1 | 6. Kat | 200 m²,25.000 TL
Pamukkale - Asmalıevler Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,15.000 TL
Pamukkale - Zeytinköy Mahallesi,Daire | 1+1 | 4. Kat | 55 m²,17.500 TL
Pamukkale - Gökpınar Mahallesi,Daire | 2+1 | 3. Kat | 90 m²,14.500 TL
Pamukkale - Zeytinköy Mahallesi,Daire | 1+1 | 1. Kat | 50 m²,8.000 TL
Pamukkale - Asmalıevler Mahallesi,Daire | 1+1 | 1. Kat | 65 m²,14.000 TL
Pamukkale - Bağbaşı Mahallesi,Daire | 2+1 | 4. Kat | 105 m²,20.000 TL
Pamukkale - Kuşpınar Mahallesi,Daire | 2+1 | 2. Kat | 110 m²,13.500 TL
Merkezefendi - Şemikler Mahallesi,Daire | 3+1 | 3. Kat | 125 m²,25.000 TL
Pamukkale - Zeytinköy Mahallesi,Daire | 2+1 | 2. Kat | 75 m²,23.000 TL
Pamukkale - Zeytinköy Mahallesi,Daire | 2+1 | 2. Kat | 55 m²,15.000 TL
Merkezefendi - Adalet Mahallesi,Daire | 3+1 | 1. Kat | 200 m²,30.000 TL
Merkezefendi - Mehmet Akif Ersoy Mahallesi,Daire | 2+1 | 3. Kat | 70 m²,23.000 TL
Merkezefendi - Adalet Mahallesi,Daire | 2+1 | 5. Kat | 110 m²,11.000 TL
Merkezefendi - Karahasanlı Mahallesi,Daire | 2+1 | Yüksek giriş | 100 m²,18.000 TL
Merkezefendi - Yenişafak Mahallesi,Daire | 2+1 | 2. Kat | 110 m²,25.000 TL
Merkezefendi - Karahasanlı Mahallesi,Daire | 3+1 | Bahçe katı | 195 m²,50.000 TL
Merkezefendi - Kayalar Mahallesi,Daire | 1+1 | 13. Kat | 80 m²,20.000 TL
Pamukkale - İncilipınar Mahallesi,Daire | 1+1 | 1. Kat | 45 m²,13.000 TL
Merkezefendi - Yenişafak Mahallesi,Daire | 3+1 | 1. Kat | 160 m²,30.000 TL
Merkezefendi - İlbade Mahallesi,Daire | 2+1 | Bahçe katı | 105 m²,19.000 TL
Pamukkale - Kuşpınar Mahallesi,Daire | 2+0 | 1. Kat | 75 m²,20.000 TL
Pamukkale - Kınıklı Mahallesi,Daire | 2+1 | 3. Kat | 130 m²,16.000 TL
Pamukkale - Siteler Mahallesi,Daire | 2+1 | Çatı katı | 65 m²,14.000 TL
Merkezefendi - Muratdede Mahallesi,Daire | 2+1 | Yüksek giriş | 80 m²,15.750 TL
Merkezefendi - Çakmak Mahallesi,Daire | 2+1 | 2. Kat | 125 m²,23.000 TL
Merkezefendi - Çakmak Mahallesi,Daire | 2+1 | 2. Kat | 125 m²,23.000 TL
Pamukkale - Dokuzkavaklar Mahallesi,Daire | Stüdyo | 1. Kat | 100 m²,15.000 TL
Merkezefendi - 1200 Evler Mahallesi,Daire | 3+1 | 3. Kat | 145 m²,13.500 TL
Merkezefendi - Adalet Mahallesi,Daire | 1+1 | 1. Kat | 45 m²,13.500 TL
Pamukkale - Yunusemre Mahallesi,Daire | 2+1 | 2. Kat | 60 m²,18.000 TL
Merkezefendi - Bozburun Mahallesi,Daire | 1+1 | 9. Kat | 80 m²,20.000 TL
Pamukkale - Asmalıevler Mahallesi,Daire | 2+1 | Bahçe katı | 65 m²,13.000 TL
Merkezefendi - Şemikler Mahallesi,Daire | 3+1 | 4. Kat | 150 m²,30.000 TL
Pamukkale - Yunusemre Mahallesi,Daire | 1+1 | 2. Kat | 50 m²,12.500 TL
Pamukkale - Atalar Mahallesi,Daire | 3+1 | 2. Kat | 170 m²,19.000 TL
Merkezefendi - Şemikler Mahallesi,Daire | 2+1 | 2. Kat | 120 m²,22.000 TL
Pamukkale - Siteler Mahallesi,Daire | 1+1 | Çatı katı | 50 m²,14.000 TL
Merkezefendi - Çakmak Mahallesi,Daire | 3+1 | 1. Kat | 160 m²,32.000 TL
Pamukkale - 15 Mayıs Mahallesi,Daire | 2+1 | 2. Kat | 90 m²,20.000 TL
Pamukkale - Mehmetçik Mahallesi,Daire | 3+1 | 4. Kat | 152 m²,24.950 TL
Merkezefendi - Kayalar Mahallesi,Daire | 2+1 | 4. Kat | 105 m²,18.500 TL
Honaz - Afşın Bey Mahallesi,Daire | 1+1 | 3. Kat | 60 m²,10.000 TL
Pamukkale - 15 Mayıs Mahallesi,Daire | 3+1 | 7. Kat | 220 m²,19.500 TL
Pamukkale - Kınıklı Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 49 m²,12.500 TL
Pamukkale - Siteler Mahallesi,Daire | 1+1 | Bahçe katı | 45 m²,13.000 TL
Pamukkale - Fesleğen Mahallesi,Daire | 3+1 | 3. Kat | 135 m²,17.000 TL
Pamukkale - Bağbaşı Mahallesi,Daire | 1+1 | 2. Kat | 70 m²,17.250 TL
Merkezefendi - Mehmet Akif Ersoy Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,14.500 TL
Pamukkale - Asmalıevler Mahallesi,Daire | Stüdyo | Çatı katı | 30 m²,6.000 TL
Pamukkale - Mehmetçik Mahallesi,Daire | 3+1 | Düz Giriş (Zemin) | 140 m²,16.000 TL
Pamukkale - İstiklal Mahallesi,Daire | 2+1 | 1. Kat | 130 m²,25.000 TL
Merkezefendi - Merkez Efendi Mahallesi,Daire | 1+1 | Yüksek giriş | 45 m²,13.000 TL
Merkezefendi - Selçuk Bey Mahallesi,Daire | 1+1 | Yüksek giriş | 60 m²,18.000 TL
Pamukkale - Yunusemre Mahallesi,Daire | 1+1 | 1. Kat | 55 m²,14.000 TL
Pamukkale - İncilipınar Mahallesi,Daire | 1+1 | 1. Kat | 45 m²,11.000 TL
Merkezefendi - 1200 Evler Mahallesi,Daire | 3+1 | 1. Kat | 158 m²,22.500 TL24.000 TL
Merkezefendi - Bereketler Mahallesi,Daire | 2+1 | 5. Kat | 125 m²,21.000 TL
Pamukkale - Hacıkaplanlar Mahallesi,Daire | 2+1 | 3. Kat | 70 m²,12.000 TL
Pamukkale - Kınıklı Mahallesi,Daire | 1+1 | Yüksek giriş | 50 m²,12.500 TL
Pamukkale - Kınıklı Mahallesi,Daire | 2+1 | Bahçe katı | 70 m²,16.000 TL
Merkezefendi - Altıntop Mahallesi,Daire | 3+1 | 2. Kat | 122 m²,19.000 TL
Merkezefendi - Gültepe Mahallesi,Daire | 2+1 | Çatı katı | 90 m²,10.000 TL
Merkezefendi - Bereketler Mahallesi,Daire | 2+1 | Yüksek giriş | 125 m²,30.000 TL
Pamukkale - Asmalıevler Mahallesi,Daire | 1+1 | Düz Giriş (Zemin) | 50 m²,12.000 TL
Pamukkale - Siteler Mahallesi,Daire | 2+1 | 2. Kat | 140 m²,21.400 TL
Merkezefendi - Kayalar Mahallesi,Daire | 1+1 | 10. Kat | 85 m²,25.000 TL
Pamukkale - Siteler Mahallesi,Daire | 2+1 | 4. Kat | 70 m²,18.000 TL
Merkezefendi - Gerzele Mahallesi,Daire | 3+1 | 1. Kat | 150 m²,17.500 TL
Pamukkale - Kınıklı Mahallesi,Daire | 1+1 | 2. Kat | 50 m²,12.000 TL
Pamukkale - 15 Mayıs Mahallesi,Daire | 1+1 | 4. Kat | 45 m²,9.500 TL
Pamukkale - Kuşpınar Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,10.500 TL
Merkezefendi - Şemikler Mahallesi,Daire | 2+1 | 4. Kat | 130 m²,22.000 TL
Merkezefendi - Bahçelievler Mahallesi,Daire | 3+0 | Bahçe katı | 190 m²,17.000 TL
Merkezefendi - Bahçelievler Mahallesi,Daire | 3+0 | 2. Kat | 190 m²,27.000 TL
Pamukkale - Zeytinköy Mahallesi,Daire | 1+1 | 7. Kat | 55 m²,12.000 TL
Pamukkale - Asmalıevler Mahallesi,Daire | 1+1 | 2. Kat | 50 m²,14.000 TL
Pamukkale - Kınıklı Mahallesi,Daire | 3+1 | 3. Kat | 65 m²,15.000 TL
Pamukkale - Siteler Mahallesi,Daire | 2+1 | Çatı katı | 75 m²,15.000 TL
Merkezefendi - Sırakapılar Mahallesi,Daire | 1+1 | 2. Kat | 45 m²,11.000 TL
Merkezefendi - Adalet Mahallesi,Daire | 1+1 | 6. Kat | 50 m²,15.000 TL
Merkezefendi - Karaman Mahallesi,Daire | 2+1 | 3. Kat | 120 m²,22.000 TL
Merkezefendi - Akkonak Mahallesi,Daire | 1+1 | 2. Kat | 45 m²,9.000 TL
Merkezefendi - Gültepe Mahallesi,Daire | 1+1 | 2. Kat | 60 m²,16.000 TL
Merkezefendi - Gümüşçay Mahallesi,Daire | 3+1 | 2. Kat | 150 m²,20.000 TL
Merkezefendi - Adalet Mahallesi,Daire | 3+1 | 2. Kat | 190 m²,30.000 TL
Merkezefendi - Yenişafak Mahallesi,Daire | 3+1 | 4. Kat | 175 m²,37.000 TL
Merkezefendi - Merkez Efendi Mahallesi,Daire | 2+1 | Bodrum Kat | 85 m²,15.500 TL
Pamukkale - Siteler Mahallesi,Daire | 3+1 | 1. Kat | 135 m²,20.000 TL
Merkezefendi - Şemikler Mahallesi,Daire | 2+1 | 2. Kat | 115 m²,25.000 TL
Merkezefendi - Altıntop Mahallesi,Daire | 2+1 | 3. Kat | 105 m²,19.000 TL
Pamukkale - Fesleğen Mahallesi,Daire | 2+1 | Kot 3 (-3). Kat | 135 m²,15.000 TL
Pamukkale - Siteler Mahallesi,Daire | 2+1 | Bahçe katı | 110 m²,8.000 TL
Merkezefendi - Yenişafak Mahallesi,Daire | 3+1 | 5. Kat | 150 m²,33.000 TL
Pamukkale - Kınıklı Mahallesi,Daire | 1+1 | 4. Kat | 80 m²,15.900 TL
Pamukkale - Fesleğen Mahallesi,Daire | 3+1 | 7. Kat | 170 m²,15.000 TL
Merkezefendi - Sırakapılar Mahallesi,Daire | 2+1 | 2. Kat | 120 m²,25.000 TL
Merkezefendi - Kayalar Mahallesi,Daire | 4+1 | 3. Kat | 229 m²,57.000 TL
Pamukkale - Kuşpınar Mahallesi,Daire | 3+1 | 7. Kat | 138 m²,26.000 TL
Pamukkale - Kınıklı Mahallesi,Daire | 1+1 | 2. Kat | 50 m²,17.500 TL
Merkezefendi - Şemikler Mahallesi,Daire | 4+1 | 6. Kat | 230 m²,55.000 TL
Merkezefendi - Değirmenönü Mahallesi,Daire | 3+1 | 2. Kat | 160 m²,15.000 TL
Merkezefendi - Kayalar Mahallesi,Daire | 1+1 | 24. Kat | 80 m²,20.000 TL
Pamukkale - Kınıklı Mahallesi,Daire | 3.5+1 | 3. Kat | 200 m²,45.000 TL
Pamukkale - İncilipınar Mahallesi,Daire | 2+1 | Çatı katı | 50 m²,16.000 TL
Merkezefendi - Kayalar Mahallesi,Daire | 1+1 | 11. Kat | 84 m²,24.000 TL
Pamukkale - Kınıklı Mahallesi,Daire | 1+1 | 4. Kat | 50 m²,19.000 TL
Pamukkale - Fesleğen Mahallesi,Daire | 1+1 | Yüksek giriş | 55 m²,13.000 TL
Pamukkale - Cumhuriyet Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,9.000 TL
Pamukkale - Zeytinköy Mahallesi,Daire | 2+1 | 1. Kat | 60 m²,16.000 TL
Merkezefendi - Bahçelievler Mahallesi,Daire | 2+1 | 1. Kat | 50 m²,13.000 TL
Pamukkale - Mehmetçik Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,12.000 TL
Pamukkale - Pelitlibağ Mahallesi,Daire | 3+1 | 4. Kat | 165 m²,18.000 TL
Merkezefendi - Merkez Efendi Mahallesi,Daire | 1+1 | 2. Kat | 50 m²,15.000 TL
Merkezefendi - Karahasanlı Mahallesi,Daire | 3+1 | 3. Kat | 185 m²,26.000 TL
Merkezefendi - Akkonak Mahallesi,Daire | 3+1 | 1. Kat | 160 m²,20.000 TL
Merkezefendi - Akkonak Mahallesi,Daire | 3+1 | 1. Kat | 160 m²,20.000 TL
Acıpayam - Yukarı Mahallesi,Daire | 2+1 | 3. Kat | 80 m²,12.000 TL13.000 TL
Merkezefendi - Sırakapılar Mahallesi,Daire | 2+1 | 3. Kat | 70 m²,13.500 TL
Pamukkale - Kuşpınar Mahallesi,Daire | 1+1 | 2. Kat | 52 m²,15.000 TL
Pamukkale - Yunusemre Mahallesi,Daire | 1+1 | 4. Kat | 50 m²,18.000 TL
Merkezefendi - Kayalar Mahallesi,Daire | 3+1 | 5. Kat | 161 m²,42.000 TL
Merkezefendi - Kayalar Mahallesi,Daire | 2.5+1 | 11. Kat | 125 m²,32.000 TL
Merkezefendi - Kayalar Mahallesi,Daire | 1+1 | 22. Kat | 79 m²,22.000 TL
Merkezefendi - Kayalar Mahallesi,Daire | 2.5+1 | 25. Kat | 150 m²,38.400 TL
