location,information,sales_price
Düzce Merkez - Orhangazi Mahallesi,Daire | 1+1 | 1. Kat | 62 m²,12.000 TL
Düzce Merkez - Fevziçakmak Mahallesi,Daire | 3+1 | 2. Kat | 130 m²,19.000 TL
Düzce Merkez - Camikebir Mahallesi,Daire | 2+1 | 3. Kat | 95 m²,15.000 TL
Düzce Merkez - Aziziye Mahallesi,Daire | 2+1 | 3. Kat | 100 m²,18.000 TL
Düzce Merkez - Çay Mahallesi,Daire | 3+1 | Yüksek giriş | 130 m²,17.500 TL
Düzce Merkez - Aziziye Mahallesi,Daire | 3+1 | 3. Kat | 135 m²,20.500 TL
Düzce Merkez - Şehit Bayram Gökmen Mahallesi,Daire | 1 Oda | Kot 4 (-4). Kat | 60 m²,15.000 TL
Düzce Merkez - Şehit Murat Demir Mahallesi,Daire | 1+1 | 2. Kat | 70 m²,9.500 TL
Düzce Merkez - Şehit Murat Demir Mahallesi,Daire | 1+1 | Yüksek giriş | 55 m²,10.000 TL
Düzce Merkez - Güzelbahçe Mahallesi,Daire | 3+1 | Düz Giriş (Zemin) | 115 m²,14.000 TL
Düzce Merkez - Koçyazı Mahallesi,Daire | 3+1 | 4. Kat | 120 m²,16.250 TL
Düzce Merkez - Esentepe Mahallesi,Daire | 3+1 | 3. Kat | 125 m²,11.000 TL
Düzce Merkez - Şehit Murat Demir Mahallesi,Daire | 1+1 | 5. Kat | 60 m²,11.250 TL
Düzce Merkez - Orhangazi Mahallesi,Daire | 1+1 | 7. Kat | 64 m²,11.000 TL
Düzce Merkez - Cedidiye Mahallesi,Daire | 1+1 | 2. Kat | 80 m²,14.000 TL
Düzce Merkez - Nusrettin Mahallesi,Daire | 2+1 | 3. Kat | 90 m²,11.000 TL
Düzce Merkez - Orhangazi Mahallesi,Daire | 2+1 | 4. Kat | 65 m²,10.000 TL
Düzce Merkez - Orhangazi Mahallesi,Daire | 2+1 | 4. Kat | 65 m²,7.000 TL
Düzce Merkez - Orhangazi Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,11.000 TL
Düzce Merkez - Şehit Bayram Gökmen Mahallesi,Daire | 1+1 | 4. Kat | 55 m²,8.500 TL
Düzce Merkez - Şehit Murat Demir Mahallesi,Daire | 2+1 | 1. Kat | 75 m²,9.750 TL
Düzce Merkez - Aziziye Mahallesi,Daire | 1+1 | 3. Kat | 55 m²,16.000 TL
Düzce Merkez - Hamidiye Mahallesi,Daire | 1+1 | 3. Kat | 50 m²,12.000 TL
Düzce Merkez - Şehit Murat Demir Mahallesi,Daire | 2+1 | Çatı katı | 180 m²,25.000 TL
Düzce Merkez - Hamidiye Mahallesi,Daire | 1+1 | 3. Kat | 70 m²,15.500 TL
Düzce Merkez - Orhangazi Mahallesi,Daire | 1+1 | 4. Kat | 60 m²,8.500 TL
Düzce Merkez - Uzun Mustafa Mahallesi,Daire | 3+1 | Kot 3 (-3). Kat | 155 m²,30.000 TL
Düzce Merkez - Orhangazi Mahallesi,Daire | 1+1 | 4. Kat | 70 m²,11.250 TL
Düzce Merkez - Orhangazi Mahallesi,Daire | 2+1 | 5. Kat | 80 m²,13.500 TL
Düzce Merkez - Orhangazi Mahallesi,Daire | 1+1 | Düz Giriş (Zemin) | 58 m²,10.000 TL
Düzce Merkez - Aziziye Mahallesi,Daire | 1+1 | 3. Kat | 55 m²,13.000 TL
Düzce Merkez - Orhangazi Mahallesi,Daire | 1+1 | 1. Kat | 60 m²,10.000 TL
Düzce Merkez - Şehit Murat Demir Mahallesi,Daire | 3+1 | 3. Kat | 130 m²,16.000 TL
Düzce Merkez - Şehit Murat Demir Mahallesi,Daire | 3+1 | Düz Giriş (Zemin) | 120 m²,15.000 TL
Düzce Merkez - Orhangazi Mahallesi,Daire | 2+1 | 2. Kat | 80 m²,12.000 TL
Düzce Merkez - Aziziye Mahallesi,Daire | 2+1 | 1. Kat | 110 m²,16.000 TL
Düzce Merkez - Şehit Murat Demir Mahallesi,Daire | 1+1 | 4. Kat | 60 m²,9.500 TL
Düzce Merkez - Şehit Murat Demir Mahallesi,Daire | 1+1 | 3. Kat | 50 m²,10.750 TL
Gümüşova - Yeni Mahallesi,Daire | 2+1 | Yüksek giriş | 90 m²,11.250 TL
Düzce Merkez - Çamlıevler Mahallesi,Daire | 3+1 | 2. Kat | 120 m²,13.500 TL
Düzce Merkez - Orhangazi Mahallesi,Daire | 1+1 | 7. Kat | 55 m²,11.000 TL
Düzce Merkez - Camikebir Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,20.000 TL
Düzce Merkez - Orhangazi Mahallesi,Daire | 1+1 | 1. Kat | 54 m²,12.000 TL
Düzce Merkez - Aziziye Mahallesi,Daire | 1+1 | Yüksek giriş | 60 m²,10.000 TL
Düzce Merkez - Fevziçakmak Mahallesi,Daire | 3+1 | Yüksek giriş | 120 m²,20.000 TL
Düzce Merkez - Şehit Murat Demir Mahallesi,Daire | 1+1 | 2. Kat | 60 m²,10.500 TL
Düzce Merkez - Koçyazı Mahallesi,Daire | 2+1 | Yüksek giriş | 92 m²,14.000 TL
Düzce Merkez - Şehit Murat Demir Mahallesi,Daire | 1+1 | 3. Kat | 50 m²,11.000 TL
Düzce Merkez - Orhangazi Mahallesi,Daire | 1+1 | 1. Kat | 50 m²,14.250 TL
Düzce Merkez - Orhangazi Mahallesi,Daire | 1+1 | 1. Kat | 55 m²,12.500 TL
Düzce Merkez - Şehit Bayram Gökmen Mahallesi,Daire | 1+1 | 4. Kat | 55 m²,14.000 TL
Düzce Merkez - Uzun Mustafa Mahallesi,Daire | 3+1 | Yüksek giriş | 140 m²,25.000 TL
Düzce Merkez - Orhangazi Mahallesi,Daire | 2+1 | 1. Kat | 65 m²,13.500 TL
Düzce Merkez - Şehit Murat Demir Mahallesi,Daire | 2+1 | Kot 2 (-2). Kat | 75 m²,15.500 TL
Düzce Merkez - Beyköy Bld. (Beytepe Mahallesi),Daire | 2+1 | 3. Kat | 85 m²,9.000 TL
Düzce Merkez - Bahçelievler Mahallesi,Daire | 3+1 | 2. Kat | 120 m²,13.500 TL
Düzce Merkez - Orhangazi Mahallesi,Daire | 1+1 | 3. Kat | 63 m²,10.000 TL
Düzce Merkez - Şehit Murat Demir Mahallesi,Daire | 2+1 | 3. Kat | 70 m²,12.000 TL
Düzce Merkez - Burhaniye Mahallesi,Daire | 3+1 | 3. Kat | 125 m²,18.500 TL
Düzce Merkez - Camikebir Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,20.000 TL
Düzce Merkez - Camikebir Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,20.000 TL
Düzce Merkez - Orhangazi Mahallesi,Daire | 1+1 | 1. Kat | 54 m²,12.000 TL
Düzce Merkez - Aziziye Mahallesi,Daire | 1+1 | Yüksek giriş | 60 m²,10.000 TL
Düzce Merkez - Beyciler Mahallesi,Daire | 2+1 | Kot 3 (-3). Kat | 100 m²,15.000 TL
Düzce Merkez - Aziziye Mahallesi,Daire | 1+1 | Yüksek giriş | 65 m²,9.250 TL
Düzce Merkez - Hamidiye Mahallesi,Daire | 2+1 | 1. Kat | 95 m²,13.750 TL
Düzce Merkez - Arapçiftliği Mahallesi,Daire | 3+1 | 2. Kat | 120 m²,18.500 TL
Cumayeri - Orta Mahallesi,Daire | 3+1 | 2. Kat | 180 m²,15.000 TL
Düzce Merkez - Güzelbahçe Mahallesi,Daire | 3+1 | 2. Kat | 125 m²,13.250 TL
Düzce Merkez - Esentepe Mahallesi,Daire | 3+1 | Bahçe katı | 120 m²,15.000 TL
Düzce Merkez - Şehit Murat Demir Mahallesi,Daire | 2+1 | 4. Kat | 85 m²,15.000 TL
Düzce Merkez - Darıcı Mahallesi,Daire | 2+1 | 2. Kat | 85 m²,12.500 TL
Düzce Merkez - Yeşiltepe Mahallesi,Daire | 2+1 | 2. Kat | 90 m²,12.500 TL
Düzce Merkez - Şehit Murat Demir Mahallesi,Daire | 2+1 | 12. Kat | 90 m²,12.500 TL
Düzce Merkez - Aziziye Mahallesi,Daire | 1+1 | Yüksek giriş | 60 m²,16.500 TL
Düzce Merkez - Demetevler Mahallesi,Daire | 3+1 | 3. Kat | 120 m²,15.500 TL
Düzce Merkez - Şehit Murat Demir Mahallesi,Daire | 2+1 | 1. Kat | 95 m²,14.000 TL
Düzce Merkez - Şehit Bayram Gökmen Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,8.500 TL
Cumayeri - Çevrik Mahallesi,Daire | 2+1 | 1. Kat | 85 m²,14.000 TL15.000 TL
Gümüşova - Yeni Mahallesi,Daire | 3+1 | 5. Kat | 135 m²,13.000 TL
Cumayeri - Yeni Mahallesi,Daire | 2+1 | 1. Kat | 125 m²,10.000 TL
Düzce Merkez - Uzun Mustafa Mahallesi,Daire | 2+1 | 2. Kat | 115 m²,20.000 TL
Düzce Merkez - Nusrettin Mahallesi,Daire | 3+1 | 3. Kat | 145 m²,10.500 TL
Düzce Merkez - Derelitütüncü Mahallesi,Daire | 2+1 | 3. Kat | 100 m²,16.000 TL
Düzce Merkez - Uzun Mustafa Mahallesi,Daire | 3+1 | 1. Kat | 135 m²,19.950 TL
Cumayeri - Yeni Mahallesi,Daire | 3+1 | 1. Kat | 130 m²,14.000 TL
Cumayeri - Orta Mahallesi,Daire | 3+1 | 2. Kat | 150 m²,17.500 TL
Düzce Merkez - Burhaniye Mahallesi,Daire | 2+1 | 2. Kat | 90 m²,20.500 TL
Düzce Merkez - Derelitütüncü Mahallesi,Daire | 2+1 | 2. Kat | 110 m²,10.500 TL
Düzce Merkez - Orhangazi Mahallesi,Daire | 1+1 | 2. Kat | 70 m²,10.500 TL
Düzce Merkez - Beyciler Mahallesi,Daire | 2+1 | Yüksek giriş | 110 m²,12.500 TL
Düzce Merkez - Fevziçakmak Mahallesi,Daire | 3+1 | 3. Kat | 130 m²,20.000 TL
Düzce Merkez - Burhaniye Mahallesi,Daire | 3+1 | 2. Kat | 145 m²,22.500 TL
Düzce Merkez - Şerefiye Mahallesi,Daire | 2+1 | 2. Kat | 120 m²,12.000 TL
Düzce Merkez - Cedidiye Mahallesi,Daire | 1+1 | 3. Kat | 55 m²,12.500 TL
Düzce Merkez - Şehit Murat Demir Mahallesi,Daire | 2+1 | 4. Kat | 110 m²,19.000 TL
Düzce Merkez - Şehit Murat Demir Mahallesi,Daire | 1+1 | 4. Kat | 60 m²,10.000 TL
Düzce Merkez - Cedidiye Mahallesi,Daire | 2+1 | 5. Kat | 110 m²,19.500 TL
Düzce Merkez - Şehit Murat Demir Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 72 m²,12.000 TL
Düzce Merkez - Orhangazi Mahallesi,Daire | 1+1 | 1. Kat | 60 m²,12.000 TL
Gümüşova - Fatih Mahallesi,Daire | 3+1 | 7. Kat | 136 m²,12.500 TL13.500 TL
Düzce Merkez - Derelitütüncü Mahallesi,Daire | 2+1 | 2. Kat | 90 m²,15.500 TL
Düzce Merkez - Şehit Murat Demir Mahallesi,Daire | 1+1 | 2. Kat | 70 m²,10.000 TL12.500 TL
Düzce Merkez - Fevziçakmak Mahallesi,Daire | 3+1 | Yüksek giriş | 130 m²,10.500 TL
Düzce Merkez - Mergiç Mahallesi,Daire | 2+1 | 2. Kat | 80 m²,19.000 TL
Düzce Merkez - Şehit Murat Demir Mahallesi,Daire | 2+1 | 2. Kat | 110 m²,21.000 TL
Düzce Merkez - Orhangazi Mahallesi,Daire | 1+1 | 5. Kat | 50 m²,10.000 TL
Düzce Merkez - Aziziye Mahallesi,Daire | 1+1 | 3. Kat | 60 m²,15.500 TL
Düzce Merkez - Şerefiye Mahallesi,Daire | 3+1 | 3. Kat | 150 m²,18.500 TL
Düzce Merkez - Şehit Murat Demir Mahallesi,Daire | 1+1 | 3. Kat | 40 m²,9.750 TL
Düzce Merkez - Burhaniye Mahallesi,Daire | 1+1 | 4. Kat | 70 m²,12.000 TL
Düzce Merkez - Orhangazi Mahallesi,Daire | 1+1 | 2. Kat | 60 m²,9.500 TL
Düzce Merkez - Orhangazi Mahallesi,Daire | 6+2 | Villa tipi | 360 m²,40.500 TL
Düzce Merkez - Yörük Köyü (Merkez Mahallesi),Daire | 1+1 | 2. Kat | 65 m²,9.000 TL
Düzce Merkez - Kültür Mahallesi,Daire | 3+1 | 4. Kat | 145 m²,20.000 TL
Düzce Merkez - Çavuşlar Mahallesi,Daire | 3+1 | 3. Kat | 151 m²,18.000 TL
Düzce Merkez - Kültür Mahallesi,Daire | 4+1 | 4. Kat | 250 m²,30.000 TL
Düzce Merkez - Orhangazi Mahallesi,Daire | 1+1 | 3. Kat | 55 m²,12.000 TL
Düzce Merkez - Orhangazi Mahallesi,Daire | 1+1 | 8. Kat | 64 m²,10.000 TL
Düzce Merkez - Sancaklar Mahallesi,Daire | 2+1 | 3. Kat | 85 m²,9.000 TL
Düzce Merkez - Camikebir Mahallesi,Daire | 3+1 | 3. Kat | 140 m²,12.500 TL
Düzce Merkez - Çavuşlar Mahallesi,Daire | 1+1 | Yüksek giriş | 60 m²,8.500 TL
Düzce Merkez - Esentepe Mahallesi,Daire | 3+1 | 4. Kat | 120 m²,10.000 TL
Düzce Merkez - Şehit Murat Demir Mahallesi,Daire | 1+1 | 1. Kat | 60 m²,10.000 TL
Düzce Merkez - Çay Mahallesi,Daire | 3+1 | Düz Giriş (Zemin) | 120 m²,13.000 TL
Düzce Merkez - Kültür Mahallesi,Daire | 3+1 | 1. Kat | 130 m²,13.500 TL
Düzce Merkez - Aziziye Mahallesi,Daire | 1+1 | Yüksek giriş | 60 m²,12.500 TL
Düzce Merkez - Uzun Mustafa Mahallesi,Daire | 2+1 | Yüksek giriş | 105 m²,12.500 TL
Düzce Merkez - Şehit Murat Demir Mahallesi,Daire | 2+1 | 3. Kat | 90 m²,15.000 TL
Düzce Merkez - Orhangazi Mahallesi,Daire | 1+1 | 1. Kat | 65 m²,10.000 TL
Düzce Merkez - Gümüşpınar Köyü,Daire | 2+1 | 2. Kat | 115 m²,12.000 TL
Düzce Merkez - Orhangazi Mahallesi,Daire | 1+1 | 3. Kat | 60 m²,16.000 TL
Düzce Merkez - Orhangazi Mahallesi,Daire | 2+1 | 13. Kat | 85 m²,12.500 TL
Düzce Merkez - Şehit Murat Demir Mahallesi,Daire | 2+1 | 2. Kat | 105 m²,23.000 TL
Düzce Merkez - Kavakbıçkı Köyü,Daire | 5+1 | Müstakil | 250 m²,17.750 TL
Düzce Merkez - Şerefiye Mahallesi,Daire | 3+1 | 2. Kat | 130 m²,16.500 TL
Düzce Merkez - Körpeşler Mahallesi,Daire | 3+1 | 2. Kat | 140 m²,23.000 TL
Düzce Merkez - Kiremitocağı Mahallesi,Daire | 2+1 | 2. Kat | 116 m²,18.000 TL
Düzce Merkez - Şehit Murat Demir Mahallesi,Daire | 2+1 | 1. Kat | 85 m²,14.500 TL
Düzce Merkez - Şehit Murat Demir Mahallesi,Daire | 2+1 | 4. Kat | 369 m²,12.000 TL
Düzce Merkez - Çiftepınarlar Mahallesi,Daire | 2+1 | 2. Kat | 120 m²,14.000 TL
Düzce Merkez - Çiftepınarlar Mahallesi,Daire | 3+1 | Yüksek giriş | 125 m²,15.000 TL
Düzce Merkez - Orhangazi Mahallesi,Daire | 2+1 | 3. Kat | 80 m²,10.000 TL
Düzce Merkez - Şehit Murat Demir Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,10.000 TL
Düzce Merkez - Kara Hacımusa Mahallesi,Daire | 3+1 | 3. Kat | 141 m²,20.000 TL
Düzce Merkez - Kiremitocağı Mahallesi,Daire | 3+1 | 2. Kat | 140 m²,18.000 TL
Düzce Merkez - Şehit Murat Demir Mahallesi,Daire | 1+1 | 2. Kat | 65 m²,12.500 TL
Düzce Merkez - Orhangazi Mahallesi,Daire | 1+1 | 2. Kat | 73 m²,12.000 TL
Düzce Merkez - Şehit Murat Demir Mahallesi,Daire | 2+1 | 4. Kat | 75 m²,13.000 TL
Düzce Merkez - Yörük Köyü (Merkez Mahallesi),Daire | 1+1 | Kot 1 (-1). Kat | 50 m²,12.000 TL
Düzce Merkez - Yörük Köyü (Merkez Mahallesi),Daire | 1+1 | Kot 1 (-1). Kat | 50 m²,12.000 TL
Düzce Merkez - Aziziye Mahallesi,Daire | 1+1 | 3. Kat | 70 m²,15.500 TL
Düzce Merkez - Şehit Murat Demir Mahallesi,Daire | 2+1 | Bahçe katı | 70 m²,13.000 TL
Düzce Merkez - Cedidiye Mahallesi,Daire | 3+1 | 4. Kat | 120 m²,10.000 TL13.000 TL
Düzce Merkez - Camikebir Mahallesi,Daire | 1+1 | 3. Kat | 60 m²,12.500 TL
Düzce Merkez - Şehit Murat Demir Mahallesi,Daire | 1+1 | 1. Kat | 70 m²,13.000 TL
Düzce Merkez - Uzun Mustafa Mahallesi,Daire | 2+1 | Çatı katı | 100 m²,15.000 TL
Gümüşova - Yeni Mahallesi,Daire | 3+1 | 4. Kat | 112 m²,12.000 TL
Düzce Merkez - Küçükahmet Köyü,Daire | 3+1 | Düz Giriş (Zemin) | 115 m²,10.000 TL
Düzce Merkez - Şehit Murat Demir Mahallesi,Daire | 1+1 | Bahçe katı | 76 m²,10.000 TL
Düzce Merkez - Şehit Murat Demir Mahallesi,Daire | 1+1 | 1. Kat | 65 m²,8.000 TL
Düzce Merkez - Demetevler Mahallesi,Daire | 2+1 | 3. Kat | 85 m²,12.000 TL
Düzce Merkez - Orhangazi Mahallesi,Daire | 1+1 | 7. Kat | 50 m²,11.000 TL
Düzce Merkez - Orhangazi Mahallesi,Daire | 2+1 | 4. Kat | 80 m²,10.000 TL
Düzce Merkez - Orhangazi Mahallesi,Daire | 2+1 | 2. Kat | 75 m²,15.000 TL
Düzce Merkez - Esentepe Mahallesi,Daire | 3+1 | 2. Kat | 105 m²,15.000 TL
Düzce Merkez - Yahyalar Mahallesi,Daire | 4+1 | 1. Kat | 145 m²,15.000 TL
Düzce Merkez - Kültür Mahallesi,Daire | 3+1 | 2. Kat | 145 m²,10.000 TL
