location,information,sales_price
Yakutiye - Kazım Karabekir Paşa Mahallesi,Daire | 2+0 | 3. Kat | 115 m²,19.000 TL
Aziziye - Saltuklu Mahallesi,Daire | 3+1 | 1. Kat | 130 m²,20.000 TL
Palandöken - Hüseyin Avni Ulaş Mahallesi,Daire | 3+1 | 6. Kat | 150 m²,26.500 TL
Yakutiye - Lalapaşa Mahallesi,Daire | 3+1 | 1. Kat | 155 m²,15.000 TL
Aziziye - Saltuklu Mahallesi,Daire | 1+1 | Yüksek giriş | 50 m²,13.000 TL
Yakutiye - Ömer Nasuhi Bilmen Mahallesi,Daire | 3+1 | Yüksek giriş | 140 m²,21.000 TL
Palandöken - Adnan Menderes Mahallesi,Daire | 3+1 | 3. Kat | 160 m²,21.500 TL
Yakutiye - Şükrüpaşa Mahallesi,Daire | 3+1 | 1. Kat | 160 m²,21.000 TL
Aziziye - Saltuklu Mahallesi,Daire | 3+1 | 1. Kat | 140 m²,21.000 TL
Palandöken - Hüseyin Avni Ulaş Mahallesi,Daire | 1+1 | 6. Kat | 40 m²,16.500 TL
Yakutiye - Rabia Ana Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 90 m²,8.500 TL
Yakutiye - Lalapaşa Mahallesi,Daire | 2+1 | 2. Kat | 120 m²,19.000 TL
Palandöken - Hüseyin Avni Ulaş Mahallesi,Daire | 3+1 | 6. Kat | 155 m²,25.500 TL
Yakutiye - Kurtuluş Mahallesi,Daire | 3+1 | 6. Kat | 170 m²,16.500 TL
Aziziye - Yarımca Mahallesi,Daire | 1+1 | 3. Kat | 45 m²,16.250 TL
Yakutiye - Ömer Nasuhi Bilmen Mahallesi,Daire | 3+1 | 5. Kat | 150 m²,23.000 TL
Aziziye - Saltuklu Mahallesi,Daire | 3+1 | Düz Giriş (Zemin) | 120 m²,12.000 TL
Yakutiye - Muratpaşa Mahallesi,Daire | 1+1 | 1. Kat | 75 m²,14.000 TL
Yakutiye - Lalapaşa Mahallesi,Daire | 4+1 | 5. Kat | 187 m²,20.000 TL
Palandöken - Adnan Menderes Mahallesi,Daire | 3+1 | 2. Kat | 155 m²,24.000 TL
Palandöken - Adnan Menderes Mahallesi,Daire | 3+1 | 3. Kat | 135 m²,9.500 TL
Yakutiye - Ömer Nasuhi Bilmen Mahallesi,Daire | 4+1 | 4. Kat | 190 m²,23.500 TL
Palandöken - Hüseyin Avni Ulaş Mahallesi,Daire | 2+1 | 7. Kat | 120 m²,27.500 TL
Palandöken - Hüseyin Avni Ulaş Mahallesi,Daire | 3+1 | 2. Kat | 150 m²,26.500 TL
Oltu - Aslanpaşa Mahallesi,Daire | 2+1 | 3. Kat | 120 m²,10.000 TL
Palandöken - Hüseyin Avni Ulaş Mahallesi,Daire | 4+1 | 4. Kat | 180 m²,27.500 TL
Yakutiye - Lalapaşa Mahallesi,Daire | 3+1 | Düz Giriş (Zemin) | 135 m²,16.750 TL
Palandöken - Hüseyin Avni Ulaş Mahallesi,Daire | 3+1 | 3. Kat | 135 m²,25.500 TL
Palandöken - Adnan Menderes Mahallesi,Daire | 1+1 | 2. Kat | 80 m²,23.000 TL
Yakutiye - Şükrüpaşa Mahallesi,Daire | 2+1 | 4. Kat | 100 m²,21.500 TL
Yakutiye - Lalapaşa Mahallesi,Daire | 3+1 | 8. Kat | 145 m²,12.500 TL
Palandöken - Hüseyin Avni Ulaş Mahallesi,Daire | 4+1 | 5. Kat | 160 m²,28.000 TL
Yakutiye - Rabia Ana Mahallesi,Daire | 3+1 | 5. Kat | 140 m²,22.000 TL
Palandöken - Hüseyin Avni Ulaş Mahallesi,Daire | 2+1 | 1. Kat | 135 m²,20.000 TL
Palandöken - Müftü Solakzade Mahallesi,Daire | 3+1 | 1. Kat | 130 m²,14.000 TL
Yakutiye - Kazım Karabekir Paşa Mahallesi,Daire | 2.5+1 | 4. Kat | 130 m²,9.000 TL
Aziziye - Yarımca Mahallesi,Daire | 1+1 | 2. Kat | 50 m²,18.500 TL
Yakutiye - Kurtuluş Mahallesi,Daire | 3+1 | 6. Kat | 165 m²,17.750 TL
Yakutiye - Lalapaşa Mahallesi,Daire | 2+1 | 4. Kat | 100 m²,12.000 TL
Palandöken - Adnan Menderes Mahallesi,Daire | 3+1 | 4. Kat | 165 m²,25.500 TL
Palandöken - Adnan Menderes Mahallesi,Daire | 3+1 | 5. Kat | 185 m²,17.000 TL
Yakutiye - Muratpaşa Mahallesi,Daire | 3+1 | 6. Kat | 155 m²,26.600 TL
Yakutiye - Muratpaşa Mahallesi,Daire | 2+1 | 5. Kat | 130 m²,16.000 TL
Aziziye - Saltuklu Mahallesi,Daire | 2+1 | Bodrum Kat | 110 m²,6.500 TL
Palandöken - Yunusemre Mahallesi,Daire | 3+1 | 7. Kat | 165 m²,18.500 TL
Yakutiye - Lalapaşa Mahallesi,Daire | 2+1 | Yüksek giriş | 110 m²,23.000 TL
Aziziye - Selçuklu Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 90 m²,16.000 TL
Yakutiye - Lalapaşa Mahallesi,Daire | 3+1 | 3. Kat | 170 m²,13.000 TL
Yakutiye - Kurtuluş Mahallesi,Daire | 1+1 | Yüksek giriş | 50 m²,6.000 TL
Yakutiye - Rabia Ana Mahallesi,Daire | 2+1 | 1. Kat | 100 m²,11.500 TL
Yakutiye - Şükrüpaşa Mahallesi,Daire | 3+1 | 4. Kat | 120 m²,15.500 TL
Palandöken - Hüseyin Avni Ulaş Mahallesi,Daire | 1+1 | 4. Kat | 60 m²,14.750 TL
Yakutiye - Muratpaşa Mahallesi,Daire | 2+1 | 4. Kat | 80 m²,10.000 TL
Palandöken - Hüseyin Avni Ulaş Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 90 m²,12.850 TL15.000 TL
Aziziye - Selçuklu Mahallesi,Daire | 1+1 | 1. Kat | 60 m²,19.000 TL
Palandöken - Adnan Menderes Mahallesi,Daire | 4+1 | 2. Kat | 200 m²,27.000 TL
Yakutiye - Şükrüpaşa Mahallesi,Daire | 2+1 | 1. Kat | 135 m²,13.500 TL
Yakutiye - Lalapaşa Mahallesi,Daire | 3+1 | 9. Kat | 150 m²,17.500 TL
Palandöken - Müftü Solakzade Mahallesi,Daire | 3+1 | 5. Kat | 125 m²,12.000 TL
Yakutiye - Rabia Ana Mahallesi,Daire | 3+1 | 4. Kat | 130 m²,12.000 TL
Aziziye - Saltuklu Mahallesi,Daire | 1+1 | 2. Kat | 70 m²,18.000 TL
Aziziye - Saltuklu Mahallesi,Daire | 2+0 | 1. Kat | 65 m²,18.500 TL
Aziziye - Saltuklu Mahallesi,Daire | 1+1 | 1. Kat | 45 m²,17.000 TL
Aziziye - Saltuklu Mahallesi,Daire | 1+1 | 2. Kat | 80 m²,19.000 TL
Aziziye - Saltuklu Mahallesi,Daire | 1+1 | 3. Kat | 45 m²,17.250 TL
Palandöken - Hüseyin Avni Ulaş Mahallesi,Daire | 2+1 | Bahçe katı | 95 m²,15.000 TL
Aziziye - Selçuklu Mahallesi,Daire | 2+1 | Bodrum Kat | 100 m²,8.500 TL
Aziziye - Saltuklu Mahallesi,Daire | 5+1 | 2. Kat | 260 m²,30.500 TL
