location,information,sales_price
Isparta Merkez - Fatih Mahallesi,Daire | 1+1 | 2. Kat | 45 m²,10.000 TL
Isparta Merkez - Zafer Mahallesi,Daire | 3+1 | Bahçe katı | 130 m²,8.750 TL
Isparta Merkez - Çünür Mahallesi,Daire | 2+1 | 2. Kat | 60 m²,14.000 TL
Isparta Merkez - Anadolu Mahallesi,Daire | 3+1 | 4. Kat | 135 m²,15.000 TL
Isparta Merkez - Ayazmana Mahallesi,Daire | 3+1 | 4. Kat | 150 m²,25.500 TL
Isparta Merkez - Zafer Mahallesi,Daire | 2+1 | Yüksek giriş | 80 m²,15.000 TL
Isparta Merkez - Fatih Mahallesi,Daire | 2+1 | 1. Kat | 60 m²,15.000 TL
Isparta Merkez - Davraz Mahallesi,Daire | 1+1 | 5. Kat | 55 m²,14.500 TL
Isparta Merkez - Fatih Mahallesi,Daire | 3+1 | 1. Kat | 130 m²,20.000 TL
Isparta Merkez - Fatih Mahallesi,Daire | 1+1 | 1. Kat | 45 m²,12.000 TL
Isparta Merkez - Muzaffer Türkeş Mahallesi,Daire | 3+1 | 2. Kat | 145 m²,26.000 TL
Isparta Merkez - Hızırbey Mahallesi,Daire | 2+1 | Bahçe katı | 50 m²,11.000 TL
Isparta Merkez - Fatih Mahallesi,Daire | Stüdyo | Bahçe katı | 30 m²,7.000 TL
Isparta Merkez - Fatih Mahallesi,Daire | 1+1 | Yüksek giriş | 45 m²,12.000 TL
Isparta Merkez - Fatih Mahallesi,Daire | Stüdyo | Bahçe katı | 30 m²,7.000 TL
Isparta Merkez - Fatih Mahallesi,Daire | 2+1 | 2. Kat | 50 m²,17.000 TL
Isparta Merkez - Fatih Mahallesi,Daire | 1+1 | 1. Kat | 50 m²,20.000 TL
Isparta Merkez - Fatih Mahallesi,Daire | 1+1 | Bahçe katı | 40 m²,8.750 TL
Isparta Merkez - Fatih Mahallesi,Daire | Stüdyo | Bahçe katı | 30 m²,7.500 TL
Isparta Merkez - Fatih Mahallesi,Daire | 2+1 | 1. Kat | 50 m²,14.000 TL
Isparta Merkez - Yayla Mahallesi,Daire | 1+1 | 3. Kat | 55 m²,18.000 TL
Isparta Merkez - Yayla Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,26.000 TL
Isparta Merkez - Fatih Mahallesi,Daire | 1+1 | Bahçe katı | 30 m²,10.000 TL
Isparta Merkez - Fatih Mahallesi,Daire | 2+1 | 2. Kat | 52 m²,12.000 TL
Isparta Merkez - Sülübey Mahallesi,Daire | 2+1 | Yüksek giriş | 150 m²,12.500 TL
Isparta Merkez - İstiklal Mahallesi,Daire | 3+1 | 1. Kat | 150 m²,25.000 TL
Eğirdir - Yeni Mahallesi,Daire | 3+1 | 3. Kat | 135 m²,22.500 TL
Isparta Merkez - Modern Evler Mahallesi,Daire | 2+1 | 3. Kat | 55 m²,15.000 TL
Isparta Merkez - Fatih Mahallesi,Daire | Stüdyo | Bahçe katı | 35 m²,10.000 TL
