location,information,sales_price
Buca - Kuruçeşme Mahallesi,Daire | 2+1 | 2. Kat | 60 m²,24.000 TL
Bornova - Mevlana Mahallesi,Daire | 1+1 | 4. Kat | 60 m²,30.000 TL
Bornova - Kazımdirik Mahallesi,Daire | 1+1 | 2. Kat | 60 m²,35.000 TL
Balçova - Eğitim Mahallesi,Daire | 2+1 | 2. Kat | 85 m²,25.000 TL
Karabağlar - Selvili Mahallesi,Daire | 2+1 | 2. Kat | 85 m²,15.000 TL
Buca - Kuruçeşme Mahallesi,Daire | 1+1 | 1. Kat | 45 m²,18.000 TL
Balçova - Fevzi Çakmak Mahallesi,Daire | 2+1 | Yüksek giriş | 110 m²,42.500 TL
Balçova - Korutürk Mahallesi,Daire | 1+1 | 3. Kat | 65 m²,45.000 TL
Torbalı - Ertuğrul Mahallesi,Daire | 3+1 | 3. Kat | 140 m²,25.000 TL
Aliağa - Kültür Mahallesi,Daire | 2+1 | 4. Kat | 86 m²,35.000 TL
Aliağa - Şakran Sayfiye Mahallesi,Daire | 3+1 | Çatı katı | 140 m²,25.000 TL
Çiğli - Küçük Çiğli Mahallesi,Daire | 3+1 | 4. Kat | 125 m²,20.000 TL
Buca - Yıldız Mahallesi,Daire | 1+1 | 1. Kat | 45 m²,16.000 TL
Balçova - Eğitim Mahallesi,Daire | 3+1 | Kot 2 (-2). Kat | 140 m²,40.000 TL
Balçova - Eğitim Mahallesi,Daire | 3+1 | 3. Kat | 125 m²,37.500 TL
Balçova - Eğitim Mahallesi,Daire | 2+1 | 3. Kat | 85 m²,33.000 TL
Bornova - Kazımdirik Mahallesi,Daire | 1+1 | 6. Kat | 55 m²,35.500 TL
Buca - Laleli Mahallesi,Daire | 2+1 | Yüksek giriş | 130 m²,26.000 TL
Konak - Altıntaş Mahallesi,Daire | 2+1 | 2. Kat | 90 m²,24.000 TL
Buca - Yeşilbağlar Mahallesi,Daire | 2+1 | 2. Kat | 120 m²,20.000 TL
Bergama - Ertuğrul Mahallesi,Daire | 2+1 | 3. Kat | 85 m²,20.000 TL
Karşıyaka - Bostanlı Mahallesi,Daire | 4+1 | 4. Kat | 165 m²,90.000 TL
Buca - Kozağaç Mahallesi,Daire | 2+1 | 1. Kat | 105 m²,30.000 TL
Karabağlar - Yunus Emre Mahallesi,Daire | 1+1 | Villa tipi | 75 m²,8.000 TL
Buca - Yıldız Mahallesi,Daire | 2+1 | 3. Kat | 80 m²,21.000 TL
Balçova - Fevzi Çakmak Mahallesi,Daire | 3+1 | 4. Kat | 120 m²,23.000 TL
Karşıyaka - Aksoy Mahallesi,Daire | 3+1 | Düz Giriş (Zemin) | 110 m²,25.000 TL
Menemen - Kasımpaşa Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 100 m²,25.000 TL
Karabağlar - Adnan Süvari Mahallesi,Daire | 2+1 | 3. Kat | 100 m²,29.000 TL
Buca - Yaylacık Mahallesi,Daire | 2+1 | Bahçe katı | 80 m²,20.000 TL
Buca - Yaylacık Mahallesi,Daire | 2+1 | Bahçe katı | 80 m²,20.000 TL
Karabağlar - Sarıyer Mahallesi,Daire | 2+1 | Yüksek giriş | 140 m²,20.000 TL
Karşıyaka - Bostanlı Mahallesi,Daire | 3+1 | 2. Kat | 130 m²,60.000 TL
Karşıyaka - Donanmacı Mahallesi,Daire | 3+1 | 2. Kat | 108 m²,25.000 TL
Buca - İnönü Mahallesi,Daire | 2+1 | 3. Kat | 125 m²,26.000 TL
Narlıdere - Huzur Mahallesi,Daire | 3+1 | 5. Kat | 125 m²,35.000 TL
Bayraklı - Yamanlar Mahallesi,Daire | 3+1 | 7. Kat | 145 m²,25.000 TL
Bayraklı - Yamanlar Mahallesi,Daire | 3+1 | 2. Kat | 145 m²,29.000 TL
Karabağlar - Gülyaka Mahallesi,Daire | 2+1 | 4. Kat | 110 m²,20.000 TL
Karabağlar - Kazım Karabekir Mahallesi,Daire | 1+1 | Yüksek giriş | 85 m²,18.500 TL
Çiğli - Balatçık Mahallesi,Daire | 2+1 | 5. Kat | 85 m²,21.000 TL
Çiğli - Ataşehir Mahallesi,Daire | 2+1 | Yüksek giriş | 90 m²,26.000 TL
Menemen - 30 Ağustos Mahallesi,Daire | 3+1 | 2. Kat | 125 m²,30.000 TL
Bayraklı - Gümüşpala Mahallesi,Daire | 1+1 | 2. Kat | 50 m²,18.000 TL
Bayraklı - Osmangazi Mahallesi,Daire | 3+1 | 4. Kat | 130 m²,32.000 TL
Karşıyaka - Örnekköy Mahallesi,Daire | 1+1 | 2. Kat | 45 m²,20.000 TL
Buca - Hürriyet Mahallesi,Daire | 1+1 | 4. Kat | 55 m²,21.000 TL
Buca - Adatepe Mahallesi,Daire | 2+1 | 3. Kat | 120 m²,25.000 TL
Menderes - Barbaros Mahallesi,Daire | 2+1 | 1. Kat | 95 m²,35.000 TL
Menderes - Barbaros Mahallesi,Daire | 2+1 | 2. Kat | 95 m²,35.000 TL
Çiğli - Evka-5 Mahallesi,Daire | 2+1 | 5. Kat | 77 m²,21.000 TL
Bayraklı - Soğukkuyu Mahallesi,Daire | 3+1 | 5. Kat | 165 m²,38.000 TL
Buca - Kuruçeşme Mahallesi,Daire | Stüdyo | 2. Kat | 38 m²,14.500 TL
Urla - Çamlıçay Mahallesi,Daire | 2+1 | 3. Kat | 90 m²,35.000 TL
Karabağlar - Gülyaka Mahallesi,Daire | 1+1 | 1. Kat | 60 m²,25.750 TL
Bayraklı - Mansuroğlu Mahallesi,Daire | 1+1 | 5. Kat | 53 m²,26.000 TL
Seferihisar - Camikebir Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,35.000 TL
Çiğli - Ataşehir Mahallesi,Daire | 2+1 | 1. Kat | 100 m²,20.000 TL
Güzelbahçe - Çamlı Mahallesi,Daire | 3+1 | 2. Kat | 130 m²,23.500 TL
Karabağlar - Bahar Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 105 m²,18.000 TL
Konak - Turgut Reis Mahallesi,Daire | 2+1 | 1. Kat | 100 m²,28.000 TL
Karşıyaka - Bahçelievler Mahallesi,Daire | Stüdyo | 5. Kat | 55 m²,16.000 TL
Bornova - Kazımdirik Mahallesi,Daire | 1+1 | 9. Kat | 60 m²,42.000 TL
Karşıyaka - Bahriye Üçok Mahallesi,Daire | 3+1 | 1. Kat | 145 m²,35.000 TL
Çiğli - Küçük Çiğli Mahallesi,Daire | 2+1 | Bahçe katı | 120 m²,30.000 TL
Karabağlar - Bozyaka Mahallesi,Daire | 2+1 | 5. Kat | 90 m²,25.000 TL
Buca - Atatürk Mahallesi,Daire | 3+1 | 3. Kat | 125 m²,27.000 TL
Bornova - Erzene Mahallesi,Daire | 2+1 | 2. Kat | 90 m²,38.000 TL
Bornova - İnönü Mahallesi,Daire | 3+1 | Düz Giriş (Zemin) | 110 m²,30.000 TL
Tire - Toki Mahallesi,Daire | 3+1 | 4. Kat | 125 m²,17.500 TL
Buca - Mustafa Kemal Mahallesi,Daire | 2+1 | 5. Kat | 100 m²,38.000 TL
Tire - Cumhuriyet Mahallesi,Daire | 2+1 | 2. Kat | 75 m²,20.000 TL
Konak - Göztepe Mahallesi,Daire | 3+1 | Kot 2 (-2). Kat | 120 m²,24.000 TL
Buca - Kuruçeşme Mahallesi,Daire | 1+1 | Kot 1 (-1). Kat | 60 m²,20.000 TL
Karabağlar - Vatan Mahallesi,Daire | 2+1 | 2. Kat | 98 m²,25.000 TL
Menemen - İsmet İnönü Mahallesi,Daire | 3+1 | Düz Giriş (Zemin) | 140 m²,17.750 TL
Karabağlar - Esentepe Mahallesi,Daire | 3+1 | 4. Kat | 130 m²,35.000 TL
Bornova - Barbaros Mahallesi,Daire | Stüdyo | 14. Kat | 34 m²,21.000 TL
Bornova - Barbaros Mahallesi,Daire | Stüdyo | 5. Kat | 40 m²,18.000 TL
Bornova - Barbaros Mahallesi,Daire | Stüdyo | 10. Kat | 40 m²,17.500 TL
Tire - İhsaniye Mahallesi,Daire | 3+1 | Düz Giriş (Zemin) | 110 m²,25.000 TL
Tire - Cumhuriyet Mahallesi,Daire | 2+1 | 2. Kat | 75 m²,30.000 TL
Menemen - Gazi Mustafa Kemal Mahallesi,Daire | 2+1 | 2. Kat | 75 m²,20.000 TL
Menemen - Gazi Mustafa Kemal Mahallesi,Daire | 1+1 | 4. Kat | 50 m²,17.000 TL
Karabağlar - Doğanay Mahallesi,Daire | 2+1 | 1. Kat | 100 m²,20.000 TL
Tire - Kurtuluş Mahallesi,Daire | 3+1 | 3. Kat | 135 m²,18.000 TL
Buca - Göksu Mahallesi,Daire | 3+1 | 3. Kat | 210 m²,21.000 TL
Menemen - Cumhuriyet Mahallesi,Daire | 1+1 | 1. Kat | 58 m²,20.000 TL
Konak - Kılıç Reis Mahallesi,Daire | 1+1 | 1. Kat | 50 m²,23.500 TL
Konak - Göztepe Mahallesi,Daire | 2+1 | 2. Kat | 95 m²,28.000 TL
Konak - Kılıç Reis Mahallesi,Daire | 2+1 | 5. Kat | 80 m²,27.500 TL
Buca - Kuruçeşme Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,19.000 TL
Buca - Gaziler Mahallesi,Daire | 1+1 | 1. Kat | 55 m²,17.000 TL
Konak - Zafertepe Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 90 m²,11.000 TL
Gaziemir - Yeşil Mahallesi,Daire | 3+1 | 3. Kat | 145 m²,36.000 TL
Bergama - Atatürk Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,20.000 TL
Torbalı - Muratbey Mahallesi,Daire | 2+1 | Yüksek giriş | 95 m²,18.500 TL
Buca - Kuruçeşme Mahallesi,Daire | 1+1 | 3. Kat | 45 m²,22.000 TL
Menemen - 9 Eylül Mahallesi,Daire | 3+1 | 1. Kat | 130 m²,32.000 TL
Bornova - Erzene Mahallesi,Daire | 1+1 | 3. Kat | 44 m²,19.500 TL
Torbalı - Türkmenköy Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,15.000 TL
Bayraklı - 75. Yıl Mahallesi,Daire | 3+1 | 14. Kat | 140 m²,30.000 TL
Konak - Kılıç Reis Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 80 m²,20.000 TL
Çiğli - Yakakent Mahallesi,Daire | 3+1 | 2. Kat | 145 m²,58.000 TL
