location,information,sales_price
Meram - Konevi Mahallesi,Daire | 2+1 | 2. Kat | 125 m²,23.000 TL
Akşehir - Yarenler Mahallesi,Daire | 3+1 | 2. Kat | 157 m²,23.000 TL
Karapınar - Çetmi Mahallesi,Daire | 2+1 | 3. Kat | 130 m²,20.000 TL
Akşehir - Yeni Mahallesi,Daire | 3+1 | 1. Kat | 140 m²,12.000 TL
Meram - Alakova Mahallesi,Daire | 2+1 | Yüksek giriş | 105 m²,16.000 TL
Karatay - Akabe Mahallesi,Daire | 3+1 | 2. Kat | 145 m²,24.000 TL
Selçuklu - Binkonutlar Mahallesi,Daire | 2+1 | 3. Kat | 135 m²,15.500 TL
Selçuklu - Sancak Mahallesi,Daire | 3+1 | 4. Kat | 170 m²,25.000 TL
Selçuklu - Hocacihan Mahallesi,Daire | 3+1 | Yüksek giriş | 150 m²,32.000 TL
Selçuklu - Sancak Mahallesi,Daire | 1+1 | Bahçe katı | 75 m²,14.000 TL
Beyşehir - Dalyan Mahallesi,Daire | 2+1 | 4. Kat | 100 m²,10.000 TL
Selçuklu - Selahaddin Eyyubi Mahallesi,Daire | 2+1 | 3. Kat | 100 m²,21.000 TL
Selçuklu - Beyhekim Mahallesi,Daire | 3+1 | 1. Kat | 170 m²,36.000 TL
Meram - Köyceğiz Mahallesi,Daire | 2+1 | 1. Kat | 100 m²,30.000 TL
Selçuklu - Kosova Mahallesi,Daire | 1+1 | 3. Kat | 55 m²,15.000 TL
Selçuklu - Kosova Mahallesi,Daire | 3+1 | Yüksek giriş | 110 m²,20.000 TL
Karatay - Çimenlik Mahallesi,Daire | 3+1 | 11. Kat | 165 m²,30.000 TL
Selçuklu - Yazır Mahallesi,Daire | 3.5+1 | 5. Kat | 160 m²,35.000 TL
Selçuklu - İhsaniye Mahallesi,Daire | 3+1 | 3. Kat | 135 m²,18.000 TL
Akşehir - Yarenler Mahallesi,Daire | 1+1 | 5. Kat | 47 m²,19.000 TL
Meram - Aşkan Mahallesi,Daire | 2+1 | 2. Kat | 115 m²,26.000 TL
Selçuklu - Yazır Mahallesi,Daire | 3+1 | Yüksek giriş | 140 m²,24.000 TL
Selçuklu - Kosova Mahallesi,Daire | 2+1 | 2. Kat | 115 m²,25.000 TL
Karatay - Keçeciler Mahallesi,Daire | 3+1 | 2. Kat | 175 m²,21.000 TL
Selçuklu - Kosova Mahallesi,Daire | 3+1 | Yüksek giriş | 160 m²,23.000 TL
Selçuklu - Akademi Mahallesi,Daire | 2+1 | Yüksek giriş | 95 m²,17.500 TL
Selçuklu - Kosova Mahallesi,Daire | 2+1 | Yüksek giriş | 105 m²,18.000 TL
Selçuklu - Parsana Mahallesi,Daire | 3+1 | 5. Kat | 165 m²,26.000 TL
Selçuklu - Mehmet Akif Mahallesi,Daire | 3+1 | 1. Kat | 160 m²,26.000 TL
Seydişehir - Sofuhane Mahallesi,Daire | 3+1 | 1. Kat | 145 m²,15.000 TL
Selçuklu - Şeyh Şamil Mahallesi,Daire | 3+1 | 5. Kat | 135 m²,17.000 TL
Meram - Konevi Mahallesi,Daire | 5+2 | 3. Kat | 300 m²,35.000 TL
Selçuklu - Yazır Mahallesi,Daire | 3+1 | 4. Kat | 160 m²,37.000 TL
Selçuklu - İhsaniye Mahallesi,Daire | 2+1 | 6. Kat | 120 m²,16.000 TL
Meram - Aşkan Mahallesi,Daire | 2+1 | 2. Kat | 120 m²,20.000 TL
Meram - Aşkan Mahallesi,Daire | 1+1 | 2. Kat | 95 m²,23.000 TL
Akşehir - Gazi Mahallesi,Daire | 3+1 | 2. Kat | 175 m²,24.500 TL
Selçuklu - Nişantaş Mahallesi,Daire | 2+1 | 4. Kat | 110 m²,14.500 TL
Selçuklu - Akşemsettin Mahallesi,Daire | 2+1 | Yüksek giriş | 110 m²,20.000 TL
Selçuklu - Bosna Hersek Mahallesi,Daire | 2+1 | 3. Kat | 110 m²,16.000 TL
Selçuklu - Yazır Mahallesi,Daire | 2+1 | 5. Kat | 110 m²,21.000 TL
Selçuklu - Yazır Mahallesi,Daire | 2+1 | Yüksek giriş | 140 m²,27.500 TL
Selçuklu - Yazır Mahallesi,Daire | 2+1 | 3. Kat | 140 m²,32.000 TL
Selçuklu - Fatih Mahallesi,Daire | 3+1 | 3. Kat | 115 m²,17.000 TL
Meram - Osman Gazi Mahallesi,Daire | 4+1 | 2. Kat | 210 m²,38.000 TL
Selçuklu - Feritpaşa Mahallesi,Daire | 3+1 | 2. Kat | 145 m²,22.000 TL
Selçuklu - Aydınlıkevler Mahallesi,Daire | 3+1 | Yüksek giriş | 120 m²,15.000 TL
Selçuklu - Yazır Mahallesi,Daire | 2+1 | Yüksek giriş | 140 m²,27.500 TL
Akşehir - İstasyon Mahallesi,Daire | 2+0 | 3. Kat | 105 m²,25.000 TL
Selçuklu - Akşemsettin Mahallesi,Daire | 3+1 | 3. Kat | 135 m²,19.000 TL
Selçuklu - Beyhekim Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 110 m²,25.000 TL
Selçuklu - Kosova Mahallesi,Daire | 2+1 | Yüksek giriş | 120 m²,21.000 TL
Selçuklu - Erenköy Mahallesi,Daire | 3+1 | 1. Kat | 145 m²,21.500 TL
Akşehir - İstasyon Mahallesi,Daire | 2+1 | 3. Kat | 125 m²,10.000 TL
Selçuklu - Kosova Mahallesi,Daire | 1+1 | 2. Kat | 80 m²,18.000 TL
Akşehir - Altunkalem Mahallesi,Daire | 2+1 | 4. Kat | 115 m²,20.000 TL
Selçuklu - Bosna Hersek Mahallesi,Daire | 2+1 | 4. Kat | 80 m²,21.500 TL
Akşehir - Yarenler Mahallesi,Daire | 1+1 | 4. Kat | 55 m²,19.000 TL
Karapınar - Sandıklı Mahallesi,Daire | 1+1 | 3. Kat | 65 m²,13.000 TL
Akşehir - Yeni Mahallesi,Daire | 3+1 | 4. Kat | 155 m²,11.500 TL13.000 TL
Selçuklu - Feritpaşa Mahallesi,Daire | 2+1 | 7. Kat | 120 m²,18.000 TL20.000 TL
Selçuklu - Feritpaşa Mahallesi,Daire | 3+1 | 7. Kat | 150 m²,25.000 TL
Akşehir - Yeni Mahallesi,Daire | 3+1 | 2. Kat | 155 m²,23.000 TL
Selçuklu - Selahaddin Eyyubi Mahallesi,Daire | 3+1 | 3. Kat | 125 m²,25.000 TL
Selçuklu - Bosna Hersek Mahallesi,Daire | 3+1 | Düz Giriş (Zemin) | 125 m²,15.000 TL
Selçuklu - Bosna Hersek Mahallesi,Daire | 2+1 | 8. Kat | 110 m²,18.500 TL
Selçuklu - Yazır Mahallesi,Daire | 2+1 | 2. Kat | 110 m²,25.500 TL
Selçuklu - Bosna Hersek Mahallesi,Daire | 3+1 | Düz Giriş (Zemin) | 120 m²,32.000 TL
Selçuklu - Bosna Hersek Mahallesi,Daire | 2+1 | 3. Kat | 110 m²,21.000 TL
Karatay - Gaziosmanpaşa Mahallesi,Daire | 3+1 | 4. Kat | 150 m²,25.000 TL
Selçuklu - Feritpaşa Mahallesi,Daire | 4.5+1 | 2. Kat | 220 m²,40.000 TL
Akşehir - Kozağaç Mahallesi,Daire | 2+1 | 1. Kat | 115 m²,13.000 TL
Selçuklu - Beyhekim Mahallesi,Daire | 1+1 | 3. Kat | 90 m²,19.300 TL
Akşehir - Seyran Mahallesi,Daire | 1+1 | 3. Kat | 48 m²,17.000 TL
Akşehir - Altunkalem Mahallesi,Daire | 3+1 | 5. Kat | 139 m²,15.000 TL
Akşehir - Yeni Mahallesi,Daire | 2+1 | 2. Kat | 140 m²,12.000 TL
Beyşehir - Beytepe Mahallesi,Daire | 3+1 | 2. Kat | 120 m²,14.000 TL15.000 TL
Selçuklu - Feritpaşa Mahallesi,Daire | 3+1 | 3. Kat | 180 m²,26.000 TL
Meram - Aydoğdu Mahallesi,Daire | 2+1 | Yüksek giriş | 120 m²,19.000 TL
Selçuklu - Bosna Hersek Mahallesi,Daire | 3+1 | 3. Kat | 150 m²,13.000 TL
Selçuklu - Bosna Hersek Mahallesi,Daire | 2+1 | 1. Kat | 125 m²,16.000 TL
Selçuklu - Kosova Mahallesi,Daire | 2+1 | 2. Kat | 110 m²,20.000 TL
Akşehir - Kileci Mahallesi,Daire | 3+1 | 3. Kat | 155 m²,14.000 TL
Meram - Havzan Mahallesi,Daire | 4+1 | 6. Kat | 210 m²,29.500 TL
Akşehir - Yarenler Mahallesi,Daire | 3+1 | 2. Kat | 180 m²,25.000 TL
Selçuklu - Selahaddin Eyyubi Mahallesi,Daire | 2+1 | 4. Kat | 120 m²,13.000 TL
Selçuklu - Bosna Hersek Mahallesi,Daire | 3+1 | Yüksek giriş | 120 m²,18.000 TL
Selçuklu - Şeyh Şamil Mahallesi,Daire | 4+1 | 2. Kat | 180 m²,30.000 TL
Akşehir - Yeni Mahallesi,Daire | 3+1 | 2. Kat | 180 m²,25.000 TL
Akşehir - Yeni Mahallesi,Daire | 4+1 | 3. Kat | 205 m²,21.000 TL
Selçuklu - Şeker Mahallesi,Daire | 4+1 | 7. Kat | 215 m²,35.500 TL
Seydişehir - Yeni Cami Mahallesi,Daire | 3+1 | 1. Kat | 110 m²,13.000 TL
