location,information,sales_price
Erdemli - Çeşmeli Mahallesi,Daire | 3+1 | 5. Kat | 185 m²,8.000 TL
Mezitli - Eski Mezitli Mahallesi,Daire | 2+1 | 3. Kat | 140 m²,20.000 TL
Yenişehir - Akkent Mahallesi,Daire | 3+1 | 5. Kat | 165 m²,20.000 TL
Mezitli - Deniz Mahallesi,Daire | 3+1 | 8. Kat | 150 m²,25.000 TL
Mezitli - Deniz Mahallesi,Daire | 2.5+1 | 1. Kat | 130 m²,32.000 TL
Yenişehir - Aydınlıkevler Mahallesi,Daire | Stüdyo | 2. Kat | 65 m²,22.000 TL
Yenişehir - Çiftlikköy Mahallesi,Daire | 1+1 | 10. Kat | 65 m²,18.500 TL
Erdemli - Tömük Mahallesi,Daire | 2.5+1 | 1. Kat | 125 m²,5.500 TL
Erdemli - Arpaçbahşiş Mahallesi,Daire | 2+1 | 2. Kat | 115 m²,13.500 TL
Mezitli - Yeni Mahallesi,Daire | 3+1 | 2. Kat | 180 m²,20.000 TL
Mezitli - Akdeniz Mahallesi,Daire | 4+1 | 11. Kat | 220 m²,35.000 TL
Tarsus - Kırklarsırtı Mahallesi,Daire | 2+1 | Müstakil | 100 m²,11.000 TL
Mezitli - Merkez Mahallesi,Daire | 3+1 | 9. Kat | 200 m²,25.000 TL
Mezitli - İstiklal Mahallesi,Daire | 3+1 | 6. Kat | 165 m²,17.000 TL
Mezitli - Viranşehir Mahallesi,Daire | 3+1 | 7. Kat | 185 m²,25.000 TL
Erdemli - Alata Mahallesi,Daire | 1+1 | 4. Kat | 65 m²,20.000 TL
Yenişehir - Çiftlikköy Mahallesi,Daire | 1+1 | Yüksek giriş | 70 m²,16.000 TL
Yenişehir - Barbaros Mahallesi,Daire | 2+1 | 1. Kat | 75 m²,21.500 TL
Yenişehir - Deniz Mahallesi,Daire | 4+1 | 10. Kat | 200 m²,80.000 TL
Mezitli - Esenbağlar Mahallesi,Daire | 2+1 | 2. Kat | 95 m²,18.000 TL
Mezitli - Deniz Mahallesi,Daire | 2+1 | 2. Kat | 120 m²,33.000 TL
Yenişehir - Kuzeykent Mahallesi,Daire | 1+1 | 10. Kat | 75 m²,22.000 TL
Mezitli - 75. Yıl Mahallesi,Daire | 4+1 | Düz Giriş (Zemin) | 180 m²,40.000 TL
Mezitli - Hürriyet Mahallesi,Daire | 1+1 | 8. Kat | 82 m²,20.000 TL
Yenişehir - Çiftlikköy Mahallesi,Daire | 1+1 | 2. Kat | 65 m²,15.000 TL
Yenişehir - Çiftlikköy Mahallesi,Daire | 1+1 | 9. Kat | 65 m²,17.500 TL
Mezitli - 75. Yıl Mahallesi,Daire | 1+1 | 5. Kat | 60 m²,13.500 TL
Yenişehir - Bahçelievler Mahallesi,Daire | 3+1 | 2. Kat | 120 m²,20.000 TL
Erdemli - Çeşmeli Mahallesi,Daire | 3+1 | Bahçe dublex | 200 m²,395.000 TL
