location,information,sales_price
Bodrum - Müskebi Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 80 m²,20.000 TL
Bodrum - Yakaköy Mahallesi,Daire | 1+1 | Düz Giriş (Zemin) | 60 m²,17.000 TL
Bodrum - Peksimet Mahallesi,Daire | 3+1 | 3. Kat | 110 m²,30.000 TL
Bodrum - Mumcular Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,13.000 TL
Bodrum - Karaova Mahallesi,Daire | 2+1 | 2. Kat | 80 m²,18.000 TL
Bodrum - Turgutreis Mahallesi,Daire | 2+1 | 1. Kat | 100 m²,45.000 TL
Marmaris - Sarıana Mahallesi,Daire | Stüdyo | Bahçe katı | 35 m²,16.000 TL
Milas - Güllük Mahallesi,Daire | 4+1 | Villa tipi | 250 m²,140.000 TL
Yatağan - Cumhuriyet Mahallesi,Daire | 2+1 | Çatı katı | 110 m²,19.000 TL
Bodrum - Karabağ Mahallesi,Daire | 4+1 | Villa tipi | 270 m²,65.000 TL
Ula - Köprübaşı Mahallesi,Daire | 2+1 | 2. Kat | 90 m²,22.000 TL
Bodrum - Karaova Mahallesi,Daire | 1+1 | 2. Kat | 56 m²,18.000 TL
Yatağan - Yeni Mahallesi,Daire | 3+1 | 1. Kat | 135 m²,22.000 TL
Bodrum - Eskiçeşme Mahallesi,Daire | Stüdyo | Kot 1 (-1). Kat | 60 m²,35.000 TL
Bodrum - Eskiçeşme Mahallesi,Daire | Stüdyo | Kot 1 (-1). Kat | 60 m²,30.000 TL
Dalaman - Karaçalı Mahallesi,Daire | 1+1 | 1. Kat | 250 m²,15.000 TL
Marmaris - Çıldır Mahallesi,Daire | 1.5+1 | 1. Kat | 46 m²,25.000 TL
Fethiye - Tuzla Mahallesi,Daire | 3+1 | Çatı katı | 120 m²,20.000 TL
Milas - İsmet Paşa Mahallesi,Daire | 3+1 | 3. Kat | 130 m²,25.000 TL
Fethiye - Taşyaka Mahallesi,Daire | 2+1 | 1. Kat | 90 m²,23.000 TL
Fethiye - Pazaryeri Mahallesi,Daire | 1+1 | 1. Kat | 70 m²,20.000 TL
Yatağan - Madenler Mahallesi,Daire | 2+1 | 4. Kat | 90 m²,15.000 TL
Dalaman - Merkez Mahallesi,Daire | 2+1 | 2. Kat | 105 m²,20.000 TL
Bodrum - Akçaalan Mahallesi,Daire | 2+1 | Bahçe katı | 90 m²,28.000 TL
Köyceğiz - Gülpınar Mahallesi,Daire | 3+1 | Düz Giriş (Zemin) | 130 m²,30.000 TL
Bodrum - Kumbahçe Mahallesi,Daire | 3+1 | Düz Giriş (Zemin) | 150 m²,70.000 TL
Datça - İskele Mahallesi,Daire | 2+1 | 2. Kat | 110 m²,30.000 TL
Menteşe - Emirbeyazıt Mahallesi,Daire | Stüdyo | Bodrum Kat | 30 m²,11.000 TL
Fethiye - Patlangıç Mahallesi,Daire | 1+1 | 2. Kat | 65 m²,21.000 TL
Marmaris - Çıldır Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 100 m²,25.000 TL
Marmaris - Armutalan Mahallesi,Daire | 2+1 | 1. Kat | 110 m²,35.000 TL
