location,information,sales_price
Karasu - İncilli Mahallesi,Daire | 3+1 | 1. Kat | 125 m²,16.000 TL
Adapazarı - Yeni Cami Mahallesi,Daire | 1+1 | 3. Kat | 105 m²,16.500 TL
Adapazarı - Cumhuriyet Mahallesi,Daire | 4+1 | 4. Kat | 145 m²,15.500 TL
Adapazarı - Korucuk Mahallesi,Daire | 2+1 | 3. Kat | 75 m²,10.000 TL
Adapazarı - Korucuk Mahallesi,Daire | 1+1 | 4. Kat | 55 m²,11.000 TL
Arifiye - Arifbey Mahallesi,Daire | 3+1 | 4. Kat | 135 m²,15.000 TL
Erenler - Erenler Mahallesi,Daire | 2+1 | 2. Kat | 95 m²,23.000 TL
Adapazarı - Korucuk Mahallesi,Daire | 3+1 | 2. Kat | 140 m²,22.000 TL
Sapanca - Rüstempasa Mahallesi,Daire | 3+1 | 1. Kat | 130 m²,20.000 TL
Erenler - Dilmen Mahallesi,Daire | 4+1 | 2. Kat | 175 m²,18.000 TL
Hendek - Yeni Mahallesi,Daire | 2+1 | 2. Kat | 120 m²,25.000 TL
Adapazarı - Akıncılar Mahallesi,Daire | 3+1 | 5. Kat | 125 m²,14.000 TL
Adapazarı - 15 Temmuz Camili Mahallesi,Daire | 3+1 | 1. Kat | 152 m²,21.000 TL
Adapazarı - İstiklal Mahallesi,Daire | 1+1 | 1. Kat | 88 m²,15.000 TL
Adapazarı - 15 Temmuz Camili Mahallesi,Daire | 2+1 | 3. Kat | 105 m²,15.000 TL
Serdivan - İstiklal Mahallesi,Daire | 3+1 | 3. Kat | 70 m²,25.000 TL
Adapazarı - Semerciler Mahallesi,Daire | 1 Oda | 2. Kat | 35 m²,5.000 TL
Adapazarı - Semerciler Mahallesi,Daire | 1 Oda | 2. Kat | 35 m²,3.500 TL
Adapazarı - Semerciler Mahallesi,Daire | 1 Oda | 2. Kat | 35 m²,5.000 TL
Adapazarı - Semerciler Mahallesi,Daire | 1 Oda | 2. Kat | 35 m²,3.500 TL
Adapazarı - Semerciler Mahallesi,Daire | 1 Oda | 2. Kat | 30 m²,4.500 TL
Adapazarı - Semerciler Mahallesi,Daire | 1 Oda | 2. Kat | 35 m²,5.000 TL
Adapazarı - Semerciler Mahallesi,Daire | 1 Oda | 2. Kat | 35 m²,5.000 TL
Adapazarı - Semerciler Mahallesi,Daire | 1 Oda | 2. Kat | 35 m²,3.500 TL
Adapazarı - Semerciler Mahallesi,Daire | 1 Oda | 2. Kat | 35 m²,4.500 TL
Adapazarı - Semerciler Mahallesi,Daire | 1 Oda | 2. Kat | 35 m²,5.000 TL
Adapazarı - Semerciler Mahallesi,Daire | 1 Oda | 2. Kat | 35 m²,3.500 TL
Adapazarı - Semerciler Mahallesi,Daire | 1 Oda | 2. Kat | 35 m²,4.500 TL
Adapazarı - Semerciler Mahallesi,Daire | 1 Oda | 2. Kat | 35 m²,5.000 TL
Adapazarı - Semerciler Mahallesi,Daire | 1 Oda | 2. Kat | 35 m²,3.500 TL
Adapazarı - Semerciler Mahallesi,Daire | 1 Oda | 2. Kat | 35 m²,3.000 TL
Adapazarı - Semerciler Mahallesi,Daire | 1 Oda | 2. Kat | 35 m²,3.500 TL
Adapazarı - Semerciler Mahallesi,Daire | 1 Oda | 2. Kat | 35 m²,3.500 TL
Adapazarı - Semerciler Mahallesi,Daire | 1 Oda | 2. Kat | 35 m²,5.000 TL
Adapazarı - Semerciler Mahallesi,Daire | 1 Oda | 2. Kat | 35 m²,5.000 TL
Adapazarı - Semerciler Mahallesi,Daire | 1 Oda | 2. Kat | 35 m²,4.500 TL
Adapazarı - Semerciler Mahallesi,Daire | 1 Oda | 2. Kat | 35 m²,3.500 TL
Adapazarı - Semerciler Mahallesi,Daire | 1 Oda | 2. Kat | 35 m²,5.000 TL
Adapazarı - Semerciler Mahallesi,Daire | 1 Oda | 2. Kat | 35 m²,4.500 TL
Adapazarı - Semerciler Mahallesi,Daire | 1 Oda | 2. Kat | 35 m²,5.000 TL
Adapazarı - Semerciler Mahallesi,Daire | 1 Oda | 2. Kat | 35 m²,4.500 TL
Adapazarı - Semerciler Mahallesi,Daire | 1 Oda | 2. Kat | 35 m²,4.000 TL
Serdivan - Kemalpaşa Mahallesi,Daire | 2+1 | 3. Kat | 75 m²,18.000 TL
Adapazarı - Semerciler Mahallesi,Daire | 2+1 | 2. Kat | 90 m²,19.000 TL
Erenler - Küpçüler Mahallesi,Daire | 2+1 | 3. Kat | 97 m²,20.000 TL
