location,information,sales_price
Canik - Gaziosmanpaşa Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 90 m²,10.000 TL
19 Mayıs - Dereköy Mahallesi,Daire | 2+1 | Yüksek giriş | 90 m²,28.000 TL
İlkadım - Hürriyet Mahallesi,Daire | 3+1 | 3. Kat | 220 m²,13.000 TL
Bafra - Çilhane Mahallesi,Daire | 3+1 | 5. Kat | 140 m²,17.000 TL
Atakum - Körfez Mahallesi,Daire | 1+1 | 2. Kat | 50 m²,12.000 TL
İlkadım - Fevzi Çakmak Mahallesi,Daire | 2+1 | 5. Kat | 90 m²,10.000 TL
İlkadım - Kadıköy Mahallesi,Daire | 3+1 | 8. Kat | 145 m²,25.000 TL
Atakum - Atakent Mahallesi,Daire | 3+1 | 2. Kat | 140 m²,30.000 TL
Atakum - Cumhuriyet Mahallesi,Daire | 3+1 | 5. Kat | 130 m²,18.500 TL
Atakum - Körfez Mahallesi,Daire | 1+1 | 6. Kat | 60 m²,20.000 TL
Atakum - Mevlana Mahallesi,Daire | 1+1 | 2. Kat | 60 m²,13.500 TL
Atakum - Körfez Mahallesi,Daire | 1+1 | 2. Kat | 60 m²,13.000 TL
İlkadım - Zeytinlik Mahallesi,Daire | 2+1 | 4. Kat | 100 m²,10.000 TL
Atakum - Körfez Mahallesi,Daire | 1+1 | 2. Kat | 75 m²,14.000 TL
Atakum - Körfez Mahallesi,Daire | 3+1 | 3. Kat | 165 m²,25.000 TL
İlkadım - Çiftlik Mahallesi,Daire | 3+1 | 4. Kat | 130 m²,15.000 TL16.000 TL
Atakum - Atakent Mahallesi,Daire | 3+1 | 3. Kat | 155 m²,25.000 TL
Atakum - Yenimahalle Mahallesi,Daire | 1+1 | 4. Kat | 55 m²,15.500 TL
Atakum - Atakent Mahallesi,Daire | 2+1 | 4. Kat | 115 m²,22.000 TL
Atakum - Cumhuriyet Mahallesi,Daire | 3+1 | 4. Kat | 135 m²,25.000 TL
Atakum - Körfez Mahallesi,Daire | 1+1 | 5. Kat | 55 m²,15.500 TL
Atakum - Körfez Mahallesi,Daire | 1+1 | Düz Giriş (Zemin) | 55 m²,13.000 TL
Canik - Teknepınar Mahallesi,Daire | 2+1 | 5. Kat | 115 m²,15.000 TL
