location,information,sales_price
Karaköprü - Doğukent Mahallesi,Daire | 2+1 | 6. Kat | 120 m²,15.000 TL
Karaköprü - Seyrantepe Mahallesi,Daire | 2+0 | Düz Giriş (Zemin) | 75 m²,8.000 TL
Karaköprü - Doğukent Mahallesi,Daire | 2+1 | 1. Kat | 100 m²,18.000 TL
Karaköprü - Akpıyar Mahallesi,Daire | 4+1 | 2. Kat | 210 m²,31.000 TL
Karaköprü - Seyrantepe Mahallesi,Daire | 2+1 | 5. Kat | 80 m²,15.000 TL
Karaköprü - Mehmetçik Mahallesi,Daire | 1+1 | 2. Kat | 60 m²,11.000 TL
Karaköprü - Seyrantepe Mahallesi,Daire | 1+1 | 2. Kat | 75 m²,15.000 TL
Haliliye - Veysel Karani Mahallesi,Daire | 1+1 | Düz Giriş (Zemin) | 60 m²,12.000 TL
Karaköprü - Doğukent Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,14.500 TL
Haliliye - Mimar Sinan Mahallesi,Daire | 3+1 | 5. Kat | 185 m²,11.500 TL
Karaköprü - Narlıkuyu Mahallesi,Daire | 1+1 | 8. Kat | 55 m²,17.500 TL
Karaköprü - Akpıyar Mahallesi,Daire | 4+1 | 1. Kat | 190 m²,27.000 TL
Haliliye - Şair Nabi Mahallesi,Daire | 4+1 | 4. Kat | 170 m²,14.000 TL
Karaköprü - Seyrantepe Mahallesi,Daire | 1+1 | 2. Kat | 60 m²,13.500 TL
Karaköprü - Atakent Mahallesi,Daire | 1+1 | Düz Giriş (Zemin) | 80 m²,15.000 TL
Karaköprü - Akbayır Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 125 m²,14.500 TL
Karaköprü - Atakent Mahallesi,Daire | 2+1 | 8. Kat | 110 m²,17.500 TL
Karaköprü - Batıkent Mahallesi,Daire | 3+1 | 5. Kat | 160 m²,25.000 TL
Karaköprü - Seyrantepe Mahallesi,Daire | 2+1 | 3. Kat | 110 m²,14.000 TL
Karaköprü - Seyrantepe Mahallesi,Daire | 2+0 | 4. Kat | 75 m²,16.500 TL
Haliliye - Sırrın Mahallesi,Daire | 2+1 | 8. Kat | 90 m²,13.250 TL
Karaköprü - Seyrantepe Mahallesi,Daire | 2+1 | 1. Kat | 115 m²,18.000 TL
Haliliye - Veysel Karani Mahallesi,Daire | 1 Oda | Düz Giriş (Zemin) | 30 m²,8.000 TL
Haliliye - Bahçelievler Mahallesi,Daire | 2+1 | 5. Kat | 130 m²,6.500 TL
Karaköprü - Batıkent Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,14.750 TL
Karaköprü - Batıkent Mahallesi,Daire | 1+1 | 1. Kat | 60 m²,8.500 TL
Karaköprü - Narlıkuyu Mahallesi,Daire | 2+1 | 2. Kat | 110 m²,16.000 TL
Haliliye - Ertuğrul Gazi Mahallesi,Daire | 3+1 | 2. Kat | 190 m²,18.500 TL
Haliliye - Sırrın Mahallesi,Daire | 1+1 | 4. Kat | 50 m²,13.000 TL
Haliliye - Ulubatlı Mahallesi,Daire | 2+1 | 5. Kat | 165 m²,12.500 TL
Haliliye - Ulubatlı Mahallesi,Daire | 2+1 | 5. Kat | 165 m²,12.500 TL
