konut_tipi,oda_sayisi,kat,metrekare,il,ilce,fiyat
Daire,1+1,4,70,İstanbul,Beyoğlu,17000
Daire,1 Oda,3,45,Ankara,Çankaya,25000 29000
Daire,2+1,3,110,Samsun,Atakum,23000
Daire,2+0,2,75,İzmir,Buca,15000
Daire,1+1,4,70,İstanbul,Arnavutköy,16000
Daire,1+1,3,40,Hatay,İskenderun,15000
Daire,2+1,9,95,İstanbul,Tuzla,28500 32500
Daire,1 Oda,2,55,Muğla,Bodrum,35000
Daire,1+1,2,50,Edirne,Edirne Merkez,13000
Daire,2+1,3,110,Adana,Seyhan,10000
Daire,3+1,3,120,Ankara,Keçiören,25000
Daire,4+1,3,130,İstanbul,Sultangazi,27000
Daire,2+1,2,100,Tekirdağ,Kapaklı,15000
Daire,1+1,7,50,İzmir,Çiğli,24000
Daire,3+1,6,120,İstanbul,Sultangazi,28000
Daire,1+1,3,60,Eskişehir,Tepebaşı,15000
Daire,1+1,3,60,Tekirdağ,Süleymanpaşa,16000
Daire,3+1,Yüksek giriş,120,Kırşehir,Kırşehir Merkez,15000
Daire,1+1,2,48,Denizli,Pamukkale,10000
Daire,3+1,3,140,Samsun,İlkadım,15000
Daire,2+1,4,90,Diyarbakır,Kayapınar,26000
Daire,Stüdyo,Çatı katı,55,Samsun,İlkadım,8000
Daire,2+1,3,100,İstanbul,Sultangazi,21000
Daire,2+1,Düz Giriş (Zemin),120,Samsun,Canik,20000
Daire,2+1,1,110,Mersin,Toroslar,15000
Daire,3+1,Çatı katı,125,Kocaeli,Başiskele,26500
Daire,3+1,4,140,İstanbul,Ümraniye,37000
Daire,1+1,3,70,Muğla,Fethiye,25000
Daire,Stüdyo,6,55,Samsun,İlkadım,8000
Daire,3+1,5,220,Manisa,Şehzadeler,35000
Daire,3+1,6,120,İstanbul,Sultangazi,28000
Daire,1+1,3,60,Eskişehir,Tepebaşı,15000
Daire,1+1,3,60,Tekirdağ,Süleymanpaşa,16000
Daire,3+1,Yüksek giriş,120,Kırşehir,Kırşehir Merkez,15000
Daire,1+1,2,48,Denizli,Pamukkale,10000
Daire,3+1,3,140,Samsun,İlkadım,15000
Daire,2+1,4,90,Diyarbakır,Kayapınar,26000
Daire,Stüdyo,Çatı katı,55,Samsun,İlkadım,8000
Daire,2+1,3,100,İstanbul,Sultangazi,21000
Daire,2+1,Düz Giriş (Zemin),120,Samsun,Canik,20000
Daire,2+1,1,110,Mersin,Toroslar,15000
Daire,3+1,Çatı katı,125,Kocaeli,Başiskele,26500
Daire,3+1,4,140,İstanbul,Ümraniye,37000
Daire,1+1,3,70,Muğla,Fethiye,25000
Daire,Stüdyo,6,55,Samsun,İlkadım,8000
Daire,3+1,5,220,Manisa,Şehzadeler,35000
Daire,2+1,2,90,Muğla,Bodrum,32500
Daire,2+1,4,80,İstanbul,Ataşehir,24000
Daire,2+1,3,85,Antalya,Alanya,24000
Daire,1+1,Yüksek giriş,60,Adana,Çukurova,12000
Daire,2+1,6,115,Samsun,İlkadım,11000
Daire,1+1,4,55,Mersin,Erdemli,13000
Daire,3+1,2,110,İstanbul,Tuzla,26000
Daire,3+1,1,105,Isparta,Isparta Merkez,15000
Daire,1+1,Yüksek giriş,77,Niğde,Niğde Merkez,20000
Daire,1+1,Bodrum,55,İstanbul,Fatih,16000
Daire,2+1,Kot 1 (-1),130,Balıkesir,Bandırma,21000
Daire,2+1,4,120,Kırklareli,Lüleburgaz,20000
Daire,2+2,Yüksek giriş,125,Samsun,İlkadım,15000
Daire,3+1,2,145,İzmir,Bergama,20000
Daire,1+1,4,60,İzmir,Bornova,30000
Daire,3+1,4,100,Aydın,Efeler,10000
Daire,3+1,Bahçe katı,120,İstanbul,Maltepe,30000
Daire,2+1,Düz Giriş (Zemin),90,Mersin,Yenişehir,25000
Daire,1+1,2,60,İzmir,Bornova,35000
Daire,2+1,1,110,Kocaeli,Kartepe,12000
Daire,3+1,1,135,Bolu,Bolu Merkez,28000
Daire,3+1,2,160,Aydın,Nazilli,15000
Daire,3+1,16,137,İstanbul,Kartal,50000
Daire,2+1,5,100,Ankara,Sincan,24000
Daire,1+1,Kot 1 (-1),90,Ankara,Keçiören,21000
Daire,1+1,Bahçe katı,125,Samsun,Atakum,40000
Daire,3+1,1,115,Eskişehir,Tepebaşı,23750
Daire,2+1,5,90,Balıkesir,Karesi,18000
Daire,2+1,2,90,Balıkesir,Karesi,21500
Daire,2+1,Yüksek giriş,79,İstanbul,Gaziosmanpaşa,26000
Daire,2+1,Yüksek giriş,90,İstanbul,Kadıköy,34000
Daire,1+1,2,50,Muğla,Menteşe,21000
Daire,2+0,4,60,Aydın,Efeler,23000
Daire,2+1,Düz Giriş (Zemin),95,İstanbul,Küçükçekmece,15000
Daire,3+1,Kot 2 (-2),145,Niğde,Niğde Merkez,26500
Daire,1 Oda,2,45,Adana,Seyhan,9500
