İlan Numarası,İlan Oluşturma Tarihi,İlan Güncelleme Tarihi,Türü,Kategorisi,Tipi,Net Metrekare,Brüt Metrekare,Oda Sayısı,Binanın Yaşı,Bulunduğu Kat,Binanın Kat Sayısı,Isıtma Tipi,Kullanım Durumu,Eşya Durumu,Tapu Durumu,Site İçerisinde,Takas,Banyo Sayısı,Fiyat Durumu,fiyat,konum,URL,Yapı Durumu,Yapı Tipi,Banyo Metrekare,Balkon Durumu,Balkon Sayısı,Balkon Tipi,Balkon Metrekare,Salon Metrekare,WC Sayısı,WC Metrekare,Görüntülü Gezilebilir mi?,Ada,Parsel,Depozito,Aidat
17788170,09 Ağustos 2025,09 Ağustos 2025,Konut,Kiralık,Daire,90 m²,100 m²,3+1,21 Ve Üzeri,1.Kat,6,Sobalı,Mülk Sahibi Oturuyor,Eşyalı,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,15.000TL,Balıkesir - Bandırma - Paşabayır Mahallesi,https://www.emlakjet.com/ilan/bandirma-kilit-emlak-tan-pasabayir-da-31-esyali-kiralik-daire-17788170,,,,,,,,,,,,,,,
17776803,07 Ağustos 2025,07 Ağustos 2025,Konut,Kiralık,Daire,55 m²,60 m²,2+0,1,4.Kat,4,Kombi Doğalgaz,Boş,Boş,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,17.500TL,Balıkesir - Bandırma - Yeni Mahallesi,https://www.emlakjet.com/ilan/yeni-mahallede-20-dogalgaz-kombili-kiralik-daire-17776803,,,,,,,,,,,,,,,
17788355,09 Ağustos 2025,09 Ağustos 2025,Konut,Kiralık,Daire,55 m²,68 m²,1+1,2,1.Kat,4,Kombi Doğalgaz,Boş,Boş,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,18.500TL,Balıkesir - Edremit - Altınkum Mahallesi,https://www.emlakjet.com/ilan/kostak-gayrimenkulden-altinkumda-lux-kullanisli-kiralik-11daire-17788355,,,,,,,,,,,,,,,
17790484,09 Ağustos 2025,09 Ağustos 2025,Konut,Kiralık,Daire,65 m²,70 m²,1+1,5-10,2.Kat,4,Kombi Doğalgaz,Boş,Eşyalı,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,19.000TL,Balıkesir - Altıeylül - Bahçelievler Mahallesi,https://www.emlakjet.com/ilan/balikesir-bahcelievler-demirdag-emlaktan-esyali-kiralik-ayri-mutfakli-ara-kat-11-daire-17790484,İkinci El,Betonarme,5 m²,Var,1,Kapalı Balkon,4 m²,22 m²,1,5 m²,Evet,8578,59,,
17777889,07 Ağustos 2025,07 Ağustos 2025,Konut,Kiralık,Daire,85 m²,157 m²,2+1,3,Bahçe Katı,3,Yerden Isıtma,Boş,,Kat Mülkiyeti,Hayır,,2,Genel Fiyat,40.000TL,Balıkesir - Edremit - Altınkum Mahallesi,https://www.emlakjet.com/ilan/altinkum-bahcelievler-sitesi-nde-bahce-kati-kiralik-21-daire-17777889,,,,,,,,,,,,2267,1,,
17776504,07 Ağustos 2025,07 Ağustos 2025,Konut,Kiralık,Daire,55 m²,60 m²,1+1,5-10,Kot 2 (-2).Kat,4,Kombi Doğalgaz,Boş,,Kat Mülkiyeti,Hayır,,1,Genel Fiyat,15.000TL,Balıkesir - Altıeylül - Dinkçiler Mahallesi,https://www.emlakjet.com/ilan/balikesir-nef-yaninda-5-yillik-asansorlu-nef-e-3-carsiya-10-dk-mesafede-11-genis-esyasiz-daire-17776504,,,,,,,,,,,,7969,19,,
17779970,08 Ağustos 2025,08 Ağustos 2025,Konut,Kiralık,Daire,130 m²,145 m²,3+1,11-15,Yüksek Giriş,5,Jeotermal,Boş,Eşyalı,Kat Mülkiyeti,Evet,,1,Genel Fiyat,30.000TL,Balıkesir - Edremit - Cennetayağı Mahallesi,https://www.emlakjet.com/ilan/cennetayagi-mahallesinde-full-esyali-kiralik-31-daire-17779970,İkinci El,Betonarme,10 m²,Var,2,Açık Balkon,10 m²,,2,,Evet,1190,17,,
17777670,07 Ağustos 2025,07 Ağustos 2025,Konut,Kiralık,Daire,80 m²,85 m²,2+1,0 (Yeni),4.Kat,4,Kombi Doğalgaz,Boş,,Kat Mülkiyeti,Hayır,,1,Genel Fiyat,20.000TL,Balıkesir - Burhaniye - Kocacami Mahallesi,https://www.emlakjet.com/ilan/on-emlak-tan-burhaniye-merkezde-kiralik-21-sifir-daire-17777670,,,,,,,,,,,,112,1,,
17781830,08 Ağustos 2025,22 Ağustos 2025,Konut,Kiralık,Daire,50 m²,55 m²,1+1,16-20,Bahçe Katı,3,Sobalı,Boş,Eşyalı,Kat İrtifakı,Hayır,,1,Genel Fiyat,15.000TL,Balıkesir - Marmara - Avşa Mahallesi,https://www.emlakjet.com/ilan/avsa-da-bahce-kati-yillik-kiralik-17781830,İkinci El,Betonarme,,Var,1,Açık Balkon,15 m²,,1,,,null,7661,20000 TL,
17778733,07 Ağustos 2025,07 Ağustos 2025,Konut,Kiralık,Daire,85 m²,95 m²,2+1,21 Ve Üzeri,2.Kat,4,Isıtma Yok,Boş,,Kat Mülkiyeti,Hayır,,1,Genel Fiyat,26.000TL,Balıkesir - Edremit - Akçay Mahallesi,https://www.emlakjet.com/ilan/akcay-kosemden-denize-200-metre-21-kiralik-daire-17778733,,,,,,,,,,,,55,132,,
