İlan Numarası,İlan Oluşturma Tarihi,İlan Güncelleme Tarihi,Türü,Kategorisi,Tipi,Net Metrekare,Brüt Metrekare,Oda Sayısı,Binanın Yaşı,Bulunduğu Kat,Binanın Kat Sayısı,Isıtma Tipi,Kullanım Durumu,Eşya Durumu,Tapu Durumu,Site İçerisinde,Takas,Banyo Sayısı,Fiyat Durumu,fiyat,konum,URL,Yapı Durumu,Yapı Tipi,Aidat,Ada,Parsel,Balkon Durumu,Balkon Sayısı,Balkon Tipi,WC Sayısı,Depozito,Görüntülü Gezilebilir mi?,Banyo Metrekare,Balkon Metrekare,Salon Metrekare,WC Metrekare
17898558,17 Ağustos 2025,22 Ağustos 2025,Konut,Kiralık,Daire,120 m²,130 m²,2+1,21 Ve Üzeri,3.Kat,3,Kombi Doğalgaz,Boş,Boş,Hisseli Tapu,Hayır,Yok,1,Genel Fiyat,14.000TL,Kocaeli - Kartepe - Maşukiye Mahallesi,https://www.emlakjet.com/ilan/kartepe-masukiye-merkez-de-muhtesem-konumda-kiralik-21-daire-17898558,,,,,,,,,,,,,,,
17902739,17 Ağustos 2025,21 Ağustos 2025,Konut,Kiralık,Daire,80 m²,100 m²,2+1,5-10,Düz Giriş (Zemin),3,Kombi Doğalgaz,Boş,Boş,Kat Mülkiyeti,Evet,Yok,1,Genel Fiyat,25.000TL,Kocaeli - İzmit - Yeni Mahallesi,https://www.emlakjet.com/ilan/kurucesme-radar-cad-yelken-tetra-sitesi-kiralik-21-daire-17902739,,,,,,,,,,,,,,,
17901935,17 Ağustos 2025,22 Ağustos 2025,Konut,Kiralık,Daire,110 m²,120 m²,3+1,16-20,4.Kat,4,Kombi Doğalgaz,Boş,Boş,Kat Mülkiyeti,Evet,Yok,1,Genel Fiyat,25.000TL,Kocaeli - Karamürsel - Kayacık Mahallesi,https://www.emlakjet.com/ilan/furkan-demir-den-karamursel-kayacik-iznik-yolu-31-kiralik-daire-17901935,,,,,,,,,,,,,,,
17898868,17 Ağustos 2025,21 Ağustos 2025,Konut,Kiralık,Daire,90 m²,100 m²,2+1,21 Ve Üzeri,Müstakil,1,Sobalı,Boş,Boş,Kat İrtifakı,Hayır,Yok,1,Genel Fiyat,11.000TL,Kocaeli - Gebze - Cumhuriyet Mahallesi,https://www.emlakjet.com/ilan/cumhuriyet-mah-sobali-mustakil-ev-17898868,,,,,,,,,,,,,,,
17906886,18 Ağustos 2025,22 Ağustos 2025,Konut,Kiralık,Daire,100 m²,130 m²,3+1,16-20,3.Kat,5,Kombi Doğalgaz,Boş,Boş,Kat Mülkiyeti,Evet,Yok,1,Genel Fiyat,31.000TL,Kocaeli - Derince - Yenikent Mahallesi,https://www.emlakjet.com/ilan/bariskent-te-arakat-31-ferah-kiralik-daire-17906886,,,,,,,,,,,,,,,
17902843,17 Ağustos 2025,22 Ağustos 2025,Konut,Kiralık,Daire,95 m²,100 m²,2+1,21 Ve Üzeri,Düz Giriş (Zemin),5,Kombi Doğalgaz,Boş,Boş,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,20.000TL,Kocaeli - Darıca - Yeni Mahallesi,https://www.emlakjet.com/ilan/yeni-mah-sahile-yurume-mesafesinde-kiralik-21-yuksek-giris-17902843,,,,,,,,,,,,,,,
17898689,17 Ağustos 2025,17 Ağustos 2025,Konut,Kiralık,Daire,75 m²,85 m²,2+1,0 (Yeni),4.Kat,4,Kombi Doğalgaz,Boş,,Kat İrtifakı,Hayır,Yok,1,Genel Fiyat,21.000TL,Kocaeli - Karamürsel - 4 Temmuz Mahallesi,https://www.emlakjet.com/ilan/kocaeli-karamursel-4-temmuzda-akcakoca-ihl-civari-muhtesem-manzarali-sifir-21-kiralik-dubleks-17898689,Sıfır,Betonarme,100 TL,,,,,,,,,,,,
17901296,17 Ağustos 2025,21 Ağustos 2025,Konut,Kiralık,Daire,120 m²,145 m²,3+1,11-15,Bahçe Katı,2,Kombi Doğalgaz,Boş,Boş,Kat İrtifakı,Evet,Yok,1,Genel Fiyat,35.000TL,Kocaeli - Gölcük - Topçular Mahallesi,https://www.emlakjet.com/ilan/topcular-mah-site-ici-kiralik-bahce-dubleks-17901296,,,,,,,,,,,,,,,
17907657,18 Ağustos 2025,22 Ağustos 2025,Konut,Kiralık,Daire,90 m²,103 m²,2+1,4,2.Kat,5,Kombi Doğalgaz,Boş,Boş,Kat Mülkiyeti,Evet,Yok,1,Genel Fiyat,30.500TL,Kocaeli - İzmit - Yeşilova Mahallesi,https://www.emlakjet.com/ilan/yesilova-vogue-sitesinde-havuz-manzarali-prestijli-21-kiralik-17907657,,,,,,,,,,,,,,,
17903811,17 Ağustos 2025,18 Ağustos 2025,Konut,Kiralık,Daire,120 m²,125 m²,3+1,16-20,1.Kat,3,Kombi Doğalgaz,Boş,Boş,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,35.000TL,Kocaeli - Gebze - Arapçeşme Mahallesi,https://www.emlakjet.com/ilan/sirketler-ve-iscilere-ozel-esyali-daire-17903811,,,,,,,,,,,,,,,
