İlan Numarası,İlan Oluşturma Tarihi,İlan Güncelleme Tarihi,Türü,Kategorisi,Tipi,Net Metrekare,Brüt Metrekare,Oda Sayısı,Binanın Yaşı,Bulunduğu Kat,Binanın Kat Sayısı,Isıtma Tipi,Kullanım Durumu,Eşya Durumu,Tapu Durumu,Site İçerisinde,Takas,Banyo Sayısı,Fiyat Durumu,fiyat,konum,URL,Yapı Durumu,Yapı Tipi,Aidat,Depozito,Ada,Parsel,Balkon Durumu,Balkon Sayısı,WC Sayısı,Görüntülü Gezilebilir mi?,Balkon Tipi,Balkon Metrekare,Banyo Metrekare,Salon Metrekare,WC Metrekare
17607397,06 Temmuz 2025,06 Temmuz 2025,Konut,Kiralık,Daire,90 m²,100 m²,2+1,4,2.Kat,3,Klimalı,Boş,Boş,Kat Mülkiyeti,Hayır,Yok,2,Genel Fiyat,25.000TL,Muğla - Fethiye - Pazaryeri Mahallesi,https://www.emlakjet.com/ilan/pazaryeri-mah-de-21-100m2-ara-kat-kiralik-daire-17607397,,,,,,,,,,,,,,,
17596055,04 Temmuz 2025,05 Ağustos 2025,Konut,Kiralık,Daire,100 m²,115 m²,2+1,4,2.Kat,2,Klimalı,Boş,Boş,Kat Mülkiyeti,Evet,Yok,2,Genel Fiyat,28.000TL,Muğla - Fethiye - Patlangıç Mahallesi,https://www.emlakjet.com/ilan/fethiye-patlangicta-21-dubleks-kiralik-daire-17596055,,,,,,,,,,,,,,,
17596030,04 Temmuz 2025,04 Temmuz 2025,Konut,Kiralık,Daire,140 m²,150 m²,4+1,16-20,2.Kat,3,Klimalı,Boş,Boş,Kat Mülkiyeti,Hayır,Yok,2,Genel Fiyat,40.000TL,Muğla - Fethiye - Babataşı Mahallesi,https://www.emlakjet.com/ilan/fethiye-babatasi-mahallesinde-kiralik-41-cati-dubleks-daire-17596030,,,,,,,,,,,,,,,
17590799,04 Temmuz 2025,28 Temmuz 2025,Konut,Kiralık,Daire,70 m²,75 m²,1+1,21 Ve Üzeri,2.Kat,4,Klimalı,Mülk Sahibi Oturuyor,Eşyalı,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,45.000TL,Muğla - Marmaris - Sarıana Mahallesi,https://www.emlakjet.com/ilan/deniz-manzarali-70-m-esyali-daire-17590799,,,,,,,,,,,,,,,
17599225,05 Temmuz 2025,10 Temmuz 2025,Konut,Kiralık,Daire,50 m²,55 m²,1+1,16-20,1.Kat,3,Klimalı,Boş,Eşyalı,Müstakil Tapulu,Hayır,Yok,1,Genel Fiyat,30.000TL,Muğla - Marmaris - Hatipirimi Mahallesi,https://www.emlakjet.com/ilan/sky-dan-guzel-konumda-bakimli-ve-yeni-aylik-odeme-kiralik-daire-17599225,,,,,,,,,,,,,,,
17602175,05 Temmuz 2025,01 Ağustos 2025,Konut,Kiralık,Daire,110 m²,120 m²,3+1,5-10,Düz Giriş (Zemin),3,Merkezi Doğalgaz,Boş,,Kat Mülkiyeti,Hayır,Yok,2,Genel Fiyat,27.000TL,Muğla - Milas - Hacı İlyas Mahallesi,https://www.emlakjet.com/ilan/milas-haciilyas-mahallesi-acik-mutfakli-31-kiraliktir-17602175,İkinci El,Betonarme,500 TL,30000 TL,390,100,,,,,,,,,
17596060,04 Temmuz 2025,04 Temmuz 2025,Konut,Kiralık,Daire,120 m²,140 m²,3+1,4,2.Kat,2,Klimalı,Boş,Eşyalı,Kat Mülkiyeti,Hayır,Yok,2,Genel Fiyat,30.000TL,Muğla - Fethiye - Esenköy Mahallesi,https://www.emlakjet.com/ilan/fethiye-cevreyolu-uzerinde-31-full-esyali-kiralik-daire-17596060,,,,,,,,,,,,,,,
17591077,04 Temmuz 2025,31 Temmuz 2025,Konut,Kiralık,Daire,80 m²,120 m²,2+1,16-20,Yüksek Giriş,2,Klimalı,Boş,Eşyalı,Kat Mülkiyeti,Hayır,Yok,2,Genel Fiyat,185.000TL,Muğla - Bodrum - Kumbahçe Mahallesi,https://www.emlakjet.com/ilan/bodrum-kumbahce-de-kale-manzarali-21-kiralik-daire-17591077,,,,,,,,,,,,,,,
17589956,04 Temmuz 2025,28 Temmuz 2025,Konut,Kiralık,Daire,45 m²,50 m²,1+1,5-10,2.Kat,2,Klimalı,Boş,Eşyalı,Arsa Tapulu,Hayır,Yok,1,Genel Fiyat,30.000TL,Muğla - Köyceğiz - Ekincik Mahallesi,https://www.emlakjet.com/ilan/tuana-gayrimenkulden-ekincik-te-kiralik-11-esyali-daire-17589956,,,,,,,,,,,,,,,
17592389,04 Temmuz 2025,31 Temmuz 2025,Konut,Kiralık,Daire,82 m²,98 m²,3+1,11-15,Bahçe Katı,2,Klimalı,Boş,Eşyalı,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,40.000TL,Muğla - Bodrum - Çarşı Mahallesi,https://www.emlakjet.com/ilan/kumbahcede-kiralik-bahcekati-daire-merkeze-yakin-denize-yakin-ev-17592389,İkinci El,Betonarme,1 TL,,,,,,,,,,,,
17589915,04 Temmuz 2025,04 Temmuz 2025,Konut,Kiralık,Daire,50 m²,60 m²,1+1,11-15,Bahçe Katı,1,Klimalı,Boş,Eşyalı,Tapu Kaydı Yok,Hayır,Yok,1,Genel Fiyat,25.000TL,Muğla - Bodrum - Güvercinlik Mahallesi,https://www.emlakjet.com/ilan/century21-point-den-guvercinlik-de-denize-yurume-mesafesinde-11-17589915,,,,,,,,,,,,,,,
17588790,03 Temmuz 2025,03 Temmuz 2025,Konut,Kiralık,Daire,85 m²,95 m²,2+1,1,Bahçe Katı,3,Klimalı,Boş,Eşyalı,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,32.500TL,Muğla - Fethiye - Taşyaka Mahallesi,https://www.emlakjet.com/ilan/havuzlu-site-icinde-ferah-21-esyali-kiralik-daire-17588790,,,,,,,,,,,,,,,
17589945,04 Temmuz 2025,28 Temmuz 2025,Konut,Kiralık,Daire,120 m²,130 m²,2+1,2,2.Kat,3,Sobalı,Boş,Boş,Kat Mülkiyeti,Hayır,Yok,2,Genel Fiyat,22.000TL,Muğla - Köyceğiz - Yeşilköy Mahallesi,https://www.emlakjet.com/ilan/tuana-gayrimenkul-den-yesilkoy-de-21-kiralik-daire-17589945,,,,,,,,,,,,,,,
17588783,03 Temmuz 2025,03 Temmuz 2025,Konut,Kiralık,Daire,80 m²,90 m²,2+1,5-10,1.Kat,3,Klimalı,Boş,Boş,Kat Mülkiyeti,Hayır,Yok,2,Genel Fiyat,25.000TL,Muğla - Fethiye - Patlangıç Mahallesi,https://www.emlakjet.com/ilan/merkezi-konumda-esyasiz-genis-m2-kiralik-ara-kat-daire-17588783,,,,,,,,,,,,,,,
17588786,03 Temmuz 2025,03 Temmuz 2025,Konut,Kiralık,Daire,90 m²,100 m²,2+1,5-10,1.Kat,3,Kat Kaloriferi,Boş,Boş,Kat Mülkiyeti,Hayır,Yok,2,Genel Fiyat,35.000TL,Muğla - Fethiye - Patlangıç Mahallesi,https://www.emlakjet.com/ilan/patlangic-mah-ara-kat-kalorifer-sisteli-esyasiz-kiralik-daire-17588786,,,,,,,,,,,,,,,
17605982,06 Temmuz 2025,06 Temmuz 2025,Konut,Kiralık,Daire,55 m²,60 m²,1+1,16-20,1.Kat,4,Klimalı,Boş,Eşyalı,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,30.000TL,Muğla - Marmaris - Siteler Mahallesi,https://www.emlakjet.com/ilan/vefa-gayrimenkul-den-denize-sifir-esyali-kiralik-11-daire-17605982,İkinci El,,1350 TL,,,,,,,,,,,,
17589916,04 Temmuz 2025,04 Temmuz 2025,Konut,Kiralık,Daire,85 m²,90 m²,2+1,16-20,Bahçe Katı,1,Isıtma Yok,Boş,Boş,Kat Mülkiyeti,Hayır,Yok,2,Genel Fiyat,40.000TL,Muğla - Bodrum - Konacık Mahallesi,https://www.emlakjet.com/ilan/pedasa-da-genis-ferah-buyuk-21-bahce-kati-17589916,,,,,,,,,,,,,,,
17592818,04 Temmuz 2025,04 Temmuz 2025,Konut,Kiralık,Daire,75 m²,80 m²,2+1,16-20,3.Kat,4,Klimalı,Boş,Boş,Kat İrtifakı,Hayır,Yok,1,Genel Fiyat,30.000TL,Muğla - Marmaris - Sarıana Mahallesi,https://www.emlakjet.com/ilan/cinar-limited-gayrimenkulden-sariana-mahalesinde-kiralik-21-17592818,,,,,,,,,,,,,,,
17601163,05 Temmuz 2025,10 Temmuz 2025,Konut,Kiralık,Daire,55 m²,70 m²,1+1,11-15,1.Kat,2,Klimalı,Boş,Eşyalı,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,33.000TL,Muğla - Fethiye - Foça Mahallesi,https://www.emlakjet.com/ilan/batur-dan-foca-da-site-icerisinde-havuzlu-11-kiralik-daire-17601163,,,,,,,,,,,,,,,
17607405,06 Temmuz 2025,07 Temmuz 2025,Konut,Kiralık,Daire,70 m²,116 m²,2+1,2,Müstakil,2,Klimalı,Boş,Eşyalı,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,25.000TL,Muğla - Fethiye - Yanıklar Mahallesi,https://www.emlakjet.com/ilan/yaniklar-mah-mustakil-bahce-icinde-esyali-kiralik-ev-17607405,,,,,,,,,,,,,,,
17590796,04 Temmuz 2025,28 Temmuz 2025,Konut,Kiralık,Daire,90 m²,100 m²,2+1,21 Ve Üzeri,Bahçe Katı,2,Klimalı,Boş,Boş,Kat İrtifakı,Hayır,Yok,1,Genel Fiyat,22.000TL,Muğla - Ula - Gökçe Mahallesi,https://www.emlakjet.com/ilan/marmaris-gokcede-21-bahceli-daire-17590796,,,,,,,,,,,,,,,
17604473,05 Temmuz 2025,21 Ağustos 2025,Konut,Kiralık,Daire,100 m²,110 m²,2+1,16-20,Çatı Dubleks,3,Klimalı,Boş,Eşyalı,Kat Mülkiyeti,Hayır,,2,Genel Fiyat,35.000TL,Muğla - Fethiye - Akarca Mahallesi,https://www.emlakjet.com/ilan/akarcada-adliye-yakini-kiralik-21-dubleks-daire-17604473,,,,35000 TL,2193,20,Var,3,2,,,,,,
17596047,04 Temmuz 2025,01 Ağustos 2025,Konut,Kiralık,Daire,160 m²,180 m²,3+1,16-20,2.Kat,3,Klimalı,Boş,Boş,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,42.000TL,Muğla - Fethiye - Tuzla Mahallesi,https://www.emlakjet.com/ilan/fethiye-tuzla-mh-sahile-150-mt-klimali-160-m2-31-daire-17596047,,,,,344,28,,,,,,,,,
17602174,05 Temmuz 2025,01 Ağustos 2025,Konut,Kiralık,Daire,120 m²,125 m²,2+1,5-10,3.Kat,5,Merkezi Doğalgaz,Boş,,Kat Mülkiyeti,Hayır,Yok,1,Genel Fiyat,29.000TL,Muğla - Milas - Hacı İlyas Mahallesi,https://www.emlakjet.com/ilan/milas-merkezde-genis-kullanimli-21-daire-kiraliktir-17602174,İkinci El,Betonarme,1000 TL,30000 TL,364,18,,,,,,,,,
17607402,06 Temmuz 2025,06 Temmuz 2025,Konut,Kiralık,Daire,90 m²,100 m²,2+1,2,Yüksek Giriş,3,Klimalı,Boş,Boş,Kat Mülkiyeti,Hayır,Yok,2,Genel Fiyat,32.000TL,Muğla - Fethiye - Taşyaka Mahallesi,https://www.emlakjet.com/ilan/avmye-yurume-mesafesinde-ultra-luks-21-kiralik-residence-17607402,,,,,,,,,,,,,,,
