location,information,sales_price
İstanbul - Beyoğlu,Daire | 1+1 | 4. Kat | 70 m²,17.000 TL
Ankara - Çankaya,Daire | 1 Oda | 3. Kat | 45 m²,25.000 TL29.000 TL
Samsun - Atakum,Daire | 2+1 | 3. Kat | 110 m²,23.000 TL
İzmir - Buca,Daire | 2+0 | 2. Kat | 75 m²,15.000 TL
İstanbul - Arnavutköy,Daire | 1+1 | 4. Kat | 70 m²,16.000 TL
Hatay - İskenderun,Daire | 1+1 | 3. Kat | 40 m²,15.000 TL
İstanbul - Tuzla,Daire | 2+1 | 9. Kat | 95 m²,28.500 TL32.500 TL
Muğla - Bodrum,Daire | 1 Oda | 2. Kat | 55 m²,35.000 TL
Edirne - Edirne Merkez,Daire | 1+1 | 2. Kat | 50 m²,13.000 TL
Adana - Seyhan,Daire | 2+1 | 3. Kat | 110 m²,10.000 TL
Ankara - Keçiören,Daire | 3+1 | 3. Kat | 120 m²,25.000 TL
İstanbul - Sultangazi,Daire | 4+1 | 3. Kat | 130 m²,27.000 TL
Tekirdağ - Kapaklı,Daire | 2+1 | 2. Kat | 100 m²,15.000 TL
İzmir - Çiğli,Daire | 1+1 | 7. Kat | 50 m²,24.000 TL
İstanbul - Sultangazi,Daire | 3+1 | 6. Kat | 120 m²,28.000 TL
Eskişehir - Tepebaşı,Daire | 1+1 | 3. Kat | 60 m²,15.000 TL
Tekirdağ - Süleymanpaşa,Daire | 1+1 | 3. Kat | 60 m²,16.000 TL
Kırşehir - Kırşehir Merkez,Daire | 3+1 | Yüksek giriş | 120 m²,15.000 TL
Denizli - Pamukkale,Daire | 1+1 | 2. Kat | 48 m²,10.000 TL
Samsun - İlkadım,Daire | 3+1 | 3. Kat | 140 m²,15.000 TL
Diyarbakır - Kayapınar,Daire | 2+1 | 4. Kat | 90 m²,26.000 TL
Samsun - İlkadım,Daire | Stüdyo | Çatı katı | 55 m²,8.000 TL
İstanbul - Sultangazi,Daire | 2+1 | 3. Kat | 100 m²,21.000 TL
Samsun - Canik,Daire | 2+1 | Düz Giriş (Zemin) | 120 m²,20.000 TL
Mersin - Toroslar,Daire | 2+1 | 1. Kat | 110 m²,15.000 TL
Kocaeli - Başiskele,Daire | 3+1 | Çatı katı | 125 m²,26.500 TL
İstanbul - Ümraniye,Daire | 3+1 | 4. Kat | 140 m²,37.000 TL
Muğla - Fethiye,Daire | 1+1 | 3. Kat | 70 m²,25.000 TL
Samsun - İlkadım,Daire | Stüdyo | 6. Kat | 55 m²,8.000 TL
Manisa - Şehzadeler,Daire | 3+1 | 5. Kat | 220 m²,35.000 TL
İstanbul - Sultangazi,Daire | 3+1 | 6. Kat | 120 m²,28.000 TL
Eskişehir - Tepebaşı,Daire | 1+1 | 3. Kat | 60 m²,15.000 TL
Tekirdağ - Süleymanpaşa,Daire | 1+1 | 3. Kat | 60 m²,16.000 TL
Kırşehir - Kırşehir Merkez,Daire | 3+1 | Yüksek giriş | 120 m²,15.000 TL
Denizli - Pamukkale,Daire | 1+1 | 2. Kat | 48 m²,10.000 TL
Samsun - İlkadım,Daire | 3+1 | 3. Kat | 140 m²,15.000 TL
Diyarbakır - Kayapınar,Daire | 2+1 | 4. Kat | 90 m²,26.000 TL
Samsun - İlkadım,Daire | Stüdyo | Çatı katı | 55 m²,8.000 TL
İstanbul - Sultangazi,Daire | 2+1 | 3. Kat | 100 m²,21.000 TL
Samsun - Canik,Daire | 2+1 | Düz Giriş (Zemin) | 120 m²,20.000 TL
Mersin - Toroslar,Daire | 2+1 | 1. Kat | 110 m²,15.000 TL
Kocaeli - Başiskele,Daire | 3+1 | Çatı katı | 125 m²,26.500 TL
İstanbul - Ümraniye,Daire | 3+1 | 4. Kat | 140 m²,37.000 TL
Muğla - Fethiye,Daire | 1+1 | 3. Kat | 70 m²,25.000 TL
Samsun - İlkadım,Daire | Stüdyo | 6. Kat | 55 m²,8.000 TL
Manisa - Şehzadeler,Daire | 3+1 | 5. Kat | 220 m²,35.000 TL
Muğla - Bodrum,Daire | 2+1 | 2. Kat | 90 m²,32.500 TL
İstanbul - Ataşehir,Daire | 2+1 | 4. Kat | 80 m²,24.000 TL
Antalya - Alanya,Daire | 2+1 | 3. Kat | 85 m²,24.000 TL
Adana - Çukurova,Daire | 1+1 | Yüksek giriş | 60 m²,12.000 TL
Samsun - İlkadım,Daire | 2+1 | 6. Kat | 115 m²,11.000 TL
